"control_id","control_type","provider_id","environment_id","policy_class","status","apply_allowed","readiness_decision","blocked_reason"
"auditctl_426_dev_shadow_twin","audit","vecells_assistive_vendor_watch_shadow_twin","development_local_twin","development","verified","false","ready_for_dry_run_rehearsal_verify","apply_blocked_watch_only"
"auditctl_426_integration_shadow_twin","audit","vecells_assistive_vendor_watch_shadow_twin","integration_candidate","integration","verified","false","ready_for_dry_run_rehearsal_verify","apply_blocked_watch_only"
"auditctl_426_preprod_openai_placeholder","audit","openai","preprod_rehearsal","preprod_rehearsal","blocked_pending_provider_selection","false","blocked_placeholder_only","provider_not_selected_or_retention_unverified"
"safetyctl_426_dev_shadow_twin","safety","vecells_assistive_vendor_watch_shadow_twin","development_local_twin","development","verified","false","ready_for_dry_run_rehearsal_verify","apply_blocked_watch_only"
"safetyctl_426_integration_shadow_twin","safety","vecells_assistive_vendor_watch_shadow_twin","integration_candidate","integration","verified","false","ready_for_dry_run_rehearsal_verify","apply_blocked_watch_only"
"safetyctl_426_preprod_openai_placeholder","safety","openai","preprod_rehearsal","training","blocked_pending_provider_selection","false","blocked_placeholder_only","provider_not_selected_or_safety_unverified"
"unsupported_426_dev_vendor_managed_audit_api","unsupported_audit_logging","vecells_assistive_vendor_watch_shadow_twin","development_local_twin","preprod_rehearsal","not_applicable_local_twin","false","unsupported_recorded","does_not_block_current_watch_twin"
"unsupported_426_openai_preprod_audit_export","unsupported_event_export","openai","preprod_rehearsal","preprod_rehearsal","blocked_pending_provider_selection","false","unsupported_recorded","blocks_apply_until_provider_selected"
"unsupported_426_openai_preprod_retention_verification","unsupported_retention","openai","preprod_rehearsal","preprod_rehearsal","blocked_pending_provider_selection","false","unsupported_recorded","blocks_apply_until_provider_selected"
"unsupported_426_openai_preprod_model_allow_list","unsupported_model_allow_list","openai","preprod_rehearsal","preprod_rehearsal","blocked_pending_provider_selection","false","unsupported_recorded","blocks_apply_until_provider_selected"
"unsupported_426_openai_preprod_moderation_guardrail","unsupported_safety_guardrail","openai","preprod_rehearsal","preprod_rehearsal","blocked_pending_provider_selection","false","unsupported_recorded","blocks_apply_until_provider_selected"
