scenario_id,command,event,from_status,to_status,predicate_id,expected_result,notes
PH6_CASE_346_001,create,pharmacy.case.created,none,candidate_received,PH6_CREATE_CASE,applied,Creates the governed pharmacy branch and canonical lineage child link.
PH6_CASE_346_002,evaluate,pharmacy.service_type.resolved,candidate_received,rules_evaluating,PH6_TX_001,applied,Service lane resolution begins frozen evaluation.
PH6_CASE_346_003,evaluate,pharmacy.pathway.evaluated,rules_evaluating,eligible_choice_pending,PH6_TX_003,applied,Eligible cases advance into provider choice.
PH6_CASE_346_004,evaluate,pharmacy.pathway.evaluated,rules_evaluating,ineligible_returned,PH6_TX_002,applied,Blocked cases return without creating detached referral work.
PH6_CASE_346_005,choose-provider,pharmacy.provider.selected,eligible_choice_pending,provider_selected,PH6_TX_004,applied,Provider selection binds the current choice proof.
PH6_CASE_346_006,choose-provider,pharmacy.consent.checkpoint.updated,provider_selected,consent_pending,PH6_TX_005,applied,Unsatisfied checkpoints force same-shell consent recovery.
PH6_CASE_346_007,choose-provider,pharmacy.package.composed,provider_selected,package_ready,PH6_TX_006,applied,Satisfied checkpoints can freeze the package immediately.
PH6_CASE_346_008,dispatch,pharmacy.consent.revoked,package_ready,consent_pending,PH6_TX_008,applied,Dispatch cannot bypass consent drift.
PH6_CASE_346_009,dispatch,pharmacy.dispatch.started,package_ready,dispatch_pending,PH6_TX_009,applied,Dispatch starts under the current lease and fence tuple.
PH6_CASE_346_010,dispatch,pharmacy.dispatch.confirmed,dispatch_pending,referred,PH6_TX_010,applied,Confirmed transport proof creates live referral status.
PH6_CASE_346_011,capture-outcome,pharmacy.dispatch.confirmed,referred,consultation_outcome_pending,PH6_TX_011,applied,Outcome capture from referred first enters the live outcome wait state.
PH6_CASE_346_012,capture-outcome,pharmacy.outcome.received,consultation_outcome_pending,outcome_reconciliation_pending,PH6_TX_016,applied,Weak or ambiguous outcome evidence blocks ordinary settlement.
PH6_CASE_346_013,capture-outcome,pharmacy.case.resolved,consultation_outcome_pending,resolved_by_pharmacy,PH6_TX_012,applied,Strong outcome truth settles locally but not yet request closure.
PH6_CASE_346_014,capture-outcome,pharmacy.case.bounce_back,consultation_outcome_pending,unresolved_returned,PH6_TX_013,applied,Routine unresolved return remains typed.
PH6_CASE_346_015,capture-outcome,pharmacy.case.bounce_back,consultation_outcome_pending,urgent_bounce_back,PH6_TX_014,applied,Urgent return remains distinct from routine bounce-back.
PH6_CASE_346_016,capture-outcome,pharmacy.reachability.blocked,consultation_outcome_pending,no_contact_return_pending,PH6_TX_015,applied,No-contact return cannot be flattened into general unresolved text.
PH6_CASE_346_017,reopen,pharmacy.case.reopened,unresolved_returned,candidate_received,PH6_REOPEN_001,applied,Governed reopen keeps the same case identity.
PH6_CASE_346_018,reopen,pharmacy.case.reopened,urgent_bounce_back,rules_evaluating,PH6_REOPEN_002,applied,Urgent return can reopen into fresh clinical evaluation.
PH6_CASE_346_019,reopen,pharmacy.case.reopened,outcome_reconciliation_pending,consent_pending,PH6_REOPEN_004,applied,Review-driven reopen can route back into consent recovery.
PH6_CASE_346_020,close,pharmacy.case.closed,resolved_by_pharmacy,closed,PH6_TX_021,applied,Close requires cleared confirmation, blocker, and reachability debt plus lifecycle approval.
