"local_phase8_object","control_family","provider_id","environment_id","vendor_or_local_surface","configured_status","evidence_ref","unsupported_record_ref"
"AssistiveCapabilityWatchTuple","audit_logging","vecells_assistive_vendor_watch_shadow_twin","development_local_twin","local_metadata_audit_stream_enabled","verified","evidence://426/dev-shadow/audit-baseline-validated","unsupported_426_dev_vendor_managed_audit_api"
"UITelemetryDisclosureFence","audit_logging","vecells_assistive_vendor_watch_shadow_twin","development_local_twin","local_metadata_audit_stream_enabled","verified","evidence://426/dev-shadow/audit-baseline-validated","unsupported_426_dev_vendor_managed_audit_api"
"AssuranceBaselineSnapshot","audit_logging","vecells_assistive_vendor_watch_shadow_twin","development_local_twin","local_metadata_audit_stream_enabled","verified","evidence://426/dev-shadow/audit-baseline-validated","unsupported_426_dev_vendor_managed_audit_api"
"AssistiveCapabilityWatchTuple","audit_logging","vecells_assistive_vendor_watch_shadow_twin","integration_candidate","local_metadata_audit_stream_enabled","verified","evidence://426/integration-shadow/audit-baseline-validated",""
"AssistiveReleaseCandidate","audit_logging","vecells_assistive_vendor_watch_shadow_twin","integration_candidate","local_metadata_audit_stream_enabled","verified","evidence://426/integration-shadow/audit-baseline-validated",""
"RFCBundle","audit_logging","vecells_assistive_vendor_watch_shadow_twin","integration_candidate","local_metadata_audit_stream_enabled","verified","evidence://426/integration-shadow/audit-baseline-validated",""
"RollbackReadinessBundle","audit_logging","vecells_assistive_vendor_watch_shadow_twin","integration_candidate","local_metadata_audit_stream_enabled","verified","evidence://426/integration-shadow/audit-baseline-validated",""
"AssistiveReleaseCandidate","audit_logging","openai","preprod_rehearsal","vendor_audit_log_blocked_pending_selection","blocked_pending_provider_selection","evidence://426/openai/preprod/provider-selection-required",""
"AssuranceBaselineSnapshot","audit_logging","openai","preprod_rehearsal","vendor_audit_log_blocked_pending_selection","blocked_pending_provider_selection","evidence://426/openai/preprod/provider-selection-required",""
"RFCBundle","audit_logging","openai","preprod_rehearsal","vendor_audit_log_blocked_pending_selection","blocked_pending_provider_selection","evidence://426/openai/preprod/provider-selection-required",""
"RollbackReadinessBundle","audit_logging","openai","preprod_rehearsal","vendor_audit_log_blocked_pending_selection","blocked_pending_provider_selection","evidence://426/openai/preprod/provider-selection-required",""
"guardrail://426/dev/no-authoritative-output","safety_guardrail","vecells_assistive_vendor_watch_shadow_twin","development_local_twin","local_synthetic_policy_gate_enabled","verified","evidence://426/dev-shadow/safety-baseline-validated",""
"guardrail://426/dev/disclosure-fence","safety_guardrail","vecells_assistive_vendor_watch_shadow_twin","development_local_twin","local_synthetic_policy_gate_enabled","verified","evidence://426/dev-shadow/safety-baseline-validated",""
"guardrail://426/dev/policy-blocked-insert-suppression","safety_guardrail","vecells_assistive_vendor_watch_shadow_twin","development_local_twin","local_synthetic_policy_gate_enabled","verified","evidence://426/dev-shadow/safety-baseline-validated",""
"guardrail://426/dev/synthetic-moderation-gate","safety_guardrail","vecells_assistive_vendor_watch_shadow_twin","development_local_twin","local_synthetic_policy_gate_enabled","verified","evidence://426/dev-shadow/safety-baseline-validated",""
"guardrail://426/integration/no-authoritative-output","safety_guardrail","vecells_assistive_vendor_watch_shadow_twin","integration_candidate","local_synthetic_policy_gate_enabled","verified","evidence://426/integration-shadow/safety-baseline-validated",""
"guardrail://426/integration/disclosure-fence","safety_guardrail","vecells_assistive_vendor_watch_shadow_twin","integration_candidate","local_synthetic_policy_gate_enabled","verified","evidence://426/integration-shadow/safety-baseline-validated",""
"guardrail://426/integration/policy-blocked-insert-suppression","safety_guardrail","vecells_assistive_vendor_watch_shadow_twin","integration_candidate","local_synthetic_policy_gate_enabled","verified","evidence://426/integration-shadow/safety-baseline-validated",""
"guardrail://426/integration/synthetic-moderation-gate","safety_guardrail","vecells_assistive_vendor_watch_shadow_twin","integration_candidate","local_synthetic_policy_gate_enabled","verified","evidence://426/integration-shadow/safety-baseline-validated",""
"guardrail://426/integration/release-candidate-drift-check","safety_guardrail","vecells_assistive_vendor_watch_shadow_twin","integration_candidate","local_synthetic_policy_gate_enabled","verified","evidence://426/integration-shadow/safety-baseline-validated",""
"guardrail://426/openai/preprod/provider-selection-required","safety_guardrail","openai","preprod_rehearsal","vendor_moderation_blocked_pending_selection","blocked_pending_provider_selection","evidence://426/openai/preprod/provider-selection-required","unsupported_426_openai_preprod_moderation_guardrail"
"guardrail://426/openai/preprod/intended-use-review-required","safety_guardrail","openai","preprod_rehearsal","vendor_moderation_blocked_pending_selection","blocked_pending_provider_selection","evidence://426/openai/preprod/provider-selection-required","unsupported_426_openai_preprod_moderation_guardrail"
