effectFamilyId,effectFamilyLabel,adapterContractProfileId,adapterCode,dependencyCode,bindingFamily,bindingRef,supportedActionScopes,integrationWorkloadFamilyRef,requiredTrustZoneBoundaryRef,authoritativeProofRulesRef,simulatorContractRef,liveCutoverChecklistRef,sourceRefs
fxf_nhs_login_auth_handoff,NHS login auth handoff and callback authority,ACP_057_DEP_NHS_LOGIN_RAIL_V1,adp_nhs_login_auth_bridge,dep_nhs_login_rail,IdentityBoundaryAdapterBinding,BIND_057_DEP_NHS_LOGIN_RAIL_V1,claim; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_NHS_LOGIN_SESSION_BINDING_V1,sim_nhs_login_auth_session_twin,LCC_057_DEP_NHS_LOGIN_RAIL_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/24_nhs_login_actual_onboarding_strategy.md; docs/external/25_nhs_login_environment_profile_pack.md; blueprint/phase-2-the-identity-and-echoes.md#2B. NHS login bridge and local session engine; data/analysis/route_to_scope_requirements.csv#rf_patient_secure_link_recovery; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_optional_pds_enrichment_lookup,Optional PDS enrichment lookup,ACP_057_DEP_PDS_FHIR_ENRICHMENT_V1,adp_optional_pds_enrichment,dep_pds_fhir_enrichment,IdentityBoundaryAdapterBinding,BIND_057_DEP_PDS_FHIR_ENRICHMENT_V1,claim; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_PDS_MATCH_CONFIDENCE_V1,sim_optional_pds_enrichment_twin,LCC_057_DEP_PDS_FHIR_ENRICHMENT_V1,"prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/27_pds_access_request_strategy.md; blueprint/phase-2-the-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment; data/analysis/route_to_scope_requirements.csv#rf_patient_secure_link_recovery; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint"
fxf_telephony_ivr_callback_boundary,"Telephony IVR, callback, and recording evidence",ACP_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_V1,adp_telephony_ivr_recording,dep_telephony_ivr_recording_provider,CallbackAttemptRecord,BIND_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_V1,reply_message; respond_callback; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_TELEPHONY_RECORDING_READINESS_V1,sim_telephony_ivr_twin,LCC_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_V1,"prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/32_local_telephony_lab_spec.md; blueprint/phase-2-the-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; data/analysis/route_to_scope_requirements.csv#rf_intake_telephony_capture; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint"
fxf_transcription_processing_derivation,Transcript and derived-fact processing,ACP_057_DEP_TRANSCRIPTION_PROCESSING_PROVIDER_V1,adp_transcription_processing,dep_transcription_processing_provider,EvidenceProcessingAdapterBinding,BIND_057_DEP_TRANSCRIPTION_PROCESSING_PROVIDER_V1,ops_resilience_action; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_TRANSCRIPTION_DERIVATION_PACKAGE_V1,sim_transcription_processing_twin,LCC_057_DEP_TRANSCRIPTION_PROCESSING_PROVIDER_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/35_local_evidence_processing_lab_spec.md; data/analysis/route_to_scope_requirements.csv#rf_patient_health_record; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_sms_notification_delivery,SMS delivery and repair evidence,ACP_057_DEP_SMS_NOTIFICATION_PROVIDER_V1,adp_sms_notification_delivery,dep_sms_notification_provider,MessageDispatchEnvelope,BIND_057_DEP_SMS_NOTIFICATION_PROVIDER_V1,reply_message; respond_callback; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_NOTIFICATION_DELIVERY_EVIDENCE_V1,sim_sms_delivery_twin,LCC_057_DEP_SMS_NOTIFICATION_PROVIDER_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/33_local_notification_studio_spec.md; data/analysis/route_to_scope_requirements.csv#rf_patient_messages; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_email_notification_delivery,Email delivery and repair evidence,ACP_057_DEP_EMAIL_NOTIFICATION_PROVIDER_V1,adp_email_notification_delivery,dep_email_notification_provider,MessageDispatchEnvelope,BIND_057_DEP_EMAIL_NOTIFICATION_PROVIDER_V1,reply_message; respond_callback; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_NOTIFICATION_DELIVERY_EVIDENCE_V1,sim_email_notification_twin,LCC_057_DEP_EMAIL_NOTIFICATION_PROVIDER_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/33_local_notification_studio_spec.md; data/analysis/route_to_scope_requirements.csv#rf_patient_messages; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_malware_artifact_scan,Malware and artifact scanning,ACP_057_DEP_MALWARE_SCANNING_PROVIDER_V1,adp_malware_artifact_scanning,dep_malware_scanning_provider,EvidenceProcessingAdapterBinding,BIND_057_DEP_MALWARE_SCANNING_PROVIDER_V1,ops_resilience_action; support_repair_action,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_MALWARE_VERDICT_CHAIN_V1,sim_malware_artifact_scan_twin,LCC_057_DEP_MALWARE_SCANNING_PROVIDER_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/35_local_evidence_processing_lab_spec.md; data/analysis/route_to_scope_requirements.csv#rf_patient_health_record; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_im1_pairing_programme_gate,IM1 pairing and programme gate,ACP_057_DEP_IM1_PAIRING_PROGRAMME_V1,adp_im1_pairing_programme_gate,dep_im1_pairing_programme,BookingProviderAdapterBinding,BIND_057_DEP_IM1_PAIRING_PROGRAMME_V1,manage_booking; accept_waitlist_offer; accept_network_alternative,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_IM1_PAIRING_GATE_V1,sim_im1_principal_system_emis_twin,LCC_057_DEP_IM1_PAIRING_PROGRAMME_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/36_gp_system_pathways_actual_strategy.md; data/analysis/route_to_scope_requirements.csv#rf_patient_appointments; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_gp_supplier_path_resolution,GP supplier path resolution,ACP_057_DEP_GP_SYSTEM_SUPPLIER_PATHS_V1,adp_gp_supplier_path_resolution,dep_gp_system_supplier_paths,BookingProviderAdapterBinding,BIND_057_DEP_GP_SYSTEM_SUPPLIER_PATHS_V1,manage_booking; accept_waitlist_offer; accept_network_alternative,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_GP_SUPPLIER_CAPABILITY_MATRIX_V1,sim_im1_principal_system_tpp_twin,LCC_057_DEP_GP_SYSTEM_SUPPLIER_PATHS_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/36_gp_system_pathways_actual_strategy.md; data/analysis/route_to_scope_requirements.csv#rf_patient_appointments; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
fxf_local_booking_commit_and_manage,"Local booking supplier search, commit, and manage",ACP_057_DEP_LOCAL_BOOKING_SUPPLIER_ADAPTERS_V1,adp_local_booking_supplier,dep_local_booking_supplier_adapters,BookingProviderAdapterBinding,BIND_057_DEP_LOCAL_BOOKING_SUPPLIER_ADAPTERS_V1,manage_booking; accept_waitlist_offer; accept_network_alternative,wf_integration_dispatch,tzb_application_core_to_integration_perimeter,APR_057_BOOKING_CONFIRMATION_TRUTH_V1,sim_booking_provider_confirmation_twin,LCC_057_DEP_LOCAL_BOOKING_SUPPLIER_ADAPTERS_V1,prompt/040.md; prompt/shared_operating_contract_036_to_045.md; data/analysis/external_dependencies.json; data/analysis/adapter_simulator_contract_manifest.json; data/analysis/adapter_real_provider_gap_map.json; data/analysis/live_mutation_gate_rules.json; docs/external/36_gp_system_pathways_actual_strategy.md; blueprint/phase-4-the-booking-engine.md; data/analysis/route_to_scope_requirements.csv#rf_patient_appointments; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile; blueprint/phase-0-the-foundation-protocol.md#1.23B AdapterDispatchAttempt; blueprint/phase-0-the-foundation-protocol.md#1.23C AdapterReceiptCheckpoint
