traceRef,environment,routeFamilyRef,audienceSurfaceRef,traceFamily,traceCorrelationState,traceDisclosureState,traceReplayState,hopSequence,hopKind,serviceRef,eventName,eventFamily,correlationState,disclosureState,replayState,settlementState,note
trace_patient_live_settled,ci-preview,rf_patient_requests,audsurf_patient_authenticated_portal,patient_continuity,verified,masked,settled,1,browser,patient-web,ui.transition.server_accepted,ui_event,verified,verified,live,accepted,Browser creates the continuity frame.
trace_patient_live_settled,ci-preview,rf_patient_requests,audsurf_patient_authenticated_portal,patient_continuity,verified,masked,settled,2,gateway,api-gateway,gateway.request.accepted,structured_log,verified,masked,live,accepted,Edge correlation is first enforced at ingress.
trace_patient_live_settled,ci-preview,rf_patient_requests,audsurf_patient_authenticated_portal,patient_continuity,verified,masked,settled,3,command_handler,command-api,command.accepted,structured_log,verified,masked,live,accepted,Command ingress keeps PHI to digest-only references.
trace_patient_live_settled,ci-preview,rf_patient_requests,audsurf_patient_authenticated_portal,patient_continuity,verified,masked,settled,4,event_bus,event-spine,event_spine.publish.latency_ms,metric,verified,verified,live,accepted,Event publication keeps the same immutable edgeCorrelationId.
trace_patient_live_settled,ci-preview,rf_patient_requests,audsurf_patient_authenticated_portal,patient_continuity,verified,masked,settled,5,worker,projection-worker,projection.worker.applied,structured_log,verified,verified,live,projection_visible,Worker processing preserves the same causal token.
trace_patient_live_settled,ci-preview,rf_patient_requests,audsurf_patient_authenticated_portal,patient_continuity,verified,masked,settled,6,projection,projection-store,projection.materialized,structured_log,verified,verified,live,projection_visible,Projection materializes without inventing truth.
trace_patient_live_settled,ci-preview,rf_patient_requests,audsurf_patient_authenticated_portal,patient_continuity,verified,masked,settled,7,ui_visibility_receipt,patient-web,ui.transition.projection_seen,ui_visibility_receipt,verified,verified,live,projection_visible,UI visibility receipt captures what the user actually saw.
trace_patient_live_settled,ci-preview,rf_patient_requests,audsurf_patient_authenticated_portal,patient_continuity,verified,masked,settled,8,audit,audit-ledger,audit.correlation.bound,audit,verified,verified,settled,settled,Audit joins the same edge correlation chain before settlement is calm.
trace_support_restore_visible,integration,rf_support_replay_observe,audsurf_support_workspace,support_restore,verified,masked,restored,1,browser,support-workspace,ui.restore.applied,ui_event,verified,verified,restored,accepted,Support restore resumes from a prior continuity frame.
trace_support_restore_visible,integration,rf_support_replay_observe,audsurf_support_workspace,support_restore,verified,masked,restored,2,gateway,api-gateway,gateway.request.accepted,structured_log,verified,masked,restored,accepted,Gateway preserves the restored frame rather than minting a new trace.
trace_support_restore_visible,integration,rf_support_replay_observe,audsurf_support_workspace,support_restore,verified,masked,restored,3,command_handler,command-api,command.accepted,structured_log,verified,masked,restored,accepted,Restore-safe command replay stays PHI-light.
trace_support_restore_visible,integration,rf_support_replay_observe,audsurf_support_workspace,support_restore,verified,masked,restored,4,event_bus,event-spine,event_spine.publish.latency_ms,metric,verified,verified,restored,accepted,Replay-safe publication still carries the same edgeCorrelationId.
trace_support_restore_visible,integration,rf_support_replay_observe,audsurf_support_workspace,support_restore,verified,masked,restored,5,worker,projection-worker,projection.worker.applied,structured_log,verified,verified,restored,projection_visible,Worker observes restored-not-fresh posture.
trace_support_restore_visible,integration,rf_support_replay_observe,audsurf_support_workspace,support_restore,verified,masked,restored,6,projection,projection-store,projection.materialized,structured_log,verified,verified,restored,projection_visible,Projection marks restored continuity explicitly.
trace_support_restore_visible,integration,rf_support_replay_observe,audsurf_support_workspace,support_restore,verified,masked,restored,7,ui_visibility_receipt,support-workspace,ui.transition.projection_seen,ui_visibility_receipt,verified,verified,restored,projection_visible,UI receipt proves the replay result became visible.
trace_support_restore_visible,integration,rf_support_replay_observe,audsurf_support_workspace,support_restore,verified,masked,restored,8,audit,audit-ledger,audit.correlation.bound,audit,verified,verified,restored,settled,Audit records support replay continuity.
trace_ops_missing_correlation,local,rf_operations_board,audsurf_ops_console,ops_guardrail,missing,verified,live,1,browser,ops-console,ui.transition.server_accepted,ui_event,verified,verified,live,accepted,Operator action starts as normal.
trace_ops_missing_correlation,local,rf_operations_board,audsurf_ops_console,ops_guardrail,missing,verified,live,2,gateway,api-gateway,gateway.request.accepted,structured_log,verified,verified,live,accepted,Ingress captures the request.
