object_id,object_name,owning_task,mutating_tracks,consuming_tracks,production_surfaces,upstream_contract_refs,invalidation_chain,notes
OBJ_230_001,TriageTask,par_231,par_231,"par_232;par_233;par_234;par_235;par_236;par_238;par_241","packages/domains/triage_workspace/src/phase1-triage-task.ts;services/command-api/src/intake-triage.ts","data/contracts/226_triage_task.schema.json",stale_owner_recovery,"Canonical review task record and lease-bearing aggregate."
OBJ_230_002,ReviewSession,par_231,par_231,"par_232;par_233;par_235;par_241","packages/domains/triage_workspace/src/phase1-triage-task.ts;services/command-api/src/lease-fence-command.ts","data/contracts/226_review_session.schema.json",stale_owner_recovery,"Exclusive claim and buffer authority live here."
OBJ_230_003,TaskLaunchContext,par_231,par_231,"par_241","services/command-api/src/intake-triage.ts","data/contracts/226_task_launch_context.schema.json",stale_owner_recovery,"Launch and restore context for current task ownership."
OBJ_230_004,TaskCommandSettlement,par_231,par_231,"par_242","services/command-api/src/command-settlement.ts","data/contracts/226_task_command_settlement.schema.json",decision_supersession,"Append-only settlement witness for task-local mutations."
OBJ_230_005,StaffWorkspaceConsistencyProjection,par_232,par_232,"par_233;par_235;par_242","services/command-api/src/release-trust-freeze.ts","data/contracts/226_workspace_trust_and_focus_rules.json",workspace_trust_downgrade,"Top-level projection for freshness and same-shell continuity."
OBJ_230_006,WorkspaceSliceTrustProjection,par_232,par_232,"par_235;par_250","services/command-api/src/release-trust-freeze.ts","data/contracts/226_workspace_trust_and_focus_rules.json",workspace_trust_downgrade,"Per-slice trust signal for writable versus preview-only posture."
OBJ_230_007,WorkspaceTrustEnvelope,par_232,par_232,"par_233;par_235;par_242;par_250","services/command-api/src/release-trust-freeze.ts","data/contracts/226_workspace_trust_and_focus_rules.json",workspace_trust_downgrade,"Canonical envelope for mutation gating in the staff shell."
OBJ_230_008,WorkspaceContinuityEvidenceProjection,par_232,par_232,"par_242","services/command-api/src/release-trust-freeze.ts","data/contracts/226_workspace_trust_and_focus_rules.json",queue_anchor_repair,"Canonical continuity truth; later completion work only consumes it."
OBJ_230_009,ProtectedCompositionState,par_232,par_232,"par_250","services/command-api/src/release-trust-freeze.ts","data/contracts/226_workspace_trust_and_focus_rules.json",workspace_trust_downgrade,"Writable composition must freeze when trust or lease drifts."
OBJ_230_010,QueueRankPlan,par_233,par_233,"par_236;par_242","services/command-api/src/queue-ranking.ts;packages/api-contracts/src/queue-ranking.ts","data/contracts/227_queue_rank_plan.schema.json",queue_recompute_on_duplicate_resolution,"Canonical ordering recipe, not a reviewer-fit hint."
OBJ_230_011,QueueRankSnapshot,par_233,par_233,"par_235;par_236;par_242","services/command-api/src/queue-ranking.ts;services/command-api/src/reservation-queue-control.ts","data/contracts/227_queue_rank_snapshot.schema.json",queue_recompute_on_duplicate_resolution,"Stable queue evidence for continuity and next-task readiness."
OBJ_230_012,QueueRankEntry,par_233,par_233,"par_236;par_242","services/command-api/src/queue-ranking.ts","data/contracts/227_queue_rank_entry.schema.json",queue_recompute_on_duplicate_resolution,"Single canonical row in queue order."
OBJ_230_013,QueueAssignmentSuggestionSnapshot,par_233,par_233,"par_235","services/command-api/src/queue-ranking.ts","data/contracts/227_queue_assignment_suggestion_snapshot.schema.json",queue_recompute_on_duplicate_resolution,"Reviewer-fit output that may not rewrite canonical row order."
OBJ_230_014,DuplicatePairEvidence,par_234,par_234,"par_238;par_239;par_240","services/command-api/src/duplicate-review.ts;packages/domains/identity_access/src/duplicate-review-backbone.ts","data/contracts/227_duplicate_review_snapshot.schema.json",duplicate_resolution,"Immutable duplicate evidence tuple for governed review."
OBJ_230_015,DuplicateReviewSnapshot,par_234,par_234,"par_235;par_238","services/command-api/src/duplicate-review.ts","data/contracts/227_duplicate_review_snapshot.schema.json",duplicate_resolution,"Readable current duplicate posture without mutating authority."
OBJ_230_016,DuplicateResolutionDecision,par_234,par_234,"par_238;par_239;par_240;par_249;par_251","services/command-api/src/duplicate-review.ts","data/contracts/227_duplicate_review_snapshot.schema.json",duplicate_resolution,"Attach, separate, and invalidate authority for stale assumptions."
OBJ_230_017,ReviewBundle,par_235,par_235,"par_238;par_243;par_244;par_246","packages/domain-kernel/src/index.ts","data/contracts/226_review_bundle_contract.json",decision_supersession,"Deterministic case summary bundle for the workspace."
OBJ_230_018,SuggestionEnvelope,par_235,par_235,"par_238;par_246","packages/domain-kernel/src/index.ts","data/contracts/226_review_bundle_contract.json",decision_supersession,"Non-authoritative suggestion seam only."
OBJ_230_019,EvidenceDeltaPacket,par_235,par_235,"par_238","packages/domain-kernel/src/index.ts","data/contracts/226_review_bundle_contract.json",new_evidence_preempts_consequence,"Delta witness used to detect changed evidence without UI-local heuristics."
OBJ_230_020,MoreInfoCycle,par_236,par_236,par_237,"services/command-api/src/more-info-cycle.ts","data/contracts/227_more_info_cycle.schema.json",reply_window_expiry,"Deferred until first-wave runtime kernel exists."
OBJ_230_021,MoreInfoReplyWindowCheckpoint,par_236,par_236,par_237,"services/command-api/src/more-info-cycle.ts","data/contracts/227_more_info_reply_window_checkpoint.schema.json",reply_window_expiry,"Sole timer truth for more-info due state."
OBJ_230_022,MoreInfoReminderSchedule,par_236,par_236,par_237,"services/command-api/src/more-info-cycle.ts","data/contracts/227_more_info_reminder_schedule.schema.json",reply_window_expiry,"Governed reminder plan for outstanding more-info cycles."
OBJ_230_023,MoreInfoResponseDisposition,par_237,par_237,"par_238","services/command-api/src/response-assimilation.ts","data/contracts/227_more_info_response_disposition.schema.json",new_evidence_preempts_consequence,"Canonical routing for patient replies back into safety and evidence flow."
OBJ_230_024,EvidenceAssimilationRecord,par_237,par_237,"par_238","services/command-api/src/response-assimilation.ts","data/contracts/227_more_info_response_disposition.schema.json",new_evidence_preempts_consequence,"Immutable assimilation witness for new response evidence."
OBJ_230_025,MaterialDeltaAssessment,par_237,par_237,"par_238","services/command-api/src/response-assimilation.ts","data/contracts/227_more_info_response_disposition.schema.json",new_evidence_preempts_consequence,"Determines whether consequence work must pause or reopen."
OBJ_230_026,EndpointDecision,par_238,par_238,"par_239;par_240;par_249;par_251","services/command-api/src/intake-outcome.ts","data/contracts/228_endpoint_decision.schema.json",decision_supersession,"Canonical endpoint choice under the fixed taxonomy."
OBJ_230_027,DecisionEpoch,par_238,par_238,"par_239;par_240;par_243;par_244;par_249;par_251","services/command-api/src/intake-outcome.ts","data/contracts/228_decision_epoch.schema.json",decision_supersession,"Sole consequence fence for every consequence-bearing action."
OBJ_230_028,EndpointDecisionBinding,par_238,par_238,"par_239","services/command-api/src/intake-outcome.ts","data/contracts/228_endpoint_decision_binding.schema.json",decision_supersession,"Route and mutation binding for the current decision epoch."
OBJ_230_029,EndpointDecisionActionRecord,par_238,par_238,"par_239","services/command-api/src/intake-outcome.ts","data/contracts/228_endpoint_decision_action_record.schema.json",decision_supersession,"Append-only action trail for endpoint decision mutations."
OBJ_230_030,EndpointDecisionSettlement,par_238,par_238,"par_239","services/command-api/src/intake-outcome.ts","data/contracts/228_endpoint_decision_settlement.schema.json",decision_supersession,"Terminal or intermediate settlement for endpoint action execution."
OBJ_230_031,EndpointOutcomePreviewArtifact,par_238,par_238,"par_240","services/command-api/src/intake-outcome.ts","data/contracts/228_endpoint_outcome_preview_artifact.schema.json",decision_supersession,"Preview artifact that must invalidate on stale epochs or duplicate drift."
OBJ_230_032,DecisionSupersessionRecord,par_238,par_238,"par_239;par_240","services/command-api/src/intake-outcome.ts","data/contracts/228_decision_supersession_record.schema.json",decision_supersession,"Explicit stale-to-current handover for consequence changes."
OBJ_230_033,ApprovalCheckpoint,par_239,par_239,"par_240","services/command-api/src/intake-outcome.ts","data/contracts/228_approval_checkpoint.schema.json",approval_invalidation,"Human checkpoint tied to one DecisionEpoch only."
OBJ_230_034,ApprovalRequirementAssessment,par_239,par_239,"par_240","services/command-api/src/intake-outcome.ts","data/contracts/228_approval_requirement_assessment.schema.json",approval_invalidation,"Assessment output for whether approval is required."
OBJ_230_035,DutyEscalationRecord,par_239,par_239,"par_240","services/command-api/src/intake-outcome.ts","data/contracts/228_duty_escalation_record.schema.json",decision_supersession,"Governed urgent escalation witness."
OBJ_230_036,UrgentContactAttempt,par_239,par_239,"par_240","services/command-api/src/intake-outcome.ts","data/contracts/228_urgent_contact_attempt.schema.json",decision_supersession,"Contact-attempt chain for urgent escalation."
OBJ_230_037,UrgentEscalationOutcome,par_239,par_239,"par_240","services/command-api/src/intake-outcome.ts","data/contracts/228_urgent_escalation_outcome.schema.json",decision_supersession,"Auditable urgent branch outcome bound to one epoch."
OBJ_230_038,BookingIntent,par_240,par_240,"par_241","services/command-api/src/intake-outcome.ts","data/contracts/228_booking_intent.schema.json",decision_supersession,"Downstream handoff seed for appointment routes."
OBJ_230_039,PharmacyIntent,par_240,par_240,"par_241","services/command-api/src/intake-outcome.ts","data/contracts/228_pharmacy_intent.schema.json",decision_supersession,"Downstream handoff seed for pharmacy routes."
OBJ_230_040,LineageCaseLink,par_240,par_240,"par_241;par_248","services/command-api/src/intake-outcome.ts","data/contracts/228_booking_intent.schema.json",decision_supersession,"Linkage anchor between triage lineage and downstream cases."
OBJ_230_041,TriageOutcomePresentationArtifact,par_240,par_240,"par_243;par_244;par_249;par_251","services/command-api/src/intake-outcome.ts","data/contracts/228_triage_outcome_presentation_artifact.schema.json",decision_supersession,"Presentation seed for later callback, message, self-care, and admin experiences."
OBJ_230_042,TriageReopenRecord,par_241,par_241,"par_242","services/command-api/src/intake-outcome.ts","data/contracts/228_triage_reopen_record.schema.json",stale_owner_recovery,"Governed reopen witness on resolved or handed-off work."
OBJ_230_043,NextTaskLaunchLease,par_241,par_241,"par_242;par_243","services/command-api/src/intake-outcome.ts","data/contracts/228_triage_reopen_record.schema.json",stale_owner_recovery,"Launch-lease bridge for next governed work after reopen or completion."
OBJ_230_044,TaskCompletionSettlementEnvelope,par_242,par_242,,"services/command-api/src/task-completion.ts","data/contracts/226_task_command_settlement.schema.json",workspace_trust_downgrade,"Completion witness that consumes but does not own continuity truth."
