kill_switch_id,provider_family,applies_to,rule,triggered_vendor_ids
KS_EVID_001,transcription,mock_now_and_actual_later,"Reject any provider or mock that cannot keep `partial`, `ready`, `failed`, and `superseded` transcript states explicit.",
KS_EVID_002,artifact_scanning,mock_now_and_actual_later,"Reject any scan provider that cannot represent `clean`, `suspicious`, `quarantined`, `unreadable`, and `failed` outcomes separately.",
KS_EVID_003,transcription,actual_later,Reject any live transcription provider whose callbacks cannot be treated as hints followed by trusted state re-fetch or whose deletion posture is unclear.,
KS_EVID_004,artifact_scanning,actual_later,Reject any scan provider that cannot route unsafe or unreadable artifacts into explicit quarantine and fallback review.,
KS_EVID_005,transcription,actual_later,Reject any provider whose official product posture warns against entering sensitive or personal information without a stronger healthcare contract path.,google_speech_transcription
KS_EVID_006,combined,actual_later,Reject any automatic single-suite winner if it couples transcript and scan failure domains more tightly than the adapter contract requires.,aws_evidence_stack
KS_EVID_007,artifact_scanning,actual_later,Reject any provider where scan completion implies safety or readability without a separate Vecells readiness and quarantine decision.,
KS_EVID_008,transcription,actual_later,Reject any provider that makes transcript completion look like clinical usability instead of derived evidence awaiting readiness assessment.,
KS_EVID_009,artifact_scanning,actual_later,"Reject threat-intel-oriented services when portability, file handling, or quarantine orchestration are weaker than the shortlist alternatives.",virustotal_private_scanning
KS_EVID_010,transcription,actual_later,"Reject any provider whose onboarding burden or cloud coupling would force seq_035 to choose storage, identity, and vendor stack together before the product contract is frozen.",
