state,route,fixture,primary_projection,actionability,calendar_capability,recovery_visible
offer_selection_live,/nhs-app/bookings/booking_case_391/offers,live,OfferSelectionProjection,live,not_confirmed,false
exclusive_hold_selection,/nhs-app/bookings/booking_case_391/offers,exclusive-hold,OfferSelectionProjection,live,not_confirmed,false
stale_selection_recovery,/nhs-app/bookings/booking_case_391/offers,stale,OfferSelectionProjection,recovery_required,not_confirmed,true
alternative_offer_live,/nhs-app/bookings/booking_case_391/alternatives,alternatives,PatientNetworkAlternativeChoiceProjection,secondary,not_confirmed,false
alternative_offer_drifted,/nhs-app/bookings/booking_case_391/alternatives,alternatives-drifted,PatientNetworkAlternativeChoiceProjection,read_only,not_confirmed,true
waitlist_offer_live,/nhs-app/bookings/booking_case_391/waitlist,waitlist-offer,PatientWaitlistViewProjection,live,not_confirmed,false
waitlist_offer_expired,/nhs-app/bookings/booking_case_391/waitlist,waitlist-expired,PatientWaitlistViewProjection,read_only,not_confirmed,false
confirmed_manage,/nhs-app/bookings/booking_case_391/manage,manage,PatientAppointmentManageProjection,secondary,available,false
calendar_bridge_available,/nhs-app/bookings/booking_case_391/calendar,calendar,EmbeddedBookingCalendarBridgeWrapper,bridge_gated,available,false

