route_family_id,route_family,shell_type,ownership_mode,primary_surface_name,audience_tiers,primary_personas,channel_profiles,ingress_channels,owning_blueprints,governing_objects,control_plane_rules,identity_posture,visibility_policy_posture,allowed_mutations,continuity_expectations,degraded_recovery_states,external_dependency_touchpoints,scope_posture,explicit_route_contract,notes,source_refs
rf_intake_self_service,Intake / self-service form (derived),patient,shell_root,Patient intake entry,patient_public,Patient - Anonymous intake starter,browser,Browser web,blueprint-init.md; phase-0-the-foundation-protocol.md,SubmissionEnvelope; IntakeConvergenceContract; SubmissionIngressRecord; SubmissionPromotionRecord,AudienceVisibilityCoverage(patient_public); VisibilityProjectionPolicy; FallbackReviewCase; Artifact quarantine rules,Anonymous or partially identified patient until claim or sign-in uplift occurs.,Public-safe summary and governed recovery only before authenticated or grant-scoped expansion.,Capture and update SubmissionEnvelope content.; Submit for governed promotion.,The same envelope lineage survives channel switches and later same-shell recovery.,"Fallback review, artifact quarantine, or degraded receipt without shell replacement.",Binary artifact store; Optional NHS login uplift,baseline,derived,"The corpus names the intake lineage and controls, but not a final URL contract, so this route family label is derived for inventory purposes.",blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers
rf_intake_telephony_capture,Intake / telephony capture (derived),patient,same_shell_peer,Telephony / IVR intake capture,patient_public,Patient - Phone or IVR caller,constrained_browser,Telephony / IVR,blueprint-init.md; phase-0-the-foundation-protocol.md,SubmissionEnvelope; SubmissionIngressRecord; IntakeConvergenceContract; SubmissionPromotionRecord,Telephony parity rule; AudienceVisibilityCoverage(patient_public); VisibilityProjectionPolicy,Patient identification or partial identity capture over phone or IVR.,Public-safe capture and downstream status only until richer proof exists.,Append telephony ingress records.; Trigger secure-link continuation when needed.,"One intake lineage across phone, SMS continuation, and later digital recovery.","Telephony outage, retry, or governed fallback review without a separate support workflow.",Telephony adapter; Optional SMS follow-up,baseline,derived,"Derived label; the canonical rule is ingress parity, not a named route prefix.",blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law
rf_patient_secure_link_recovery,Secure-link recovery and claim resume (derived),patient,same_shell_child,Secure-link recovery and claim resume,patient_grant_scoped,Patient - Grant-scoped patient resuming a specific lineage,constrained_browser,SMS continuation / secure-link continuation,patient-account-and-communications-blueprint.md; phase-0-the-foundation-protocol.md,AccessGrantRedemptionRecord; PatientSecureLinkSessionProjection; PatientActionRecoveryProjection; PatientDegradedModeProjection; RouteIntentBinding,AudienceVisibilityCoverage(patient_public / secure_link_recovery); VisibilityProjectionPolicy; RouteFreezeDisposition; ReleaseRecoveryDisposition,Grant-scoped patient continuation before or alongside authenticated uplift.,"Summary-only or suppressed-recovery-only posture until route intent, grant, and publication checks pass.","Redeem minimal grant, claim, re-auth, and resume the specific lineage action.",Preserve the same request or child-route anchor through secure-link redemption and step-up.,"Expired-link recovery, identity hold, or safe-browser handoff without losing the active anchor.",SMS secure-link delivery; NHS login step-up,baseline,derived,Derived label used until later endpoint mapping publishes concrete URLs.,"patient-account-and-communications-blueprint.md#Patient audience coverage contract; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm"
rf_patient_home,Home,patient,shell_root,Patient home and spotlight,patient_authenticated,Patient - Authenticated portal user,browser,Browser web,patient-portal-experience-architecture-blueprint.md; patient-account-and-communications-blueprint.md,PatientPortalEntryProjection; PatientHomeProjection; PatientSpotlightDecisionProjection; PatientPortalNavigationLedger; PatientExperienceContinuityEvidenceProjection,PatientDegradedModeProjection; PatientAttentionCuePolicy; PatientTrustCueContract; VisibilityProjectionPolicy,Signed-in patient self-service context.,"Authenticated patient summary, spotlight, and section-level entry posture only after current visibility and continuity checks pass.",No direct consequence-bearing mutation; launches the next safe child action in the current shell.,"Home spotlight, nav return, and selected anchor must stay stable through refresh and adjacent child work.","Read-only, placeholder, bounded recovery, or identity-hold posture inside the same shell.",NHS login; Notification delivery rails,baseline,yes,,patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; patient-account-and-communications-blueprint.md#Patient home contract
rf_patient_requests,Requests,patient,same_shell_peer,Request list and detail,patient_authenticated,Patient - Authenticated portal user,browser,Browser web,patient-account-and-communications-blueprint.md; patient-portal-experience-architecture-blueprint.md,PatientRequestsIndexProjection; PatientRequestLineageProjection; PatientRequestDetailProjection; PatientExperienceContinuityEvidenceProjection; RouteIntentBinding; CommandActionRecord; CommandSettlementRecord,VisibilityProjectionPolicy; PatientStatusPresentationContract; PatientNavReturnContract,Authenticated or grant-scoped patient request work depending on the route and proof posture.,"Request summary, child-lineage chips, and downstream placeholders remain visibility-governed and continuity-bound.","Route-bound request follow-up such as more-info reply, recovery, and child-work entry.","Request list rows, detail, and child anchors must stay on the same request shell when continuity is unchanged.","Recovery-required, placeholder-only, or stale-row downgrade instead of detached request pages.","Messaging, callback, booking, hub, and pharmacy child projections",baseline,yes,,patient-account-and-communications-blueprint.md#Requests browsing contract; patient-account-and-communications-blueprint.md#Request detail contract
rf_patient_appointments,Appointments,patient,same_shell_peer,Appointments and manage,patient_authenticated,Patient - Authenticated portal user,browser,Browser web,patient-account-and-communications-blueprint.md; phase-4-the-booking-engine.md,PatientAppointmentWorkspaceProjection; PatientAppointmentManageProjection; PatientManageCapabilitiesProjection; ExternalConfirmationGate; PatientExperienceContinuityEvidenceProjection; RouteIntentBinding; CommandActionRecord; CommandSettlementRecord,VisibilityProjectionPolicy; BookingContinuityEvidenceProjection; ReservationAuthority,Authenticated or grant-scoped patient manage posture under current booking truth.,"Patient may see confirmed, pending-confirmation, waitlist, callback fallback, or recovery posture without false reassurance.","Manage appointment, accept waitlist or hub alternative, respond to callback fallback, and continue booking-safe actions.",Booking and manage work remains inside the same request shell and preserves the selected option anchor.,"Pending confirmation, waitlist fallback, read-only, or bounded recovery instead of detached success pages.",Booking provider adapters; External confirmation gates,baseline,yes,,"phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; patient-account-and-communications-blueprint.md#Core projections"
rf_patient_health_record,Health record,patient,same_shell_peer,Patient health record and documents,patient_authenticated,Patient - Authenticated portal user,browser,Browser web,patient-account-and-communications-blueprint.md; patient-portal-experience-architecture-blueprint.md,PatientRecordOverviewProjection; PatientResultInsightProjection; PatientDocumentLibraryProjection; RecordArtifactParityWitness; ArtifactPresentationContract; OutboundNavigationGrant,VisibilityProjectionPolicy; VisualizationParityProjection; ArtifactFallbackDisposition,Authenticated patient record access under current visibility and artifact parity rules.,"Patient-safe titles, summaries, trends, and artifact modes remain bound to current parity and visibility posture.",No direct clinical mutation; only governed artifact viewing or handoff requests where allowed.,"Record routes stay in the same signed-in shell with stable return paths to active requests, appointments, or messages.","Table-only, summary-only, placeholder-only, or artifact recovery posture in place.",Record/document delivery rails; Artifact handoff channels,baseline,yes,,phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; patient-portal-experience-architecture-blueprint.md#Primary navigation model
rf_patient_messages,Messages,patient,same_shell_peer,Messages and callback thread,patient_authenticated,Patient - Authenticated portal user,browser,Browser web,patient-account-and-communications-blueprint.md; callback-and-clinician-messaging-loop.md,ConversationThreadProjection; PatientCommunicationVisibilityProjection; PatientConversationCluster; PatientCallbackStatusProjection; RouteIntentBinding; CommandActionRecord; CommandSettlementRecord,VisibilityProjectionPolicy; PatientExperienceContinuityEvidenceProjection; ReachabilityAssessmentRecord,Authenticated or grant-scoped patient communication posture under current preview and reachability rules.,"Thread previews, reply posture, callback expectations, and delivery repair remain coverage-bound and evidence-backed.","Reply, acknowledge, or act on callback and communication work inside the current shell.","Conversation history, callback state, and reply composer must remain inside the same patient shell.","Read-only, placeholder, delivery-dispute, or recovery-required thread posture without detached message pages.",Messaging and telephony delivery rails; Reachability adapters,baseline,yes,,phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; callback-and-clinician-messaging-loop.md
rf_patient_embedded_channel,Patient embedded channel parity,patient,same_shell_peer,Embedded patient shell reuse,patient_embedded_authenticated,Patient - Embedded NHS App patient user,embedded,Embedded webview / NHS App-style embedded channel,patient-portal-experience-architecture-blueprint.md; phase-0-the-foundation-protocol.md,PatientEmbeddedSessionProjection; PatientEmbeddedNavEligibility; ReleaseApprovalFreeze; ChannelReleaseFreezeRecord; RouteFreezeDisposition,AudienceSurfaceRuntimeBinding; VisibilityProjectionPolicy; ReleaseRecoveryDisposition,Authenticated patient in a trusted embedded host context.,"The same patient shell, narrowed by embedded manifest, bridge, and release posture.","The same route-bound patient actions as browser mode, but only while embedded validation remains exact.",Keep shell identity while the channel profile changes to embedded_strip or bounded recovery.,"Safe-browser handoff, read-only, placeholder, or blocked posture inside the same shell.",Embedded host bridge; Release and channel freezes,deferred,yes,,"patient-portal-experience-architecture-blueprint.md#Control priorities; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm"
rf_staff_workspace,"/workspace, /workspace/queue/:queueKey, /workspace/task/:taskId",staff,shell_root,Clinical Workspace queue and task canvas,origin_practice_clinical; origin_practice_operations,Staff - Clinician or designated reviewer in Clinical Workspace; Staff - Practice operational staff,browser,Browser web,staff-workspace-interface-architecture.md; staff-operations-and-support-blueprint.md,WorkspaceNavigationLedger; StaffAudienceCoverageProjection; StaffWorkspaceConsistencyProjection; WorkspaceTrustEnvelope; ReviewActionLease; WorkspaceSelectedAnchorPolicy,AudienceSurfaceRuntimeBinding; VisibilityProjectionPolicy; RouteIntentBinding; CommandActionRecord; CommandSettlementRecord,Practice-scoped clinical or operational review posture inside the staff shell.,"Practice-only detail and decision context without hub, support, or governance payload leakage.","Claim, review, issue direct outcomes, and launch child actions within current role scope.","Same request lineage, same staff shell; queue, task, and selected anchor remain stable across switches and refresh.","Observe-only, reassigned, or recovery-required task posture that preserves the last safe task summary.","Staff auth rail; Downstream booking, callback, pharmacy, and admin-resolution services",baseline,yes,,staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Workspace shell-family ownership is explicit
