policy_row_id,provider_family,environment,scan_policy_ref,verdict_state,quarantine_action,fallback_review_action,webhook_profile_ref,retention_policy_ref,region_policy_ref,notes
SCAN_POLICY_CLEAN_LOCAL,artifact_scanning,local,POLICY_CLEAN_LOCAL,clean,hold_until_release_check,not_required,WEBHOOK_SCAN_OPSWAT_CALLBACK,RET_SCAN_TAGS_30D,REGION_MOCK_LOCAL_ONLY,Even clean verdicts wait for release and evidence binding.
SCAN_POLICY_SUSPICIOUS_HOLD,artifact_scanning,preview,POLICY_SUSPICIOUS_REVIEW,suspicious,manual_review_hold,security_review_required,WEBHOOK_SCAN_OPSWAT_CALLBACK,RET_QUARANTINE_14D,REGION_MOCK_LOCAL_ONLY,Suspicious files stay blocked until an operator decides.
SCAN_POLICY_QUARANTINED_BUCKET,artifact_scanning,provider_like_preprod,POLICY_GUARDDUTY_BUCKET_HOLD,quarantined,keep_in_bucket_quarantine,operator_release_or_destroy,WEBHOOK_SCAN_GUARDDUTY_EVENTBRIDGE,RET_QUARANTINE_14D,REGION_AWS_EU_SCAN_PLAN,GuardDuty-style event plus tag flow.
SCAN_POLICY_UNREADABLE_RETRY,artifact_scanning,local,POLICY_UNREADABLE_REACQUIRE,unreadable,stay_blocked,request_reacquire,WEBHOOK_SCAN_OPSWAT_CALLBACK,RET_QUARANTINE_14D,REGION_MOCK_LOCAL_ONLY,Unreadable evidence stays distinct from hard failure.
SCAN_POLICY_FAILED_ESCALATE,artifact_scanning,provider_like_preprod,POLICY_FAILED_ESCALATE,failed,block_and_raise_alert,manual_triage_required,WEBHOOK_SCAN_GUARDDUTY_EVENTBRIDGE,RET_SCAN_TAGS_30D,REGION_AWS_EU_SCAN_PLAN,Failure never counts as implicit pass-through.
SCAN_POLICY_OPSWAT_PRIVATE_ONLY,artifact_scanning,actual_later,POLICY_PRIVATE_PROCESSING_ONLY,clean,hold_until_private_processing_verified,security_review_required,WEBHOOK_SCAN_OPSWAT_CALLBACK,RET_QUARANTINE_14D,REGION_OPSWAT_FORCED_EU,Blocks live MetaDefender use without private processing.
SCAN_POLICY_CALLBACK_UNSIGNED,artifact_scanning,preview,POLICY_CALLBACK_UNSIGNED,failed,hold_and_refetch,webhook_retry_required,WEBHOOK_SCAN_OPSWAT_CALLBACK,RET_SCAN_TAGS_30D,REGION_MOCK_LOCAL_ONLY,Unsigned callback remains only a hint.
SCAN_POLICY_REGION_MISMATCH,artifact_scanning,actual_later,POLICY_REGION_MISMATCH,failed,block_live_setup,architecture_review_required,WEBHOOK_SCAN_GUARDDUTY_EVENTBRIDGE,RET_SCAN_TAGS_30D,REGION_AWS_EU_SCAN_PLAN,Prevents cross-region rollout drift.
TRANS_POLICY_PARTIAL_NEVER_SETTLE,transcription,local,POLICY_PARTIAL_TRANSCRIPT_HOLD,partial,retain_higher_level_hold,await_ready_or_manual_review,WEBHOOK_TRANSCRIPT_ASSEMBLYAI,RET_TRANSCRIPT_TRANSIENT_24H,REGION_MOCK_LOCAL_ONLY,Partial transcript output cannot settle evidence usability.
TRANS_POLICY_FAILED_RETRY,transcription,provider_like_preprod,POLICY_TRANSCRIPT_FAILED_RETRY,failed,hold_until_recovery,manual_retry_or_callback_fallback,WEBHOOK_TRANSCRIPT_DEEPGRAM,RET_TRANSCRIPT_REDACTED_7D,REGION_EU_TRANSCRIPT_ONLY,Failed transcription does not close the evidence branch.
TRANS_POLICY_SUPERSEDED_REBIND,transcription,local,POLICY_SUPERSEDED_REBIND,superseded,retain_previous_hold,replacement_binding_required,WEBHOOK_TRANSCRIPT_DEEPGRAM,RET_TRANSCRIPT_REDACTED_7D,REGION_MOCK_LOCAL_ONLY,Superseded jobs cannot keep downstream readiness alive.
TRANS_POLICY_WEBHOOK_RETRY,transcription,provider_like_preprod,POLICY_TRANSCRIPT_WEBHOOK_RETRY,ready,hold_until_signature_validated,retry_and_refetch,WEBHOOK_TRANSCRIPT_ASSEMBLYAI,RET_TRANSCRIPT_TRANSIENT_24H,REGION_EU_TRANSCRIPT_ONLY,Ready transcript is still blocked while webhook authenticity is unresolved.
