contract_id,route_family_ref,keyboard_model,focus_transition_scope,trigger,current_target_ref,previous_target_ref,next_target_ref,disposition,contract_state,motion_equivalence_ref,zoom_reflow_ref,dom_marker_ref,coverage_state,design_contract_publication_bundle_ref,rationale,source_refs
FTC_111_GOVERNANCE_SHELL_SAME_SHELL_REFRESH_V1,rf_governance_shell,tabs,surface_root,same_shell_refresh,focus.current.governance_shell,focus.selected_anchor.governance_shell,focus.current.governance_shell,preserve,provisional,reduced_motion.summary_only_equivalent,zoom.400_equivalent_reflow,governance_shell-current,degraded,dcpb::governance_admin::planned,Same-shell changes preserve the active focus target.,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
FTC_111_GOVERNANCE_SHELL_BUFFERED_UPDATE_V1,rf_governance_shell,tabs,surface_root,buffered_update,focus.current.governance_shell,focus.selected_anchor.governance_shell,focus.current.governance_shell,preserve,provisional,reduced_motion.summary_only_equivalent,zoom.400_equivalent_reflow,governance_shell-current,degraded,dcpb::governance_admin::planned,Same-shell changes preserve the active focus target.,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
FTC_111_GOVERNANCE_SHELL_MISSION_STACK_FOLD_V1,rf_governance_shell,tabs,surface_root,mission_stack_fold,focus.current.governance_shell,focus.selected_anchor.governance_shell,focus.current.governance_shell,preserve,provisional,reduced_motion.summary_only_equivalent,zoom.400_equivalent_reflow,governance_shell-current,degraded,dcpb::governance_admin::planned,Same-shell changes preserve the active focus target.,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
FTC_111_GOVERNANCE_SHELL_MISSION_STACK_UNFOLD_V1,rf_governance_shell,tabs,surface_root,mission_stack_unfold,focus.current.governance_shell,focus.selected_anchor.governance_shell,focus.current.governance_shell,preserve,provisional,reduced_motion.summary_only_equivalent,zoom.400_equivalent_reflow,governance_shell-current,degraded,dcpb::governance_admin::planned,Same-shell changes preserve the active focus target.,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
FTC_111_GOVERNANCE_SHELL_RESTORE_V1,rf_governance_shell,tabs,surface_root,restore,focus.current.governance_shell,focus.selected_anchor.governance_shell,focus.selected_anchor.governance_shell,restore_previous,provisional,reduced_motion.summary_only_equivalent,zoom.400_equivalent_reflow,governance_shell-selected-anchor,degraded,dcpb::governance_admin::planned,Restore returns focus to the last meaningful in-shell target.,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
FTC_111_GOVERNANCE_SHELL_INVALIDATION_V1,rf_governance_shell,tabs,surface_root,invalidation,focus.current.governance_shell,focus.selected_anchor.governance_shell,focus.summary.governance_shell,move_summary,provisional,reduced_motion.summary_only_equivalent,zoom.400_equivalent_reflow,governance_shell-summary,degraded,dcpb::governance_admin::planned,Surface-root invalidation moves focus to the verified summary.,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
FTC_111_GOVERNANCE_SHELL_RECOVERY_RETURN_V1,rf_governance_shell,tabs,surface_root,recovery_return,focus.current.governance_shell,focus.selected_anchor.governance_shell,focus.selected_anchor.governance_shell,restore_previous,provisional,reduced_motion.summary_only_equivalent,zoom.400_equivalent_reflow,governance_shell-selected-anchor,degraded,dcpb::governance_admin::planned,Recovery returns focus to the prior meaningful target when it is still valid.,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
FTC_111_HUB_CASE_MANAGEMENT_SAME_SHELL_REFRESH_V1,rf_hub_case_management,tab_ring,surface_root,same_shell_refresh,focus.current.hub_case_management,focus.selected_anchor.hub_case_management,focus.current.hub_case_management,preserve,exact,reduced_motion.equivalent,zoom.400_equivalent_reflow,hub_case_management-current,complete,dcpb::hub_desk::planned,Same-shell changes preserve the active focus target.,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
FTC_111_HUB_CASE_MANAGEMENT_BUFFERED_UPDATE_V1,rf_hub_case_management,tab_ring,surface_root,buffered_update,focus.current.hub_case_management,focus.selected_anchor.hub_case_management,focus.current.hub_case_management,preserve,exact,reduced_motion.equivalent,zoom.400_equivalent_reflow,hub_case_management-current,complete,dcpb::hub_desk::planned,Same-shell changes preserve the active focus target.,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
FTC_111_HUB_CASE_MANAGEMENT_MISSION_STACK_FOLD_V1,rf_hub_case_management,tab_ring,surface_root,mission_stack_fold,focus.current.hub_case_management,focus.selected_anchor.hub_case_management,focus.current.hub_case_management,preserve,exact,reduced_motion.equivalent,zoom.400_equivalent_reflow,hub_case_management-current,complete,dcpb::hub_desk::planned,Same-shell changes preserve the active focus target.,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
FTC_111_HUB_CASE_MANAGEMENT_MISSION_STACK_UNFOLD_V1,rf_hub_case_management,tab_ring,surface_root,mission_stack_unfold,focus.current.hub_case_management,focus.selected_anchor.hub_case_management,focus.current.hub_case_management,preserve,exact,reduced_motion.equivalent,zoom.400_equivalent_reflow,hub_case_management-current,complete,dcpb::hub_desk::planned,Same-shell changes preserve the active focus target.,prompt/111.md; prompt/shared_operating_contract_106_to_115.md; prompt/AGENT.md; prompt/checklist.md; blueprint/accessibility-and-content-system-contract.md#AccessibleSurfaceContract; blueprint/accessibility-and-content-system-contract.md#KeyboardInteractionContract; blueprint/accessibility-and-content-system-contract.md#FocusTransitionContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementContract; blueprint/accessibility-and-content-system-contract.md#AssistiveAnnouncementTruthProjection; blueprint/accessibility-and-content-system-contract.md#VisualizationParityProjection; blueprint/canonical-ui-contract-kernel.md#SurfaceStateKernelBinding; blueprint/platform-frontend-blueprint.md#AccessibilitySemanticCoverageProfile; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; blueprint/forensic-audit-findings.md#Finding 86; blueprint/forensic-audit-findings.md#Finding 92; blueprint/forensic-audit-findings.md#Finding 93; blueprint/forensic-audit-findings.md#Finding 116; blueprint/forensic-audit-findings.md#Finding 117; blueprint/forensic-audit-findings.md#Finding 118; blueprint/forensic-audit-findings.md#Finding 120
