environment_id,environment_label,route_id,route_purpose,source_mailbox_alias,destination_mailbox_alias,binding_mode,portal_automation_state,verification_mode,verification_state,notes
local_twin,Local MESH twin,route_335_hub_notice_local,practice_visibility_notice,MBX_VEC_HUB_LOCAL,MBX_PRACTICE_PROXY_LOCAL,mailbox_required,fully_automated,automated_local_twin,manifest_ready,Transport acceptance and delivery download do not clear acknowledgement debt.
local_twin,Local MESH twin,route_335_practice_ack_local,practice_business_ack,MBX_PRACTICE_PROXY_LOCAL,MBX_VEC_HUB_LOCAL,mailbox_required,fully_automated,automated_local_twin,manifest_ready,Mailbox pickup is weaker than business acknowledgement and cannot settle the case by itself.
local_twin,Local MESH twin,route_335_reminder_refresh_local,practice_visibility_refresh_after_reminder,MBX_VEC_HUB_LOCAL,MBX_PRACTICE_PROXY_LOCAL,mailbox_required,fully_automated,automated_local_twin,manifest_ready,Reminder transport success must not imply the origin practice has acknowledged refreshed continuity.
local_twin,Local MESH twin,route_335_recovery_follow_up_local,hub_manual_recovery_follow_up,MBX_VEC_HUB_LOCAL,MBX_PRACTICE_PROXY_LOCAL,mailbox_required,fully_automated,automated_local_twin,manifest_ready,"Transport acceptance is evidence of action only, not evidence that recovery succeeded."
local_twin,Local MESH twin,route_335_servicing_site_relay_local,servicing_site_relay_notice,MBX_VEC_HUB_LOCAL,MBX_SERVICING_SITE_LOCAL,mailbox_required,fully_automated,automated_local_twin,manifest_ready,Servicing-site relay never clears practice acknowledgement debt or patient-facing truth.
path_to_live_deployment,Path to Live deployment,route_335_hub_notice_ptl,practice_visibility_notice,MBX_VEC_HUB_PTL,MBX_PRACTICE_PROXY_PTL,mailbox_required,manual_bridge_required,manual_bridge_required,manual_bridge_required,PTL transport acceptance is still weaker than business acknowledgement and cannot settle the case.
path_to_live_deployment,Path to Live deployment,route_335_practice_ack_ptl,practice_business_ack,MBX_PRACTICE_PROXY_PTL,MBX_VEC_HUB_PTL,mailbox_required,manual_bridge_required,manual_bridge_required,manual_bridge_required,MOLES and mailbox tracking do not replace a current-generation business acknowledgement record.
path_to_live_deployment,Path to Live deployment,route_335_recovery_follow_up_ptl,hub_manual_recovery_follow_up,MBX_VEC_HUB_PTL,MBX_PRACTICE_PROXY_PTL,mailbox_required,manual_bridge_required,manual_bridge_required,manual_bridge_required,Recovery dispatch in PTL is action evidence only and not recovery settlement.
path_to_live_deployment,Path to Live deployment,route_335_servicing_site_relay_ptl,servicing_site_relay_notice,MBX_VEC_HUB_PTL,MBX_SERVICING_SITE_PTL,mailbox_required,manual_bridge_required,manual_bridge_required,manual_bridge_required,Servicing-site relay still cannot clear practice acknowledgement debt or patient closure.
path_to_live_integration,Path to Live integration,premailbox_335_hub_notice_ptl_integration,practice_visibility_notice,MAILBOX_NOT_REQUIRED,MAILBOX_NOT_REQUIRED,api_smoke_without_mailbox,not_required,pre_mailbox_api_smoke,pre_mailbox_rehearsal_only,Path to Live integration is recorded explicitly as pre-mailbox rehearsal only.
path_to_live_integration,Path to Live integration,premailbox_335_practice_ack_ptl_integration,practice_business_ack,MAILBOX_NOT_REQUIRED,MAILBOX_NOT_REQUIRED,api_smoke_without_mailbox,not_required,pre_mailbox_api_smoke,pre_mailbox_rehearsal_only,No mailbox-backed acknowledgement route exists until Path to Live deployment onboarding completes.
