account_or_secret_id,dependency_family,dependency_title,environment,record_class,current_lane,owner_role,backup_owner_role,creator_role,approver_role,storage_backend,distribution_method,rotation_policy,revocation_policy,audit_sink,exposure_constraints,allowed_usage_surfaces,manual_checkpoint_required,live_gate_refs,mock_equivalent_ref,origin_source,landing_zone,runtime_injection_path,dual_control_required,redaction_profile,risk_refs,source_refs,notes
ACC_BOOKING_LOCAL_SIM_PRINCIPAL,booking_supplier,Booking supplier boundary,local_mock,service_principal,mock_now,ROLE_BOOKING_DOMAIN_LEAD,ROLE_INTEROPERABILITY_LEAD,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_GOVERNANCE_LEAD,local_ephemeral_secret_store,deterministic_seed_bootstrap,per_spin_up_or_pipeline_run,destroy_seed_material_reset_environment_append_mock_audit,MockCredentialSeedAudit,"No markdown literals, no console echo, no trace/video capture, screenshots only after explicit redaction, runtime reference handles only.",booking_supplier_simulator; svc_booking_adapter,no,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_SUPPLIER_CAPABILITY_REVIEW,,deterministic_seed_generator,seed_bootstrap_outside_repo,ephemeral_runtime_secret_mount,no,full_secret_mask_and_capture_block,RISK_EXT_IM1_SCAL_DELAY; RISK_BOOKING_002; RISK_PHARMACY_001; RISK_RUNTIME_001; RISK_RECOVERY_001; RISK_BOOKING_001; RISK_EXT_BOOKING_PROVIDER_GAP; RISK_OWNERSHIP_003,blueprint/phase-4-the-booking-engine.md#4B. Provider capability matrix and adapter seam; data/analysis/external_dependencies.json#dep_local_booking_supplier_adapters,"Mock booking adapter principal for slot, revalidation, and confirmation-truth tests."
SEC_BOOKING_CI_CALLBACK,booking_supplier,Booking supplier boundary,ci_mock,webhook_secret,mock_now,ROLE_BOOKING_DOMAIN_LEAD,ROLE_INTEROPERABILITY_LEAD,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_GOVERNANCE_LEAD,ci_ephemeral_secret_store,short_lived_ci_secret_injection,per_spin_up_or_pipeline_run,destroy_seed_material_reset_environment_append_mock_audit,MockCredentialSeedAudit,"No markdown literals, no console echo, no trace/video capture, screenshots only after explicit redaction, runtime reference handles only.",booking_supplier_simulator; svc_booking_adapter,no,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_SUPPLIER_CAPABILITY_REVIEW,,ci_seed_and_runtime_bootstrap,seed_bootstrap_outside_repo,ephemeral_runtime_secret_mount,no,full_secret_mask_and_capture_block,RISK_EXT_IM1_SCAL_DELAY; RISK_BOOKING_002; RISK_PHARMACY_001; RISK_RUNTIME_001; RISK_RECOVERY_001; RISK_BOOKING_001; RISK_EXT_BOOKING_PROVIDER_GAP; RISK_OWNERSHIP_003,blueprint/phase-4-the-booking-engine.md#4B. Provider capability matrix and adapter seam; data/analysis/external_dependencies.json#dep_local_booking_supplier_adapters,Mock booking callback secret for duplicate and stale-candidate replay tests.
DATA_BOOKING_SHARED_DEV_CAPABILITY_PACK,booking_supplier,Booking supplier boundary,shared_dev,sandbox_dataset,mock_now,ROLE_BOOKING_DOMAIN_LEAD,ROLE_INTEROPERABILITY_LEAD,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_GOVERNANCE_LEAD,shared_nonprod_fixture_registry,deterministic_seed_bootstrap,daily_shared_reset_or_on_contract_change,destroy_seed_material_reset_environment_append_mock_audit,MockCredentialSeedAudit,Synthetic-only material; never mix with live partner outputs or live patient-like identifiers.,booking_supplier_simulator; svc_booking_adapter; seed_reset_job,no,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_SUPPLIER_CAPABILITY_REVIEW,,deterministic_seed_generator,seed_bootstrap_outside_repo,seed_fixture_sync_and_environment_reset,no,synthetic_only_render,RISK_EXT_IM1_SCAL_DELAY; RISK_BOOKING_002; RISK_PHARMACY_001; RISK_RUNTIME_001; RISK_RECOVERY_001; RISK_BOOKING_001; RISK_EXT_BOOKING_PROVIDER_GAP; RISK_OWNERSHIP_003,blueprint/phase-4-the-booking-engine.md#4B. Provider capability matrix and adapter seam; data/analysis/external_dependencies.json#dep_local_booking_supplier_adapters,Supplier capability matrix and slot-snapshot fixtures.
ACC_BOOKING_SUPPLIER_INTEGRATION_PRINCIPAL,booking_supplier,Booking supplier boundary,integration,service_principal,actual_later,ROLE_BOOKING_DOMAIN_LEAD,ROLE_INTEROPERABILITY_LEAD,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_GOVERNANCE_LEAD,shared_nonprod_vault,dual_control_capture_then_vault_ingest,every_90_days_or_provider_maximum,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,ExternalAccessLifecycleLedger,"No markdown literals, no console echo, no trace/video capture, screenshots only after explicit redaction, runtime reference handles only.",svc_booking_adapter; browser_automation_dry_run,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_SUPPLIER_CAPABILITY_REVIEW,ACC_BOOKING_LOCAL_SIM_PRINCIPAL,partner_portal_download_or_secure_operator_capture,partner_capture_quarantine,nonprod_workload_identity_fetch,yes,full_secret_mask_and_capture_block,RISK_EXT_IM1_SCAL_DELAY; RISK_BOOKING_002; RISK_PHARMACY_001; RISK_RUNTIME_001; RISK_RECOVERY_001; RISK_BOOKING_001; RISK_EXT_BOOKING_PROVIDER_GAP; RISK_OWNERSHIP_003,blueprint/phase-4-the-booking-engine.md#4B. Provider capability matrix and adapter seam; data/analysis/external_dependencies.json#dep_local_booking_supplier_adapters; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Live booking supplier principal requires capability-matrix parity and fallback review.
ACC_EMAIL_LOCAL_SIM_PRINCIPAL,email,Email and secure-link notification rail,local_mock,service_principal,mock_now,ROLE_COMMUNICATIONS_PLATFORM_LEAD,ROLE_SUPPORT_LEAD,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_SECURITY_LEAD,local_ephemeral_secret_store,deterministic_seed_bootstrap,per_spin_up_or_pipeline_run,destroy_seed_material_reset_environment_append_mock_audit,MockCredentialSeedAudit,"No markdown literals, no console echo, no trace/video capture, screenshots only after explicit redaction, runtime reference handles only.",notification_simulator; tests_playwright_external; svc_notification_worker,no,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_VENDOR_SENDER_REVIEW,,deterministic_seed_generator,seed_bootstrap_outside_repo,ephemeral_runtime_secret_mount,no,full_secret_mask_and_capture_block,HZ_TELEPHONY_EVIDENCE_INADEQUACY; HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE; RISK_EXT_COMMS_VENDOR_DELAY; HZ_WRONG_PATIENT_BINDING,data/analysis/external_dependencies.json#dep_email_notification_provider; data/analysis/provider_family_scorecards.json#notifications_email,Local email simulator principal for secure-link and delivery-state testing.
ID_EMAIL_LOCAL_SENDER,email,Email and secure-link notification rail,local_mock,sender_identity,mock_now,ROLE_COMMUNICATIONS_PLATFORM_LEAD,ROLE_SUPPORT_LEAD,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_SECURITY_LEAD,local_ephemeral_secret_store,deterministic_seed_bootstrap,per_spin_up_or_pipeline_run,destroy_seed_material_reset_environment_append_mock_audit,MockCredentialSeedAudit,"Metadata may appear only as placeholder, hash, or approved identifier digest; never adjacent to live secret values.",notification_simulator; tests_playwright_external; svc_notification_worker; notification_template_registry,no,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_VENDOR_SENDER_REVIEW,,deterministic_seed_generator,seed_bootstrap_outside_repo,control_plane_metadata_publication,no,masked_identifier_and_placeholder_render,HZ_TELEPHONY_EVIDENCE_INADEQUACY; HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE; RISK_EXT_COMMS_VENDOR_DELAY; HZ_WRONG_PATIENT_BINDING,data/analysis/external_dependencies.json#dep_email_notification_provider; data/analysis/provider_family_scorecards.json#notifications_email,Local-only sender identity placeholder.
SEC_EMAIL_CI_WEBHOOK,email,Email and secure-link notification rail,ci_mock,webhook_secret,mock_now,ROLE_COMMUNICATIONS_PLATFORM_LEAD,ROLE_SUPPORT_LEAD,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_SECURITY_LEAD,ci_ephemeral_secret_store,short_lived_ci_secret_injection,per_spin_up_or_pipeline_run,destroy_seed_material_reset_environment_append_mock_audit,MockCredentialSeedAudit,"No markdown literals, no console echo, no trace/video capture, screenshots only after explicit redaction, runtime reference handles only.",notification_simulator; tests_playwright_external; svc_notification_worker,no,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_VENDOR_SENDER_REVIEW,,ci_seed_and_runtime_bootstrap,seed_bootstrap_outside_repo,ephemeral_runtime_secret_mount,no,full_secret_mask_and_capture_block,HZ_TELEPHONY_EVIDENCE_INADEQUACY; HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE; RISK_EXT_COMMS_VENDOR_DELAY; HZ_WRONG_PATIENT_BINDING,data/analysis/external_dependencies.json#dep_email_notification_provider; data/analysis/provider_family_scorecards.json#notifications_email,CI-only email callback secret.
ACC_EMAIL_PREPROD_PROJECT,email,Email and secure-link notification rail,preprod,service_principal,actual_later,ROLE_COMMUNICATIONS_PLATFORM_LEAD,ROLE_SUPPORT_LEAD,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_SECURITY_LEAD,preprod_vault,dual_control_capture_then_vault_ingest,every_90_days_or_before_release_candidate_widen,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,ExternalAccessLifecycleLedger,"No markdown literals, no console echo, no trace/video capture, screenshots only after explicit redaction, runtime reference handles only.",svc_notification_worker; browser_automation_dry_run; ops_vendor_control_plane,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_VENDOR_SENDER_REVIEW,ACC_EMAIL_LOCAL_SIM_PRINCIPAL,partner_portal_download_or_secure_operator_capture,partner_capture_quarantine,preprod_workload_identity_fetch,yes,full_secret_mask_and_capture_block,HZ_TELEPHONY_EVIDENCE_INADEQUACY; HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE; RISK_EXT_COMMS_VENDOR_DELAY; HZ_WRONG_PATIENT_BINDING,data/analysis/external_dependencies.json#dep_email_notification_provider; data/analysis/provider_family_scorecards.json#notifications_email; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Preprod email project principal for secure-link delivery validation.
SEC_EMAIL_PRODUCTION_WEBHOOK,email,Email and secure-link notification rail,production,webhook_secret,actual_later,ROLE_COMMUNICATIONS_PLATFORM_LEAD,ROLE_SUPPORT_LEAD,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_SECURITY_LEAD,production_vault,dual_control_capture_then_vault_ingest,dual_control_every_60_days_or_on_incident,disable_at_provider_rotate_dependent_handles_republish_runtime_append_audit,ExternalAccessLifecycleLedger,"No markdown literals, no console echo, no trace/video capture, screenshots only after explicit redaction, runtime reference handles only.",svc_notification_worker; browser_automation_dry_run; ops_vendor_control_plane,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_VENDOR_SENDER_REVIEW,SEC_EMAIL_CI_WEBHOOK,partner_portal_download_or_secure_operator_capture,partner_capture_quarantine,production_workload_identity_fetch,yes,full_secret_mask_and_capture_block,HZ_TELEPHONY_EVIDENCE_INADEQUACY; HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE; RISK_EXT_COMMS_VENDOR_DELAY; HZ_WRONG_PATIENT_BINDING,data/analysis/external_dependencies.json#dep_email_notification_provider; data/analysis/provider_family_scorecards.json#notifications_email; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Production email callback secret remains dual controlled.
ID_EMAIL_PRODUCTION_SENDER,email,Email and secure-link notification rail,production,sender_identity,actual_later,ROLE_COMMUNICATIONS_PLATFORM_LEAD,ROLE_SUPPORT_LEAD,ROLE_PARTNER_ONBOARDING_LEAD,ROLE_SECURITY_LEAD,partner_metadata_registry,approved_metadata_publish,quarterly_recertification_and_on_topology_change,remove_from_partner_registry_republish_runtime_metadata_append_audit,ExternalAccessLifecycleLedger,"Metadata may appear only as placeholder, hash, or approved identifier digest; never adjacent to live secret values.",svc_notification_worker; browser_automation_dry_run; ops_vendor_control_plane; notification_template_registry,yes,GATE_EXTERNAL_TO_FOUNDATION; LIVE_GATE_VENDOR_SENDER_REVIEW,ID_EMAIL_LOCAL_SENDER,provider_admin_console_or_partner_form,partner_metadata_review_queue,control_plane_metadata_publication,yes,masked_identifier_and_placeholder_render,HZ_TELEPHONY_EVIDENCE_INADEQUACY; HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE; RISK_EXT_COMMS_VENDOR_DELAY; HZ_WRONG_PATIENT_BINDING,data/analysis/external_dependencies.json#dep_email_notification_provider; data/analysis/provider_family_scorecards.json#notifications_email; docs/external/21_integration_priority_and_execution_matrix.md#Scorecards And Secret Posture,Production sender identity requires wrong-recipient drill and support routing.
