evidence_id,capability_id,evidence_family,evidence_ref,command_or_validator,status,classification,notes
EV372_001,CAP372_01,core_suite,data/test/369_suite_results.json,pnpm validate:369-phase6-core-suite,passed,proved,eligibility provider choice dispatch and outcome suite passed
EV372_002,CAP372_02,provider_choice,data/test/369_eligibility_and_provider_choice_cases.csv,pnpm exec tsx tests/playwright/369_patient_provider_choice_and_dispatch.spec.ts --run,passed,proved,full choice and warning posture proven
EV372_003,CAP372_03,dispatch_proof,data/test/369_dispatch_idempotency_and_proof_cases.csv,pnpm exec vitest run tests/integration/369_phase6_core_suite.spec.ts,passed,proved_with_constraints,local transport abstractions passed live onboarding bounded
EV372_004,CAP372_05,outcome_reconciliation,data/test/369_outcome_reconciliation_cases.csv,pnpm exec tsx tests/playwright/369_outcome_review_and_reconciliation.spec.ts --run,passed,proved_with_constraints,Update Record observation certification remains external
EV372_005,CAP372_06,exception_suite,data/test/370_suite_results.json,pnpm validate:370-phase6-exception-suite,passed,proved,bounce back urgent return and exceptions passed
EV372_006,CAP372_07,practice_visibility,data/test/370_practice_visibility_and_exception_queue_cases.csv,pnpm exec tsx tests/playwright/370_practice_visibility_and_exception_workbench.spec.ts --run,passed,proved,exception queues and provider outage visible
EV372_007,CAP372_08,console_browser,data/test/371_console_and_workbench_cases.csv,pnpm exec tsx tests/playwright/371_console_responsive_and_same_shell.spec.ts --run,passed,proved,same shell and mission stack proven
EV372_008,CAP372_04,patient_status,data/test/371_patient_status_and_return_state_cases.csv,pnpm exec tsx tests/playwright/371_patient_status_and_return_states.spec.ts --run,passed,proved,pending review repair urgent and calm states proven
EV372_009,CAP372_09,accessibility_browser,data/test/371_accessibility_and_reduced_motion_cases.csv,pnpm exec tsx tests/playwright/371_accessibility_keyboard_and_aria.spec.ts --run,passed,proved_with_constraints,manual AT remains carry forward
EV372_010,CAP372_09,visual_device,data/test/371_visual_baseline_manifest.json,pnpm exec tsx tests/playwright/371_reflow_reduced_motion_and_visual.spec.ts --run,passed,proved_with_constraints,Chromium baselines and Firefox smoke passed
EV372_011,CAP372_10,rollout_guardrails,data/contracts/372_phase6_rollout_guardrail_pack.json,pnpm validate:372-phase6-exit-gate,passed,proved_with_constraints,live rollback rehearsal remains carry forward
