capability_family_id,evidence_kind,artifact_ref,task_ref,proof_basis,status,notes
patient_home_and_requests,implementation,data/contracts/215_patient_home_requests_and_request_detail_surface_contract.json,par_210;par_215,repository_run,approved,"Quiet-home projection and patient request entry contract."
patient_home_and_requests,automated_proof,tests/playwright/215_patient_home_requests_and_request_detail_routes.spec.js,par_210;par_215,repository_run,approved,"Browser proof for home-to-request continuity and same-shell entry."
patient_home_and_requests,suite_binding,data/test/224_suite_results.json,seq_224,mixed,approved,"Seq 224 covers home-to-detail, refresh, and stale-link continuity."
request_detail_and_typed_patient_action_routing,implementation,data/analysis/211_request_lineage_ordering_and_action_matrix.csv,par_211;par_215,repository_run,approved,"Canonical request lineage ordering and action-routing matrix."
request_detail_and_typed_patient_action_routing,automated_proof,tools/analysis/validate_patient_request_projection_stack.py,par_211;par_215,repository_run,approved,"Validator for projection-owned request detail and typed action routing."
request_detail_and_typed_patient_action_routing,suite_binding,data/test/224_suite_results.json,seq_224,mixed,approved,"Seq 224 proves request-detail return bundles and replay-safe continuity."
more_info_callback_and_contact_repair,implementation,data/contracts/216_more_info_callback_contact_repair_ui_contract.json,par_212;par_216,mixed,approved,"UI contract for more-info, callback, and contact repair flows."
more_info_callback_and_contact_repair,automated_proof,tools/analysis/validate_more_info_callback_contact_repair_ui.py,par_212;par_216,mixed,approved,"Validator for reply-window, callback, repair, and confirmation states."
more_info_callback_and_contact_repair,suite_binding,data/test/224_suite_results.json,seq_224,mixed,approved,"Seq 224 proves deep-link, callback repair, and stale-link recovery behavior."
records_and_communications,implementation,data/contracts/217_health_record_and_communications_ui_contract.json,par_213;par_214;par_217,mixed,approved,"Unified contract for health-record and communications presentation states."
records_and_communications,automated_proof,tools/analysis/validate_records_and_communications_ui.py,par_213;par_214;par_217,mixed,approved,"Validator for artifact parity, preview restrictions, and chart/table fallback."
records_and_communications,suite_binding,data/test/224_suite_results.json,seq_224,mixed,approved,"Seq 224 proves record-artifact parity and communication visibility cases."
support_entry_and_inbox,implementation,data/contracts/220_staff_entry_surface_contract.json,par_218;par_219;par_220,repository_run,approved,"Contract for quiet workbench, inbox, and route-launch continuity."
support_entry_and_inbox,automated_proof,tools/analysis/validate_staff_entry_surfaces.py,par_218;par_219;par_220,repository_run,approved,"Validator for staff entry layout, interrupt posture, and governed launch routes."
support_entry_and_inbox,suite_binding,data/test/224_suite_results.json,seq_224,mixed,approved,"Seq 224 proves inbox-to-ticket continuity in the same SPA shell."
support_ticket_shell_and_omnichannel_timeline,implementation,data/contracts/221_support_workspace_ui_contract.json,par_218;par_219;par_221,mixed,approved,"Support workspace shell contract for ticket, conversation, and action routes."
support_ticket_shell_and_omnichannel_timeline,automated_proof,tools/analysis/validate_support_workspace_ui.py,par_218;par_219;par_221,mixed,approved,"Validator for ticket shell anatomy, timeline states, and action posture."
support_ticket_shell_and_omnichannel_timeline,suite_binding,data/test/224_suite_results.json,seq_224,mixed,approved,"Seq 224 proves entry, conversation, history, and action continuity."
support_masking_knowledge_history_replay_and_read_only_fallback,implementation,data/contracts/222_support_masking_and_contextual_ui_contract.json,par_218;par_219;par_222,mixed,approved,"Support masking, disclosure, replay, and knowledge-stack contract."
support_masking_knowledge_history_replay_and_read_only_fallback,automated_proof,tools/analysis/validate_support_masking_and_fallback_ui.py,par_218;par_219;par_222,mixed,approved,"Validator for mask scope, read-only fallback, and contextual assist behavior."
support_masking_knowledge_history_replay_and_read_only_fallback,suite_binding,data/test/224_suite_results.json,seq_224,mixed,approved,"Seq 224 proves observe-only, replay fallback, and masked artifact continuity."
patient_support_identity_and_status_integration,implementation,data/contracts/223_crosscutting_identity_status_surface_bundle.json,seq_223,repository_run,approved,"Shared Phase 2 identity and status bundle for patient and support surfaces."
patient_support_identity_and_status_integration,automated_proof,tools/analysis/validate_crosscutting_patient_support_phase2_merge.py,seq_223,repository_run,approved,"Validator for shared cause classes, parity labels, and contact-domain bundle alignment."
patient_support_identity_and_status_integration,suite_binding,tests/playwright/223_patient_support_identity_status_integration.spec.js,seq_223,repository_run,approved,"Browser proof for patient/support parity over the same identity and status truth."
continuity_and_artifact_parity_test_evidence,implementation,data/test/224_suite_results.json,seq_224,mixed,approved,"Authoritative machine-readable suite results for the cross-cutting continuity boundary."
continuity_and_artifact_parity_test_evidence,automated_proof,tools/test/validate_crosscutting_continuity_suite.py,seq_224,mixed,approved,"Validator for the seq 224 continuity suite pack and defect remediation log."
continuity_and_artifact_parity_test_evidence,suite_binding,tests/playwright/224_patient_support_record_artifact_continuity.spec.js,seq_224,mixed,approved,"Browser-visible continuity, parity, accessibility, and trace evidence."
