edgeId,edgeType,tupleId,fromRef,toRef,routeFamilyRef,shellType,bindingVerdict,reasonRefs
FMTUP_127_RF_ASSISTIVE_CONTROL_SHELL_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_RF_ASSISTIVE_CONTROL_SHELL_V1,rf_assistive_control_shell,missing::publication,rf_assistive_control_shell,assistive,blocked,MFV_127_ASSISTIVE_STANDALONE_UNPUBLISHED|MFV_127_DESIGN_BUNDLE_MISSING|MFV_127_FRONTEND_MANIFEST_MISSING|MFV_127_PROJECTION_VERSION_SET_MISSING|MFV_127_RUNTIME_BINDING_MISSING|MFV_127_SHELL_CONTRACT_MISSING|MFV_127_SURFACE_ROUTE_CONTRACT_MISSING
FMTUP_127_RF_ASSISTIVE_CONTROL_SHELL_V1::publication_to_shell,publication_to_shell,FMTUP_127_RF_ASSISTIVE_CONTROL_SHELL_V1,rf_assistive_control_shell,missing::shell,rf_assistive_control_shell,assistive,blocked,MFV_127_ASSISTIVE_STANDALONE_UNPUBLISHED|MFV_127_DESIGN_BUNDLE_MISSING|MFV_127_FRONTEND_MANIFEST_MISSING|MFV_127_PROJECTION_VERSION_SET_MISSING|MFV_127_RUNTIME_BINDING_MISSING|MFV_127_SHELL_CONTRACT_MISSING|MFV_127_SURFACE_ROUTE_CONTRACT_MISSING
FMTUP_127_RF_ASSISTIVE_CONTROL_SHELL_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_RF_ASSISTIVE_CONTROL_SHELL_V1,rf_assistive_control_shell,rpb::local::authoritative,rf_assistive_control_shell,assistive,blocked,MFV_127_ASSISTIVE_STANDALONE_UNPUBLISHED|MFV_127_DESIGN_BUNDLE_MISSING|MFV_127_FRONTEND_MANIFEST_MISSING|MFV_127_PROJECTION_VERSION_SET_MISSING|MFV_127_RUNTIME_BINDING_MISSING|MFV_127_SHELL_CONTRACT_MISSING|MFV_127_SURFACE_ROUTE_CONTRACT_MISSING
FMTUP_127_SURF_GOVERNANCE_SHELL_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_GOVERNANCE_SHELL_V1,surf_governance_shell,audsurf_governance_admin,rf_governance_shell,governance,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_GOVERNANCE_SHELL_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_GOVERNANCE_SHELL_V1,audsurf_governance_admin,governance-console,rf_governance_shell,governance,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_GOVERNANCE_SHELL_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_GOVERNANCE_SHELL_V1,governance-console,rpb::local::authoritative,rf_governance_shell,governance,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_HUB_CASE_MANAGEMENT_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_HUB_CASE_MANAGEMENT_V1,surf_hub_case_management,audsurf_hub_desk,rf_hub_case_management,hub,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_HUB_CASE_MANAGEMENT_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_HUB_CASE_MANAGEMENT_V1,audsurf_hub_desk,hub-desk,rf_hub_case_management,hub,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_HUB_CASE_MANAGEMENT_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_HUB_CASE_MANAGEMENT_V1,hub-desk,rpb::local::authoritative,rf_hub_case_management,hub,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_HUB_QUEUE_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_HUB_QUEUE_V1,surf_hub_queue,audsurf_hub_desk,rf_hub_queue,hub,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_HUB_QUEUE_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_HUB_QUEUE_V1,audsurf_hub_desk,hub-desk,rf_hub_queue,hub,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_HUB_QUEUE_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_HUB_QUEUE_V1,hub-desk,rpb::local::authoritative,rf_hub_queue,hub,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_OPERATIONS_BOARD_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_OPERATIONS_BOARD_V1,surf_operations_board,audsurf_operations_console,rf_operations_board,operations,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_OPERATIONS_BOARD_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_OPERATIONS_BOARD_V1,audsurf_operations_console,ops-console,rf_operations_board,operations,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_OPERATIONS_BOARD_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_OPERATIONS_BOARD_V1,ops-console,rpb::local::authoritative,rf_operations_board,operations,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_OPERATIONS_DRILLDOWN_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_OPERATIONS_DRILLDOWN_V1,surf_operations_drilldown,audsurf_operations_console,rf_operations_drilldown,operations,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_OPERATIONS_DRILLDOWN_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_OPERATIONS_DRILLDOWN_V1,audsurf_operations_console,ops-console,rf_operations_drilldown,operations,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_OPERATIONS_DRILLDOWN_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_OPERATIONS_DRILLDOWN_V1,ops-console,rpb::local::authoritative,rf_operations_drilldown,operations,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_INTAKE_WEB_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_PATIENT_INTAKE_WEB_V1,surf_patient_intake_web,audsurf_patient_public_entry,rf_intake_self_service,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_INTAKE_WEB_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_PATIENT_INTAKE_WEB_V1,audsurf_patient_public_entry,patient-web,rf_intake_self_service,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_INTAKE_WEB_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_PATIENT_INTAKE_WEB_V1,patient-web,rpb::local::authoritative,rf_intake_self_service,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_INTAKE_PHONE_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_PATIENT_INTAKE_PHONE_V1,surf_patient_intake_phone,audsurf_patient_public_entry,rf_intake_telephony_capture,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_CONSTRAINED_NON_BROWSER_CHANNEL|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_INTAKE_PHONE_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_PATIENT_INTAKE_PHONE_V1,audsurf_patient_public_entry,patient-web,rf_intake_telephony_capture,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_CONSTRAINED_NON_BROWSER_CHANNEL|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_INTAKE_PHONE_V1::shell_to_runtime_bundle,shell_to_runtime_bundle,FMTUP_127_SURF_PATIENT_INTAKE_PHONE_V1,patient-web,rpb::local::authoritative,rf_intake_telephony_capture,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_RECOVERY_ONLY|MFV_127_CONSTRAINED_NON_BROWSER_CHANNEL|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_APPOINTMENTS_V1::inventory_to_publication,inventory_to_publication,FMTUP_127_SURF_PATIENT_APPOINTMENTS_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
FMTUP_127_SURF_PATIENT_APPOINTMENTS_V1::publication_to_shell,publication_to_shell,FMTUP_127_SURF_PATIENT_APPOINTMENTS_V1,audsurf_patient_authenticated_portal,patient-web,rf_patient_appointments,patient,partial,MFV_127_ACCESSIBILITY_DEGRADED|MFV_127_BROWSER_POSTURE_READ_ONLY|MFV_127_DESIGN_LINT_PENDING
