route_key,shell_mode,replay_state,delta_review_state,restore_state,linked_context_mode,dominant_action,expected_surface
ticket-overview,live,frozen,none,required,history,stage_bounded_action,overview_timeline
ticket-conversation,live,frozen,none,required,subject,stage_bounded_action,conversation_child_shell
ticket-history,live,frozen,none,required,history,request_governed_history_widen,history_child_shell
ticket-knowledge,live,frozen,none,required,knowledge,preview_or_launch_playbook,knowledge_child_shell
ticket-replay,replay,frozen,none,required,history,inspect_frozen_boundary,replay_surface
ticket-replay,replay,delta_review,queued,required,knowledge,review_buffered_deltas,replay_surface
ticket-replay,replay,delta_review,blocking,blocked,history,return_to_replay_restore,replay_surface
ticket-replay,replay,restore_ready,none,ready,subject,restore_live_ticket,replay_surface
ticket-replay,replay,restored,none,restored,subject,return_to_live_ticket,replay_surface
ticket-replay,read_only_recovery,read_only_recovery,blocking,read_only_recovery,history,use_reacquire_path,read_only_fallback
