framework_code,framework_version,reviewed_at,control_code,control_title,control_family,supplier_or_deployer_boundary,essential_function_refs,current_state,gap_type,required_evidence_refs,architectural_source_refs,runtime_or_operational_refs,owner_role,due_at,review_cycle,blocking_severity,notes
DSPT_CAF,CAF_ALIGNED_DSPT_WORKING_BASELINE_2026-04-14,2026-04-14,DSPT-BOUNDARY-01,Responsibility boundary and standards governance,governance_boundary,shared_joint_evidence,EF_122_AUDIT_BACKUP_AND_OPERATIONAL_RECOVERY|EF_122_SAFE_INTAKE_AND_URGENT_DIVERSION,partial,deployer_detail_pending,EVID_122_RUNTIME_BOUNDARY_MANIFEST|EVID_122_DEPLOYER_IG_EVIDENCE_REQUEST,docs/architecture/84_runtime_topology_and_trust_boundary_realization.md|docs/architecture/90_gateway_bff_surface_design.md,data/analysis/runtime_topology_manifest.json|data/analysis/trust_zone_boundary_matrix.csv,ROLE_PROGRAMME_ASSURANCE_LEAD,2026-05-15,P30D,high,Shared evidence is seeded but the named deployer boundary is still pending
DSPT_CAF,CAF_ALIGNED_DSPT_WORKING_BASELINE_2026-04-14,2026-04-14,DSPT-DATA-01,Data classification masking and disclosure controls,data_protection,supplier_manufacturer,EF_122_PATIENT_VISIBILITY_AND_COMMUNICATION_CONTINUITY|EF_122_AUDIT_BACKUP_AND_OPERATIONAL_RECOVERY,seeded_in_repo,covered_by_seed_artifacts,EVID_122_AUDIT_DISCLOSURE_AND_ASSURANCE_LEDGER|EVID_122_RUNTIME_BOUNDARY_MANIFEST,docs/architecture/10_audit_posture_and_event_disclosure.md|docs/architecture/11_trust_zone_and_workload_family_strategy.md,data/analysis/telemetry_redaction_policy.json|data/analysis/trust_zone_boundaries.json,ROLE_SECURITY_LEAD,2026-05-06,P30D,high,Masking and disclosure posture is already repo backed and needs live operational attestation later
DSPT_CAF,CAF_ALIGNED_DSPT_WORKING_BASELINE_2026-04-14,2026-04-14,DSPT-SEC-01,Secrets KMS and key rotation baseline,technical_security,supplier_manufacturer,EF_122_IDENTITY_SESSION_AND_CONTROLLED_RECOVERY|EF_122_AUDIT_BACKUP_AND_OPERATIONAL_RECOVERY,seeded_in_repo,covered_by_seed_artifacts,EVID_122_SECRET_CLASS_AND_KMS_BASELINE|EVID_122_BUILD_PROVENANCE_AND_SBOM,docs/architecture/89_secrets_kms_and_rotation_design.md|docs/architecture/91_ci_cd_and_build_provenance_design.md,data/analysis/secret_class_manifest.json|data/analysis/key_hierarchy_manifest.json|data/analysis/rotation_policy_matrix.csv,ROLE_SECURITY_LEAD,2026-05-06,P30D,high,Service secret posture exists now and live custody evidence remains a later overlay
DSPT_CAF,CAF_ALIGNED_DSPT_WORKING_BASELINE_2026-04-14,2026-04-14,DSPT-ACC-01,Access control acting scope and break glass governance,access_control,shared_joint_evidence,EF_122_IDENTITY_SESSION_AND_CONTROLLED_RECOVERY|EF_122_STAFF_REVIEW_AND_MUTATION_SAFETY,partial,joint_boundary_pending,EVID_122_ACCESS_SCOPE_AND_BREAK_GLASS_BOUNDARY|EVID_122_DEPLOYER_IG_EVIDENCE_REQUEST,docs/architecture/10_audit_posture_and_event_disclosure.md|docs/architecture/54_acting_scope_tuple_model.md,packages/authz-policy/src/index.ts|data/analysis/secret_class_manifest.json|data/analysis/runtime_topology_manifest.json,ROLE_IDENTITY_ACCESS_LEAD,2026-05-20,P30D,high,Architecture evidence exists but live approver roster and break glass routing remain open
DSPT_CAF,CAF_ALIGNED_DSPT_WORKING_BASELINE_2026-04-14,2026-04-14,DSPT-AUD-01,Immutable audit and assurance evidence traceability,audit_and_assurance,supplier_manufacturer,EF_122_AUDIT_BACKUP_AND_OPERATIONAL_RECOVERY|EF_122_PATIENT_VISIBILITY_AND_COMMUNICATION_CONTINUITY,partial,assurance_graph_follow_on,EVID_122_AUDIT_DISCLOSURE_AND_ASSURANCE_LEDGER|EVID_122_RUNTIME_PUBLICATION_PARITY_PACK,docs/architecture/10_audit_posture_and_event_disclosure.md|blueprint/phase-9-the-assurance-ledger.md,packages/observability/src/telemetry.ts|data/analysis/runtime_publication_bundles.json,ROLE_PROGRAMME_ASSURANCE_LEAD,2026-05-20,P30D,medium,Audit disclosure is seeded now while full assurance graph materialization remains later phase work
DSPT_CAF,CAF_ALIGNED_DSPT_WORKING_BASELINE_2026-04-14,2026-04-14,DSPT-RUN-01,Runtime publication parity and trust freeze enforcement,release_and_runtime_control,supplier_manufacturer,EF_122_SAFE_INTAKE_AND_URGENT_DIVERSION|EF_122_STAFF_REVIEW_AND_MUTATION_SAFETY|EF_122_PATIENT_VISIBILITY_AND_COMMUNICATION_CONTINUITY,seeded_in_repo,covered_by_seed_artifacts,EVID_122_RUNTIME_PUBLICATION_PARITY_PACK|EVID_122_BUILD_PROVENANCE_AND_SBOM,docs/architecture/94_runtime_publication_bundle_design.md|docs/architecture/99_runtime_topology_publication_validation.md,data/analysis/runtime_publication_bundles.json|data/analysis/runtime_topology_publication_matrix.csv|data/analysis/release_publication_parity_records.json,ROLE_RUNTIME_RELEASE_LEAD,2026-05-06,P14D,high,Live posture already depends on published runtime tuples and parity evidence
DSPT_CAF,CAF_ALIGNED_DSPT_WORKING_BASELINE_2026-04-14,2026-04-14,DSPT-RES-01,Essential function inventory and restore order,resilience_and_restore,shared_joint_evidence,EF_122_SAFE_INTAKE_AND_URGENT_DIVERSION|EF_122_IDENTITY_SESSION_AND_CONTROLLED_RECOVERY|EF_122_STAFF_REVIEW_AND_MUTATION_SAFETY|EF_122_PATIENT_VISIBILITY_AND_COMMUNICATION_CONTINUITY|EF_122_BOOKING_NETWORK_AND_PHARMACY_TRUTHFUL_STATUS|EF_122_AUDIT_BACKUP_AND_OPERATIONAL_RECOVERY,partial,deployer_detail_pending,EVID_122_ESSENTIAL_FUNCTION_MAP|EVID_122_RESTORE_REHEARSAL_LOCAL|EVID_122_DEPLOYER_IG_EVIDENCE_REQUEST,docs/architecture/101_essential_function_map_and_recovery_tiers.md|blueprint/phase-9-the-assurance-ledger.md,data/analysis/recovery_tier_catalog.json|data/analysis/recovery_evidence_artifact_catalog.csv,ROLE_PLATFORM_SRE_LEAD,2026-05-15,P30D,high,Restore order is explicit in repo but deployer specific dependency names are still placeholders
DSPT_CAF,CAF_ALIGNED_DSPT_WORKING_BASELINE_2026-04-14,2026-04-14,DSPT-RES-02,Backup manifest coverage and restore proof,resilience_and_restore,hosting_operator,EF_122_AUDIT_BACKUP_AND_OPERATIONAL_RECOVERY|EF_122_PATIENT_VISIBILITY_AND_COMMUNICATION_CONTINUITY|EF_122_BOOKING_NETWORK_AND_PHARMACY_TRUTHFUL_STATUS,partial,live_operational_proof_pending,EVID_122_BACKUP_MANIFEST_BASELINE|EVID_122_RESTORE_REHEARSAL_LOCAL|EVID_122_RECOVERY_EVIDENCE_ARTIFACT_CATALOG,docs/architecture/101_backup_restore_and_operational_readiness_baseline.md|docs/architecture/60_backup_restore_and_recovery_tuple_baseline.md,data/analysis/backup_scope_matrix.csv|data/analysis/recovery_evidence_artifact_catalog.csv|data/analysis/restore_run_schema.json,ROLE_PLATFORM_SRE_LEAD,2026-05-27,P14D,high,Local rehearsal exists but preprod and live restore proof are still outstanding
DSPT_CAF,CAF_ALIGNED_DSPT_WORKING_BASELINE_2026-04-14,2026-04-14,DSPT-IR-01,Incident response workflow and exercise planning,incident_response,shared_joint_evidence,EF_122_AUDIT_BACKUP_AND_OPERATIONAL_RECOVERY|EF_122_SAFE_INTAKE_AND_URGENT_DIVERSION|EF_122_PATIENT_VISIBILITY_AND_COMMUNICATION_CONTINUITY,partial,exercise_pending,EVID_122_INCIDENT_RESPONSE_RUNBOOK|EVID_122_INCIDENT_TABLETOP_PLAN|EVID_122_RESTORE_REHEARSAL_LOCAL,blueprint/phase-9-the-assurance-ledger.md|docs/architecture/97_wave_observation_and_watch_tuple_pipeline.md,data/analysis/release_watch_pipeline_catalog.json|data/analysis/recovery_control_posture_rules.json,ROLE_PROGRAMME_ASSURANCE_LEAD,2026-05-22,P30D,high,The plan is seeded now and still needs named deployer participation plus executed exercises
DSPT_CAF,CAF_ALIGNED_DSPT_WORKING_BASELINE_2026-04-14,2026-04-14,DSPT-SUP-01,Supplier dependency governance and degradation posture,supplier_dependency_governance,supplier_manufacturer,EF_122_SAFE_INTAKE_AND_URGENT_DIVERSION|EF_122_PATIENT_VISIBILITY_AND_COMMUNICATION_CONTINUITY|EF_122_BOOKING_NETWORK_AND_PHARMACY_TRUTHFUL_STATUS,partial,provider_onboarding_pending,EVID_122_DEPENDENCY_DEGRADATION_PROFILE_SET|EVID_122_RUNTIME_BOUNDARY_MANIFEST,docs/architecture/98_dependency_degradation_engine_design.md|docs/architecture/83_simulator_backplane_design.md,data/analysis/dependency_degradation_profiles.json|data/analysis/simulator_contract_manifest.json,ROLE_SUPPLIER_PARTNERSHIPS_LEAD,2026-05-29,P30D,medium,Dependency fallback law is present while real supplier assurance and deployer evidence remain pending
