state,route_key,fixture,actionability,route_freeze_state,degraded_mode_state,artifact_mode_truth,primary_surface,expected_primary_action
expired_link_recovery,expired_link,expired-link,recovery_required,live,none,structured_summary,EmbeddedExpiredLinkView,Open safe summary
invalid_context_recovery,invalid_context,invalid-context,recovery_required,live,none,structured_summary,EmbeddedInvalidContextView,Check again
lost_session_reauth,lost_session,lost-session,recovery_required,live,none,structured_summary,EmbeddedInvalidContextView,Confirm NHS login
unsupported_action_fallback,unsupported_action,unsupported-action,handoff_gated,live,summary_only,structured_summary,EmbeddedUnsupportedActionView,Review supported option
channel_unavailable_blocked,channel_unavailable,channel-unavailable,blocked,live,blocked,blocked,EmbeddedInvalidContextView,Return to summary
route_freeze_visible,route_freeze,route-freeze,read_only,frozen,none,structured_summary,EmbeddedRouteFreezeNotice,Open safe summary
degraded_mode_summary_only,degraded_mode,degraded-mode,summary_only,live,summary_only,structured_summary,EmbeddedDegradedModePanel,Review summary
artifact_summary_first,artifact_summary,artifact-summary,live,live,none,structured_summary,EmbeddedArtifactSummarySurface,Preview document
artifact_preview_available,artifact_preview,artifact-preview,handoff_gated,live,none,preview_available,EmbeddedArtifactPreviewFrame,Download through NHS App
download_progress_bridge,download_progress,download-progress,handoff_gated,live,none,transfer_in_progress,EmbeddedDownloadProgressCard,Return to summary
artifact_fallback_send_later,artifact_fallback,artifact-fallback,summary_only,live,secure_send_later,secure_send_later,EmbeddedArtifactFallbackPanel,Send securely later
return_safe_summary,return_safe,return-safe,live,live,none,structured_summary,EmbeddedReturnSafeRecoveryFrame,Open safe summary
