scenario_id,queue_family,task_ref,ordinal,eligibility_state,lexicographic_tier,sla_class,within_tier_urgency,residual_band,contact_risk_band,duplicate_review_flag,urgency_carry,fairness_band_ref,fairness_credit_before,fairness_credit_after,canonical_tie_break_key,explanation_payload_ref
queue_triage_nominal,triage_primary,task_norm_escalated,1,eligible,critical,3,0.972100,critical,watch,0,0.500000,band_general_routine,0.000000,0.000000,queue-tiebreak::073normescalated,queue-explanation::073normescalated
queue_triage_nominal,triage_primary,task_norm_return,2,eligible,warning,2,0.781200,warn,watch,1,0.250000,band_replies_and_returns,1.750000,0.750000,queue-tiebreak::073normreturn,queue-explanation::073normreturn
queue_triage_nominal,triage_primary,task_norm_same_day,3,eligible,routine,0,0.442100,watch,none,0,0.100000,band_same_day,1.400000,0.466667,queue-tiebreak::073normsameday,queue-explanation::073normsameday
queue_triage_overload,triage_primary,task_overload_1,1,eligible,critical,3,0.955500,critical,warn,0,0.400000,band_general_routine,0.000000,0.000000,queue-tiebreak::073overload1,queue-explanation::073overload1
queue_triage_overload,triage_primary,task_overload_2,2,eligible,critical,2,0.812300,warn,warn,0,0.220000,band_replies_and_returns,0.000000,0.000000,queue-tiebreak::073overload2,queue-explanation::073overload2
queue_triage_overload,triage_primary,task_overload_3,3,eligible,routine,1,0.501200,watch,watch,0,0.050000,band_same_day,0.000000,0.000000,queue-tiebreak::073overload3,queue-explanation::073overload3
queue_duplicate_review,triage_primary,task_duplicate_a,1,eligible,warning,2,0.744400,warn,watch,1,0.180000,band_replies_and_returns,1.650000,0.650000,queue-tiebreak::073duplicatea,queue-explanation::073duplicatea
queue_duplicate_review,triage_primary,task_duplicate_b,2,eligible,routine,0,0.433300,watch,none,0,0.030000,band_general_routine,1.000000,0.000000,queue-tiebreak::073duplicateb,queue-explanation::073duplicateb
queue_duplicate_review,triage_primary,task_duplicate_hold,3,held_preemption,hold,0,0.000000,watch,watch,0,0.000000,band_general_routine,0.000000,0.000000,queue-tiebreak::073duplicatehold,queue-explanation::073duplicatehold
queue_reachability_hold,communications_watch,task_reachability_risk,1,eligible,warning,2,0.699100,warn,critical,0,0.120000,band_replies_and_returns,1.550000,0.550000,queue-tiebreak::073reachabilityrisk,queue-explanation::073reachabilityrisk
queue_reachability_hold,communications_watch,task_safety_hold,2,held_preemption,hold,3,0.000000,critical,warn,0,0.000000,band_general_routine,0.000000,0.000000,queue-tiebreak::073safetyhold,queue-explanation::073safetyhold
queue_reachability_hold,communications_watch,task_trust_hold,3,held_trust,hold,0,0.000000,watch,watch,0,0.000000,band_same_day,0.000000,0.000000,queue-tiebreak::073trusthold,queue-explanation::073trusthold
queue_reviewer_window,triage_primary,task_suggest_escalated,1,eligible,critical,3,0.961000,critical,watch,0,0.380000,band_general_routine,0.000000,0.000000,queue-tiebreak::073suggestescalated,queue-explanation::073suggestescalated
queue_reviewer_window,triage_primary,task_suggest_duplicate,2,eligible,warning,2,0.732000,warn,watch,1,0.180000,band_replies_and_returns,1.600000,0.600000,queue-tiebreak::073suggestduplicate,queue-explanation::073suggestduplicate
queue_reviewer_window,triage_primary,task_suggest_routine,3,eligible,routine,0,0.421000,watch,none,0,0.040000,band_same_day,1.400000,0.466667,queue-tiebreak::073suggestroutine,queue-explanation::073suggestroutine
queue_service_prior_mix,support_shared,task_prior_complex,1,eligible,routine,1,0.601000,warn,watch,0,0.120000,band_general_routine,1.200000,0.000000,queue-tiebreak::073priorcomplex,queue-explanation::073priorcomplex
queue_service_prior_mix,support_shared,task_prior_return,2,eligible,routine,1,0.564000,watch,watch,0,0.100000,band_replies_and_returns,1.100000,0.100000,queue-tiebreak::073priorreturn,queue-explanation::073priorreturn
queue_service_prior_mix,support_shared,task_prior_fast,3,eligible,routine,0,0.342000,watch,none,0,0.020000,band_same_day,1.400000,0.866667,queue-tiebreak::073priorfast,queue-explanation::073priorfast
