transitionId,fromState,eventName,toState,preconditions,prohibitedWhen,blockerFamilies,sideEffectFamilies
PH6_TX_001,candidate_received,pharmacy.service_type.resolved,rules_evaluating,A current LineageCaseLink(caseFamily = pharmacy) is present on the active RequestLineage. | ScopedMutationGate admits the evaluation command for the active ownership epoch.,Identity repair branch is active and unresolved.,identity_repair_freeze | stale_owner_recovery,service_type_decision_persisted | evidence_snapshot_frozen
PH6_TX_002,rules_evaluating,pharmacy.pathway.evaluated,ineligible_returned,The current PharmacyRulePack and threshold families are resolved and attached to the evaluation record. | s_global(x) >= tau_global_block or all candidate pathways fail without lawful fallback.,Rule-pack version is missing or mutable in place.,pack_mutation_rejected,eligibility_explanation_created | return_route_required
PH6_TX_003,rules_evaluating,pharmacy.pathway.evaluated,eligible_choice_pending,"At least one pathway is eligible under the frozen threshold family registry or minor-illness fallback is lawfully satisfied. | Matched rules, completeness, contradiction, confidence, and timing guardrail are persisted.",Fallback is being used to bypass a global block or hard-failed contradiction.,illegal_fallback_bypass,eligibility_explanation_created | choice_session_refresh_required
PH6_TX_004,eligible_choice_pending,pharmacy.provider.selected,provider_selected,A current PharmacyChoiceSession exists with a full visible provider set and deterministic frontier ordering. | The selected provider remains present in the current choice proof and any override acknowledgement requirement is met.,Choice proof has been superseded or stale provider capability evidence is being reused.,choice_proof_superseded | provider_capability_stale,provider_selection_persisted | consent_checkpoint_refresh_required
PH6_TX_005,provider_selected,pharmacy.consent.checkpoint.updated,consent_pending,"Selection exists but the current checkpointState is not satisfied. | The checkpoint binds the selected provider, pathway, referral scope, selectionBindingHash, and package fingerprint candidate.",A withdrawn or revoked consent row is being treated as still usable.,consent_invalid | selection_binding_drift,patient_reassurance_blocked | same_shell_renewal_required
PH6_TX_006,provider_selected,pharmacy.package.composed,package_ready,"The current consent checkpoint is satisfied. | The package is frozen against the current selected provider, pathway, scope, and package fingerprint.",The package fingerprint does not match the selectionBindingHash.,package_lineage_mismatch | consent_invalid,package_frozen | dispatch_plan_refresh_enabled
PH6_TX_007,consent_pending,pharmacy.consent.checkpoint.updated,package_ready,"A refreshed consent record, explanation binding, and selected provider tuple are current. | The consent checkpointState has become satisfied without stale-write drift.",The consent update was written under an expired ownership epoch.,stale_owner_recovery | consent_invalid,consent_checkpoint_satisfied | package_frozen
PH6_TX_008,package_ready,pharmacy.consent.revoked,consent_pending,"Provider, pathway, scope, proof, or package lineage changed materially; or consent was withdrawn or revoked. | A PharmacyConsentRevocationRecord or equivalent checkpoint drift signal was persisted.",Revocation is ignored because package_ready is being treated as calmer than consent truth.,consent_invalid | package_lineage_mismatch,checkpoint_unsatisfied | dispatch_blocked
PH6_TX_009,package_ready,pharmacy.dispatch.started,dispatch_pending,"The current consent checkpoint remains satisfied. | Route intent, lineage fence, ownership epoch, and idempotency tuple all match the current plan.",RequestLifecycleLease is stale or the active identity-repair branch is unresolved.,stale_owner_recovery | identity_repair_freeze | consent_invalid,dispatch_attempt_created | confirmation_gate_created_or_refreshed
PH6_TX_010,dispatch_pending,pharmacy.dispatch.confirmed,referred,Dispatch proof satisfies the active TransportAssuranceProfile. | The authoritative proof source or confirmation gate is attached to the dispatch attempt.,"Proof is still pending, expired, or disputed under the active confidence threshold.",confirmation_gate_open | dispatch_proof_disputed,dispatch_truth_projection_refreshed | patient_instruction_ready
PH6_TX_011,referred,pharmacy.dispatch.confirmed,consultation_outcome_pending,"The referral remains bound to the same provider, pathway, package, and continuity evidence tuple. | Dispatch truth remains sufficient for patient and staff reassurance.",A dispatch-plan supersession or consent revocation has invalidated the live tuple.,consent_invalid | dispatch_tuple_drift,await_outcome_projection_started
PH6_TX_012,consultation_outcome_pending,pharmacy.case.resolved,resolved_by_pharmacy,Outcome evidence is strongly correlated and no reconciliation gate remains open. | Closure blockers other than lifecycle-close remain empty or explicitly settled.,"Weak, ambiguous, or contradictory outcome truth is being auto-applied.",outcome_reconciliation_gate_open,outcome_settlement_persisted | closure_eligibility_recomputed
PH6_TX_013,consultation_outcome_pending,pharmacy.case.bounce_back,unresolved_returned,Outcome evidence or return signal is strong enough for a routine unresolved return. | The return pathway does not meet urgent or no-contact thresholds.,Urgent return is being flattened into routine unresolved return.,return_route_pending,bounce_back_record_created | request_reopen_signal_emitted
PH6_TX_014,consultation_outcome_pending,pharmacy.case.bounce_back,urgent_bounce_back,Urgent return evidence meets the carry-floor and direct-safety route threshold. | Urgent communication routing is available or an explicit monitored fallback route is active.,Update Record or routine messaging is being treated as the urgent return mechanism.,urgent_route_unacknowledged | reachability_dependency_open,bounce_back_record_created | direct_urgent_route_started
PH6_TX_015,consultation_outcome_pending,pharmacy.reachability.blocked,no_contact_return_pending,No-contact return threshold or reachability dependency failure has been met. | The branch has not been resolved or urgently bounced back.,No-contact return is being auto-closed or hidden behind general unresolved text.,reachability_dependency_open,reachability_plan_refreshed | return_review_required
PH6_TX_016,consultation_outcome_pending,pharmacy.outcome.received,outcome_reconciliation_pending,"Outcome evidence is weak, ambiguous, contradictory, or below the strong-match threshold. | A case-local reconciliation gate has been created or refreshed.",Weak outcome evidence is being treated as final settlement.,outcome_reconciliation_gate_open,outcome_reconciliation_gate_created | closure_blocker_added
PH6_TX_017,outcome_reconciliation_pending,pharmacy.outcome.reconciled,resolved_by_pharmacy,The reconciliation gate has been explicitly settled in favor of pharmacy resolution.,The reconciliation gate is still blocking closure.,outcome_reconciliation_gate_open,outcome_settlement_persisted | closure_eligibility_recomputed
PH6_TX_018,outcome_reconciliation_pending,pharmacy.outcome.reconciled,unresolved_returned,The reconciliation gate has been explicitly settled in favor of routine return to practice.,The gate resolution still requires urgent handling.,outcome_reconciliation_gate_open,bounce_back_record_created | request_reopen_signal_emitted
PH6_TX_019,outcome_reconciliation_pending,pharmacy.outcome.reconciled,urgent_bounce_back,The reconciliation gate has been explicitly settled in favor of urgent return handling.,Urgent handling route is unresolved.,outcome_reconciliation_gate_open | urgent_route_unacknowledged,bounce_back_record_created | direct_urgent_route_started
PH6_TX_020,outcome_reconciliation_pending,pharmacy.outcome.reconciled,no_contact_return_pending,The reconciliation gate has been explicitly settled in favor of no-contact return handling.,Reachability remediation is still unresolved.,outcome_reconciliation_gate_open | reachability_dependency_open,reachability_plan_refreshed | return_review_required
PH6_TX_021,resolved_by_pharmacy,pharmacy.case.closed,closed,"LifecycleCoordinator remains the only request-closure authority. | All currentConfirmationGateRefs, currentClosureBlockerRefs, and activeReachabilityDependencyRefs are empty or settled.","Any closure blocker, reachability blocker, or unresolved urgent return remains active.",closure_blocker_open | reachability_dependency_open,request_closure_record_written | lineage_link_settled
