route_row_id,route_family_ref,route_family_name,surface_owner,bounded_context_ref,message_family,workflow_group,preferred_workflow_id,mailbox_keys,transport_acceptance_signal,authoritative_downstream_proof,canonical_truth_guardrail,degraded_fallback,notes
ROUTE_HUB_QUEUE_NOTICE,rf_hub_queue,Hub queue,hub,hub_coordination,practice_visibility_notice,WG_HUB_PRACTICE_VISIBILITY,VEC_HUB_BOOKING_NOTICE,MBX_VEC_HUB -> MBX_PRACTICE_PROXY,message_accepted or queued_for_pickup,PracticeAcknowledgementRecord or governed recovery evidence.,Do not imply hub success or calm practice continuity until business acknowledgement debt is cleared.,"Recovery case, phone escalation, or explicit pending practice visibility debt.",Acceptance is transport evidence only.
ROUTE_HUB_CASE_ACK,rf_hub_case_management,Hub case management,hub,hub_coordination,practice_business_ack,WG_HUB_PRACTICE_VISIBILITY,VEC_HUB_BOOKING_ACK,MBX_PRACTICE_PROXY -> MBX_VEC_HUB,picked_up,Current-generation practice ACK or inability response on the correct ackGeneration.,Mailbox pickup alone does not equal business ACK.,Keep acknowledgement debt open and operator-visible.,Explicitly separates mailbox receipt from business receipt.
ROUTE_STAFF_WORKSPACE_PRACTICE,rf_staff_workspace,Staff workspace,staff,hub_coordination,practice_visibility_notice,WG_HUB_PRACTICE_VISIBILITY,VEC_HUB_BOOKING_NOTICE,MBX_VEC_HUB -> MBX_PRACTICE_PROXY,delayed_ack,PracticeAcknowledgementRecord plus freshness on the current tuple.,"Staff surfaces may show pending, disputed, or recovered states but must not flatten them into complete.",Show same-lineage recovery and callback plans.,Operational view only; no patient-facing closure allowed.
ROUTE_PHARMACY_REFERRAL_DISPATCH,rf_pharmacy_console,Pharmacy console,pharmacy,pharmacy,pharmacy_referral_dispatch,WG_PHARMACY_REFERRAL,VEC_PF_REFERRAL_INIT,MBX_VEC_PHARMACY -> MBX_PHARMACY_PROXY,message_accepted,PharmacyDispatchAttempt.authoritativeProofRef accepted by the active TransportAssuranceProfile.,"Transport acceptance cannot settle pharmacy referral success, patient instructions, or closure.","Proof-pending, redispatch under fresh tuple, or manual alternative.",Primary proof-bearing transport lane for Phase 6.
ROUTE_PHARMACY_REFERRAL_ACK,rf_pharmacy_console,Pharmacy console,pharmacy,pharmacy,pharmacy_business_ack,WG_PHARMACY_REFERRAL,VEC_PF_REFERRAL_ACK,MBX_PHARMACY_PROXY -> MBX_VEC_PHARMACY,picked_up,Business ACK on the matching referral generation.,Business ACK is still weaker than consultation outcome or urgent return.,Operator review or proof_pending posture.,Business ACK is not mailbox ACK.
ROUTE_PHARMACY_OUTCOME,rf_patient_requests,Patient requests,patient,pharmacy,pharmacy_outcome_return,WG_PHARMACY_REFERRAL,VEC_PF_OUTCOME_RESP,MBX_PHARMACY_PROXY -> MBX_VEC_PHARMACY,message_accepted,Matched PharmacyOutcomeRecord or explicit PharmacyOutcomeReconciliationGate resolution.,"Patient view must stay proof_pending, disputed, or recovery until the outcome is matched and assimilated.","Support review, pharmacy callback, or origin-practice follow-up.",Patient surface is observer-only for MESH truth.
ROUTE_PHARMACY_URGENT_RETURN,rf_staff_workspace,Staff workspace,staff,pharmacy,pharmacy_urgent_return,WG_PHARMACY_REFERRAL,VEC_PF_URGENT_RETURN_RESP,MBX_PHARMACY_PROXY -> MBX_VEC_PHARMACY,picked_up,Urgent return record or bounce-back evidence on the current PharmacyCase.,Urgent return cannot be downgraded to generic reconciliation or silent retry.,Immediate operator escalation and same-lineage recovery.,"Explicit urgent lane, not a generic outcome."
ROUTE_SUPPORT_QUARANTINE,rf_support_ticket_workspace,Support ticket workspace,support,support_operations,attachment_quarantine_notice,WG_SUPPORT_QUARANTINE_REPLAY,VEC_ATTACHMENT_QUARANTINE,MBX_VEC_PHARMACY -> MBX_VEC_SUPPORT,quarantined,Attachment quarantine manifest plus recovery action state.,Quarantine is its own state and may not be flattened into failed or expired.,FallbackReviewCase and controlled re-submit decision.,Required mandatory gap closure for attachment and quarantine events.
ROUTE_SUPPORT_REPLAY,rf_support_replay_observe,Support replay observe,support,support_operations,replay_or_resubmission_request,WG_SUPPORT_QUARANTINE_REPLAY,VEC_REPLAY_EVIDENCE_REQUEST,MBX_VEC_SUPPORT <-> MBX_VEC_HUB,replay_blocked or duplicate_delivery,Replay collision evidence bound to canonicalDispatchKey and current generation.,Replay-safe resend must preserve lineage and may not overwrite earlier transport facts.,Open manual replay review and keep duplicate evidence explicit.,Mandatory gap closure for duplicate and replay resistance.
ROUTE_PATIENT_MESSAGES_OBSERVE,rf_patient_messages,Patient messages,patient,hub_coordination,manual_recovery_follow_up,WG_HUB_MANUAL_RECOVERY,VEC_HUB_RECOVERY_ACTION,MBX_VEC_HUB -> MBX_PRACTICE_PROXY,proof_pending,Recovery case resolution plus current acknowledgement or manual-completion evidence.,Patient communications may acknowledge that recovery is in progress but must not imply the external organisation has complied.,Same-shell recovery copy and support contact route.,Observability row only; patient channel is not a sender of MESH traffic.
