routing_id,signal_source,incident_family,severity,essential_function_id,near_miss_allowed,immutable_audit_required,reportability_assessment_required,containment_playbook_ref,capa_workstream_ref,on_call_route,dashboard_ref,source_refs,notes
ALERT_PATIENT_ENTRY_SLO,SIG_METRIC_PATIENT_ENTRY_SLO,service_level_breach,high,EF_PATIENT_ENTRY_AND_RECOVERY,yes,yes,conditional,PB_PATIENT_ENTRY_RECOVERY,WS_CLINICAL_DEPLOYMENT_USE,ROLE_OPERATIONS_LEAD -> ROLE_RELEASE_GUARDRAIL_OWNER,DASH_PATIENT_ENTRY_AND_RECOVERY,"platform-runtime-and-release-blueprint.md#Operational readiness contract; phase-9-the-assurance-ledger.md#9G. Security operations, incident workflow, and just-culture reporting",Near miss is allowed because degraded receipt may remain truthful without being a reportable incident.
ALERT_PATIENT_SELF_SERVICE_CONTINUITY,SIG_METRIC_PATIENT_ENTRY_SLO,continuity_drift,high,EF_PATIENT_SELF_SERVICE_CONTINUITY,yes,yes,conditional,PB_PATIENT_CONTINUITY_RECOVERY,WS_SERVICE_OPERATIONS_AND_BAU,ROLE_OPERATIONS_LEAD -> ROLE_SUPPORT_LEAD,DASH_PATIENT_SELF_SERVICE,"forensic-audit-findings.md#Finding 120 - Patient-facing degraded mode could still fragment across entry, section, recovery, embedded, and artifact shells",Carries continuity-evidence questions and last-safe summary posture into incident handling.
ALERT_WORKSPACE_SETTLEMENT_SLO,SIG_METRIC_WORKSPACE_SLO,settlement_lag,high,EF_WORKSPACE_TRIAGE_AND_SETTLEMENT,yes,yes,conditional,PB_WORKSPACE_SETTLEMENT,WS_CLINICAL_DEPLOYMENT_USE,ROLE_OPERATIONS_LEAD -> ROLE_SERVICE_OWNER,DASH_WORKSPACE_SETTLEMENT,"phase-9-the-assurance-ledger.md#9B. Live operational projections, service levels, and breach-risk engine",Settlement lag is operationally critical even without a reportable security event.
ALERT_BOOKING_AND_PARTNER_FLOW_SLO,SIG_METRIC_BOOKING_PHARMACY_SLO,partner_flow_drift,high,EF_BOOKING_AND_CAPACITY_COMMIT,yes,yes,conditional,PB_BOOKING_AND_PARTNER,WS_INTEROPERABILITY_EVIDENCE,ROLE_OPERATIONS_LEAD -> ROLE_PARTNER_ONBOARDING_LEAD,DASH_BOOKING_AND_CAPACITY,platform-runtime-and-release-blueprint.md#Operational readiness contract; 08_assurance_obligations_matrix.md,"Covers booking, hub, and pharmacy partner flow drift at the alert routing layer."
ALERT_HUB_COORDINATION_HEALTH,SIG_METRIC_BOOKING_PHARMACY_SLO,cross_org_coordination_drift,high,EF_NETWORK_HUB_COORDINATION,yes,yes,conditional,PB_HUB_COORDINATION,WS_INTEROPERABILITY_EVIDENCE,ROLE_OPERATIONS_LEAD -> ROLE_NETWORK_COORDINATION_OWNER,DASH_NETWORK_HUB,"phase-5-the-network-horizon.md; phase-9-the-assurance-ledger.md#9B. Live operational projections, service levels, and breach-risk engine",Hub acknowledgement debt and practice visibility are operationally explicit.
ALERT_PHARMACY_REFERRAL_HEALTH,SIG_METRIC_BOOKING_PHARMACY_SLO,pharmacy_dispatch_or_outcome_drift,high,EF_PHARMACY_REFERRAL_AND_OUTCOME,yes,yes,conditional,PB_PHARMACY_LOOP,WS_INTEROPERABILITY_EVIDENCE,ROLE_OPERATIONS_LEAD -> ROLE_PHARMACY_PARTNER_OWNER,DASH_PHARMACY_LOOP,phase-6-the-pharmacy-loop.md; 08_assurance_obligations_matrix.md,"Separates dispatch proof, consent scope, and outcome reconciliation alerts."
ALERT_COMMUNICATION_AND_CALLBACK_HEALTH,SIG_METRIC_BOOKING_PHARMACY_SLO,communication_and_callback_drift,high,EF_COMMUNICATION_AND_CALLBACK,yes,yes,conditional,PB_COMMUNICATION_CALLBACK,WS_SERVICE_OPERATIONS_AND_BAU,ROLE_OPERATIONS_LEAD -> ROLE_SUPPORT_LEAD,DASH_COMMUNICATION_AND_CALLBACK,"callback-and-clinician-messaging-loop.md; phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay",Communication failures can become safety or privacy incidents depending on disclosure scope.
ALERT_WATCH_TUPLE_OR_PARITY_DRIFT,SIG_METRIC_RELEASE_PARITY,release_tuple_drift,critical,EF_RELEASE_GOVERNANCE_RUNTIME_CONTROL,no,yes,conditional,PB_RELEASE_TUPLE_DRIFT,WS_TECHNICAL_SECURITY_ASSURANCE,ROLE_RELEASE_MANAGER -> ROLE_RELEASE_GUARDRAIL_OWNER -> ROLE_SERVICE_OWNER,DASH_RELEASE_EVIDENCE_COCKPIT,forensic-audit-findings.md#Finding 95 - The audit still omitted governance watch-tuple parity and recovery posture from release oversight; platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract,Direct closure of the healthier-than-runtime governance watch gap.
ALERT_WAVE_GUARDRAIL_BREACH,SIG_METRIC_CANARY_GUARDRAIL,wave_guardrail_breach,critical,EF_RELEASE_GOVERNANCE_RUNTIME_CONTROL,no,yes,conditional,PB_WAVE_GUARDRAIL_BREACH,WS_SERVICE_OPERATIONS_AND_BAU,ROLE_RELEASE_GUARDRAIL_OWNER -> ROLE_RELEASE_MANAGER,DASH_RELEASE_EVIDENCE_COCKPIT,platform-runtime-and-release-blueprint.md#Verification ladder contract,Critical because widening or rollback decisions are live-control actions.
ALERT_PROVENANCE_OR_SBOM_BLOCKED,SIG_LOG_PROVENANCE_VERDICT,supply_chain_integrity,critical,EF_RELEASE_GOVERNANCE_RUNTIME_CONTROL,no,yes,conditional,PB_PROVENANCE_INTEGRITY,WS_TECHNICAL_SECURITY_ASSURANCE,ROLE_SECURITY_LEAD -> ROLE_RELEASE_MANAGER,DASH_RELEASE_EVIDENCE_COCKPIT,prompt/015.md; platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract,A blocked provenance chain is release-critical and may also become a reportable security incident.
ALERT_DISCLOSURE_FENCE_BLOCKED,SIG_UI_PATIENT_DISCLOSURE,telemetry_disclosure_violation,critical,EF_PATIENT_SELF_SERVICE_CONTINUITY,yes,yes,yes,PB_DISCLOSURE_FENCE,WS_DATA_PROTECTION_PRIVACY,ROLE_SECURITY_LEAD -> ROLE_DPO -> ROLE_RELEASE_MANAGER,DASH_RELEASE_EVIDENCE_COCKPIT,10_audit_posture_and_event_disclosure.md; phase-0-the-foundation-protocol.md#UITelemetryDisclosureFence,This is one of the few alert classes that always requires reportability review.
ALERT_ASSURANCE_SLICE_QUARANTINED,SIG_METRIC_ASSURANCE_SLICE,assurance_slice_quarantine,critical,EF_RELEASE_GOVERNANCE_RUNTIME_CONTROL,no,yes,conditional,PB_ASSURANCE_SLICE_QUARANTINE,WS_SERVICE_OPERATIONS_AND_BAU,ROLE_OPERATIONS_LEAD -> ROLE_SECURITY_LEAD -> ROLE_RELEASE_MANAGER,DASH_RELEASE_EVIDENCE_COCKPIT,"phase-9-the-assurance-ledger.md#9A. Assurance ledger, evidence graph, and operational state contracts; prompt/015.md",Explicitly keeps one bad producer from blacking out every trust surface.
ALERT_BREAK_GLASS_OR_TENANT_SWITCH,SIG_AUDIT_BREAK_GLASS,heightened_access_event,critical,EF_RELEASE_GOVERNANCE_RUNTIME_CONTROL,yes,yes,yes,PB_BREAK_GLASS_AND_SCOPE,WS_DATA_PROTECTION_PRIVACY,ROLE_SECURITY_LEAD -> ROLE_DPO -> ROLE_SUPPORT_LEAD,DASH_RELEASE_EVIDENCE_COCKPIT,"platform-runtime-and-release-blueprint.md#Security baseline contract; phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay","Break-glass, tenant switch, and replay remain heightened access events even when user actions were legitimate."
ALERT_READINESS_OR_REHEARSAL_STALE,SIG_EVIDENCE_RECOVERY_POSTURE,stale_recovery_authority,critical,EF_RESILIENCE_RECOVERY_CONTROL,no,yes,conditional,PB_STALE_RECOVERY_AUTHORITY,WS_SERVICE_OPERATIONS_AND_BAU,ROLE_RELEASE_GUARDRAIL_OWNER -> ROLE_SERVICE_OWNER -> ROLE_OPERATIONS_LEAD,DASH_RESILIENCE_AND_RECOVERY,forensic-audit-findings.md#Finding 112 - Resilience restore authority still depended on loose runbooks and dashboards; phase-0-the-foundation-protocol.md#1.40G OperationalReadinessSnapshot,"Stale rehearsal evidence is an immediate control issue, not an advisory note."
ALERT_SECURITY_INCIDENT_OR_NEAR_MISS,SIG_INCIDENT_NEAR_MISS,security_incident_or_near_miss,critical,EF_RELEASE_GOVERNANCE_RUNTIME_CONTROL,yes,yes,yes,PB_SECURITY_INCIDENT,WS_TECHNICAL_SECURITY_ASSURANCE,ROLE_SECURITY_LEAD -> ROLE_DPO -> ROLE_SERVICE_OWNER,DASH_SECURITY_INCIDENT_DESK,"phase-9-the-assurance-ledger.md#9G. Security operations, incident workflow, and just-culture reporting",The same workflow covers reportable incidents and just-culture near misses.
