step_key,step_title,route_pattern,purpose,inputs_collected,output_projection_fields,route_family,recovery_posture,next_transitions,selected_anchor_key,primary_cta,quiet_status_state,surface_route_contract_ref,schema_binding,same_shell_key
landing,Landing and service explanation,/intake/start,"Establish scope, service boundaries, and the emergency escape route before draft creation.",none,serviceScopeSummary; emergencyEscapePolicy; intakeConvergenceContractRef,rf_intake_self_service,No authoritative saved state yet; same shell may show draft-not-started posture only.,request_type,request-start,Start your request,draft_not_started,ISRC_139_INTAKE_LANDING_V1,IntakeDraftView,patient.portal.requests
request_type,Request type,/intake/drafts/:draftPublicId/request-type,Choose one canonical intake type and lock the questionnaire branch without forking the draft model.,requestType,draftPublicId; requestType; uiJourneyState.currentStepKey,rf_intake_self_service,"Same-shell recovery only while DraftContinuityEvidenceProjection.validationState covers the same draft lineage, selected anchor, and release tuple.",details; resume_recovery,request-start,Continue,Saved posture derives from DraftSaveSettlement plus DraftContinuityEvidenceProjection only.,ISRC_139_INTAKE_REQUEST_TYPE_V1,IntakeDraftView,patient.portal.requests
details,Details,/intake/drafts/:draftPublicId/details,Capture the bounded narrative and the structured answers for the chosen request type.,structuredAnswers; freeTextNarrative,structuredAnswers; freeTextNarrative; uiJourneyState.completedStepKeys,rf_intake_self_service,"Same-shell recovery only while DraftContinuityEvidenceProjection.validationState covers the same draft lineage, selected anchor, and release tuple.",supporting_files; review_submit; resume_recovery,request-proof,Save and continue,Saved posture derives from DraftSaveSettlement plus DraftContinuityEvidenceProjection only.,ISRC_139_INTAKE_DETAILS_V1,IntakeDraftView,patient.portal.requests
supporting_files,Supporting files,/intake/drafts/:draftPublicId/supporting-files,Collect optional supporting evidence through governed attachment initiation rather than raw uploads.,attachmentRefs,attachmentRefs; channelCapabilityCeiling.canUploadFiles,rf_intake_self_service,"Same-shell recovery only while DraftContinuityEvidenceProjection.validationState covers the same draft lineage, selected anchor, and release tuple.",contact_preferences; review_submit; resume_recovery,request-proof,Continue,Quiet strip stays singular; no toast and banner duplication.,ISRC_139_INTAKE_SUPPORTING_FILES_V1,IntakeDraftView,patient.portal.requests
contact_preferences,Contact preferences,/intake/drafts/:draftPublicId/contact-preferences,Capture the bounded communication preference set used for receipt and follow-up contact.,contactPreferences,contactPreferences; channelCapabilityCeiling; uiJourneyState.currentPathname,rf_intake_self_service,"Same-shell recovery only while DraftContinuityEvidenceProjection.validationState covers the same draft lineage, selected anchor, and release tuple.",review_submit; resume_recovery,request-return,Review your request,Saved posture derives from DraftSaveSettlement plus DraftContinuityEvidenceProjection only.,ISRC_139_INTAKE_CONTACT_PREFERENCES_V1,IntakeDraftView,patient.portal.requests
review_submit,Review and submit,/intake/drafts/:draftPublicId/review,"Freeze the current draft summary, show the emergency reminder again, and route submit through the settlement chain.",submitIntent; final patient confirmation,draftVersion; requestType; contactPreferences; transitionEnvelopeRef,rf_intake_self_service,Same-shell review state only. Success is authoritative only after IntakeSubmitSettlement plus SubmissionPromotionRecord.,urgent_outcome; receipt_outcome; resume_recovery,request-return,Submit request,submitting_authoritative,ISRC_139_INTAKE_REVIEW_SUBMIT_V1,IntakeSubmitSettlement,patient.portal.requests
resume_recovery,Resume recovery,/intake/drafts/:draftPublicId/recovery?resumeToken=:resumeToken,"Recover a stale, superseded, or newly rebound draft in the same shell without opening a second draft lane.",resumeToken; governed rebind acknowledgement,resumeToken; uiJourneyState.sameShellRecoveryState; draftVersion,rf_intake_self_service,Bounded same-shell recovery only. Generic expired-link and detached error pages are forbidden steady-state behavior.,request_type; details; supporting_files; contact_preferences; review_submit,request-return,Resume safely,resume_safely,ISRC_139_INTAKE_RESUME_RECOVERY_V1,IntakeDraftView,patient.portal.requests
urgent_outcome,Urgent advice outcome,/intake/requests/:requestPublicId/urgent-guidance,Render the urgent pathway change in place for the same lineage once urgent diversion is durably required or completed.,none,requestPublicId; presentationArtifactRef; result=urgent_diversion,rf_intake_self_service,"Same-shell urgent outcome. If publication or release drifts, degrade through ReleaseRecoveryDisposition instead of implying routine success.",request_status,request-return,Get urgent help now,outcome_authoritative,ISRC_139_INTAKE_URGENT_OUTCOME_V1,IntakeOutcomePresentationArtifact,patient.portal.requests
receipt_outcome,Receipt outcome,/intake/requests/:requestPublicId/receipt,Morph the review surface into the calm receipt for the same request lineage after triage-ready promotion settles.,none,requestPublicId; presentationArtifactRef; result=triage_ready,rf_intake_self_service,Same-shell receipt. Stale publication truth downgrades in place instead of showing a detached success page.,request_status,request-return,Track request status,receipt_authoritative,ISRC_139_INTAKE_RECEIPT_OUTCOME_V1,IntakeOutcomePresentationArtifact,patient.portal.requests
request_status,Track my request,/intake/requests/:requestPublicId/status,Show the minimal top-level patient state and next-step message without exposing internal queue detail.,none,requestPublicId; artifactState; visibilityTier; summarySafetyTier,rf_intake_self_service,Status remains under the same shell and same request anchor; recovery-only posture must preserve this route rather than replace it.,receipt_outcome,request-return,Refresh status,status_authoritative,ISRC_139_INTAKE_REQUEST_STATUS_V1,IntakeOutcomePresentationArtifact,patient.portal.requests
