case_id,reason_class,binding_state,approval_checkpoint_state,preview_artifact_state,submit_result,recovery_path,notes
CASE_EVIDENCE_DELTA,evidence_delta,stale,superseded,recovery_only,stale_recoverable,reassess_from_replacement_epoch,New evidence invalidates the live consequence rail before submit or downstream launch may continue.
CASE_SAFETY_DELTA,safety_delta,blocked,superseded,recovery_only,stale_recoverable,urgent_or_resafety_interrupt,Safety posture change freezes consequence immediately.
CASE_DUPLICATE_RESOLUTION,duplicate_resolution,stale,superseded,recovery_only,stale_recoverable,duplicate_review_rebind,Attach or separation changes invalidate prior approval and preview truth.
CASE_APPROVAL_INVALIDATION,approval_invalidation,preview_only,superseded,summary_only,blocked_approval_gate,reissue_approval_same_shell,Approval mismatch preserves preview but blocks live consequence.
CASE_POLICY_DRIFT,policy_drift,preview_only,superseded,summary_only,blocked_policy,refresh_policy_bundle,Policy tuple drift downgrades the rail without discarding provenance.
CASE_PUBLICATION_DRIFT,publication_drift,preview_only,superseded,recovery_only,stale_recoverable,rebind_publication_tuple,Publication mismatch keeps the shell but freezes consequence controls.
CASE_TRUST_DOWNGRADE,trust_downgrade,blocked,superseded,recovery_only,stale_recoverable,reacquire_trust_same_shell,Trust downgrade leaves stale context visible as provenance only.
CASE_IDENTITY_DRIFT,identity_drift,blocked,superseded,recovery_only,stale_recoverable,identity_hold_or_rebind,Identity drift blocks consequence on the old epoch.
CASE_OWNERSHIP_DRIFT,ownership_drift,blocked,superseded,recovery_only,stale_recoverable,stale_owner_recovery,Ownership epoch drift revokes writable consequence posture.
CASE_REOPEN,reopen,stale,superseded,recovery_only,stale_recoverable,create_triage_reopen_record,Reopen creates a replacement path instead of retargeting the old preview.
CASE_MANUAL_REPLACE,manual_replace,stale,superseded,recovery_only,stale_recoverable,manual_replace_epoch,Manual replacement keeps the stale rail visible but no longer writable.
