route_key,implemented_path_pattern,contract_path_pattern,selected_anchor_key,shell_posture,quiet_status_state,summary_mode,dominant_action_label,continuity_rule
landing,/start-request,/intake/start,request-start,live,draft_not_started,panel,Start request,"Landing creates or resumes one same-shell intake lineage."
request_type,/start-request/:draftPublicId/request-type,/intake/drafts/:draftPublicId/request-type,request-start,live,saved_authoritative,panel,Continue,"Request-type choice keeps the same shell and selected anchor."
details,/start-request/:draftPublicId/details,/intake/drafts/:draftPublicId/details,request-proof,live,saved_authoritative,panel,Save and continue,"Detail capture morphs only the child region and keeps shell chrome intact."
supporting_files,/start-request/:draftPublicId/files,/intake/drafts/:draftPublicId/supporting-files,request-proof,live,saved_authoritative,drawer,Continue,"Attachment support remains subordinate inside the same question canvas."
contact_preferences,/start-request/:draftPublicId/contact,/intake/drafts/:draftPublicId/contact-preferences,request-return,live,saved_authoritative,drawer,Review your request,"Preference capture remains same-shell and keeps route truth bounded."
review_submit,/start-request/:draftPublicId/review,/intake/drafts/:draftPublicId/review,request-return,live,submitting_authoritative,drawer,Submit request,"Submit is authoritative only in the same shell and only through one dominant action."
resume_recovery,/start-request/:draftPublicId/recovery,/intake/drafts/:draftPublicId/recovery?resumeToken=:resumeToken,request-return,recovery_only,resume_safely,sheet,Resume safely,"Recovery keeps the same shell and rebinds to the same draft lineage."
urgent_outcome,/start-request/:draftPublicId/urgent-guidance,/intake/requests/:requestPublicId/urgent-guidance,request-return,outcome_authoritative,outcome_authoritative,sheet,Call 999 now,"Urgent guidance replaces the active step in place rather than leaving the shell."
receipt_outcome,/start-request/:draftPublicId/receipt,/intake/requests/:requestPublicId/receipt,request-return,outcome_authoritative,outcome_authoritative,sheet,Track request status,"Receipt inherits the same shell anatomy and continuity key."
request_status,/start-request/:draftPublicId/status,/intake/requests/:requestPublicId/status,request-return,outcome_authoritative,status_authoritative,sheet,Refresh status,"Status remains one minimal same-shell route instead of a detached dashboard."
