domain_ref,requirement_count,mapping_row_count,task_count,direct_count,test_requirement_count,gate_requirement_count,assurance_requirement_count,missing_implement_count,missing_test_count,deferred_requirement_count
assurance,342,2732,2592,2597,332,342,333,7,0,9
booking,193,1504,1449,1431,185,193,39,1,0,2
cross_phase,174,1018,1010,1010,174,174,0,40,0,40
frontend,450,3374,3193,3143,238,450,145,22,0,24
governance,64,600,562,531,55,64,62,0,0,2
hub,153,1201,1159,1133,148,153,29,0,0,1
identity,348,2965,2744,2669,303,348,201,22,0,24
intake,61,521,489,466,56,61,38,4,0,5
operations,39,395,367,321,33,39,38,0,0,1
patient_portal,137,1244,1169,1055,118,137,67,9,0,11
pharmacy,163,1235,1191,1202,156,163,39,1,0,2
runtime,147,1196,1152,1050,109,147,73,8,0,10
safety,82,641,558,616,72,82,80,1,0,2
staff_workspace,88,788,746,699,79,88,48,0,0,1
support,80,677,624,619,72,80,46,8,0,9
triage,159,1227,1144,1122,140,159,69,4,0,6
