transition_id,machine_id,canonical_name,from_state,to_state,trigger,guards,authoritative_proofs,degraded_posture_if_missing,closure_blocker_interactions,related_objects,source_refs
SM_SUBMISSION_ENVELOPE_STATE__DRAFT__EVIDENCE_PENDING,SM_SUBMISSION_ENVELOPE_STATE,SubmissionEnvelope.state,draft,evidence_pending,Capture bundle or attachments persist on the pre-submit lineage.,SubmissionIngressRecord exists; Envelope remains the only pre-submit container,SubmissionIngressRecord; EvidenceCaptureBundle,blocked / recovery_only,,SubmissionIngressRecord; EvidenceCaptureBundle,phase-0-the-foundation-protocol.md#1.1 SubmissionEnvelope; forensic-audit-findings.md#Finding 09 - Upload and audio quarantine rules were absent
SM_SUBMISSION_ENVELOPE_STATE__EVIDENCE_PENDING__READY_TO_PROMOTE,SM_SUBMISSION_ENVELOPE_STATE,SubmissionEnvelope.state,evidence_pending,ready_to_promote,Readiness checks complete for promotion-safe submission.,Evidence readiness is promotable; No fallback review is open on the same envelope,SubmissionPromotionReadinessCheck; EvidenceClassificationDecision,submitted_degraded,Fallback review stays closure-blocking until recovered,TelephonyEvidenceReadinessAssessment; FallbackReviewCase,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SUBMISSION_ENVELOPE_STATE__READY_TO_PROMOTE__PROMOTED,SM_SUBMISSION_ENVELOPE_STATE,SubmissionEnvelope.state,ready_to_promote,promoted,Governed submit promotes the envelope into one Request.,Promotion command targets the current envelope version; No quarantine or safety blocker remains,SubmissionPromotionRecord; CommandSettlementRecord(authoritativeOutcomeState = settled),blocked / recovery_only,,CommandSettlementRecord; SubmissionPromotionRecord; Request,phase-0-the-foundation-protocol.md#4 Canonical ingest and request promotion; phase-0-the-foundation-protocol.md#1.1 SubmissionEnvelope
SM_SUBMISSION_ENVELOPE_STATE__DRAFT__ABANDONED,SM_SUBMISSION_ENVELOPE_STATE,SubmissionEnvelope.state,draft,abandoned,User or support abandons pre-submit capture.,No governed submit has been accepted,SubmissionAbandonmentRecord,blocked / recovery_only,,SubmissionEnvelope,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_SUBMISSION_ENVELOPE_STATE__EVIDENCE_PENDING__EXPIRED,SM_SUBMISSION_ENVELOPE_STATE,SubmissionEnvelope.state,evidence_pending,expired,Continuation or draft TTL expires before promotion.,Continuation grant and draft window are no longer valid,AccessGrantSupersessionRecord; DraftExpiryRecord,draft_recoverable,,AccessGrant,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_REQUEST_WORKFLOW_STATE__SUBMITTED__INTAKE_NORMALIZED,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,submitted,intake_normalized,Promotion survives normalization and canonical ingest settlement.,Submission promotion is settled; Current evidence snapshot is persisted,SubmissionPromotionRecord; NormalizedSubmission; CommandSettlementRecord(authoritativeOutcomeState = settled),blocked / recovery_only,,SubmissionEnvelope; CommandSettlementRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_REQUEST_WORKFLOW_STATE__INTAKE_NORMALIZED__TRIAGE_READY,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,intake_normalized,triage_ready,Safety and identity axes settle enough for review queue admission.,SafetyState is not urgent_diversion_required; Queue entry contract is computed,SafetyDecisionRecord; QueueAdmissionRecord,blocked / recovery_only,,TriageTask; SafetyDecisionRecord,phase-0-the-foundation-protocol.md; forensic-audit-findings.md
SM_REQUEST_WORKFLOW_STATE__TRIAGE_READY__TRIAGE_ACTIVE,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,triage_ready,triage_active,Active review or more-info/approval work is acknowledged on the lineage.,A triage-side lease is active; Current DecisionEpoch or review context is live,RequestLifecycleLease; TriageLeaseSignal,blocked / recovery_only,"Duplicate review, more-info, approval, and identity repair remain orthogonal blockers",TriageTask; RequestLifecycleLease; DecisionEpoch,phase-0-the-foundation-protocol.md#Canonical request model; phase-3-the-human-checkpoint.md#3A Triage contract and workspace state model
SM_REQUEST_WORKFLOW_STATE__TRIAGE_ACTIVE__HANDOFF_ACTIVE,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,triage_active,handoff_active,A downstream child case is durably acknowledged on the same RequestLineage.,Current DecisionEpoch is unsuperseded; LineageCaseLink(caseFamily) is acknowledged,LineageCaseLink; BookingOutcomeMilestone | HubCoordinationMilestone | PharmacyOutcomeMilestone,blocked / recovery_only,External confirmation gates and downstream blockers stay on the lineage,LineageCaseLink; BookingCase; HubCoordinationCase; PharmacyCase,"phase-0-the-foundation-protocol.md#1.1B RequestLineage; phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics"
SM_REQUEST_WORKFLOW_STATE__TRIAGE_ACTIVE__OUTCOME_RECORDED,SM_REQUEST_WORKFLOW_STATE,Request.workflowState,triage_active,outcome_recorded,"Direct advice, direct completion, or direct endpoint outcome settles.",Endpoint settlement is authoritative; No urgent preemption is pending,EndpointDecisionSettlement(authoritativeOutcomeState = settled); DirectOutcomeMilestone,blocked / recovery_only,Residual blockers remain orthogonal to this milestone,EndpointDecisionSettlement; CommandSettlementRecord,"phase-3-the-human-checkpoint.md#3G Direct resolution, downstream handoff seeds, and reopen mechanics; phase-0-the-foundation-protocol.md#Canonical request model"
