scenario_id,settlement_id,action_record_ref,local_ack_state,result,processing_acceptance_state,external_observation_state,authoritative_outcome_state,envelope_outcome_state,authoritative_proof_class,same_shell_recovery_ref,quiet_eligible_at,stale_after_at,last_safe_anchor_ref,allowed_summary_tier,supersedes_settlement_ref,recorded_at,headline
local_ack_then_settled_success,CSR_072_LOCAL_ACK_PENDING_V1,CAR_072_LOCAL_ACK,local_ack,pending,accepted_for_processing,unobserved,pending,pending,not_yet_authoritative,,,2026-04-12T12:02:20Z,anchor_task_072_local_ack,,,2026-04-12T12:01:20Z,"Local acknowledgement is visible, but the shell stays pending."
local_ack_then_settled_success,CSR_072_LOCAL_ACK_SETTLED_V2,CAR_072_LOCAL_ACK,local_ack,applied,externally_accepted,external_effect_observed,settled,settled,external_confirmation,,2026-04-12T12:01:42Z,,anchor_task_072_local_ack,full_summary,CSR_072_LOCAL_ACK_PENDING_V1,2026-04-12T12:01:40Z,Authoritative confirmation lands and calm return becomes legal.
accepted_for_processing_pending_external_confirmation,CSR_072_EXTERNAL_PENDING_V1,CAR_072_EXTERNAL_PENDING,local_ack,awaiting_external,awaiting_external_confirmation,unobserved,pending,pending,not_yet_authoritative,,,2026-04-12T12:05:10Z,anchor_task_072_processing_pending,,,2026-04-12T12:03:10Z,Accepted-for-processing is distinct from authoritative completion.
projection_visible_not_authoritative_success,CSR_072_PROJECTION_VISIBLE_V1,CAR_072_PROJECTION_VISIBLE,optimistic_applied,projection_pending,accepted_for_processing,projection_visible,pending,pending,not_yet_authoritative,,,2026-04-12T12:06:10Z,anchor_task_072_projection_visible,,,2026-04-12T12:04:10Z,"Projection visibility informs the shell, but it does not quiet the chain."
review_required_outcome,CSR_072_REVIEW_REQUIRED_V1,CAR_072_REVIEW_REQUIRED,local_ack,review_required,externally_accepted,disputed,review_required,review_required,review_disposition,,,2026-04-12T12:07:10Z,anchor_task_072_review_required,,,2026-04-12T12:05:10Z,Conflicting evidence must hold the shell in diff-first review posture.
stale_recoverable_due_to_tuple_drift,CSR_072_STALE_RECOVERABLE_V1,CAR_072_STALE_RECOVERABLE,superseded,stale_recoverable,not_started,recovery_observed,recovery_required,recovery_required,recovery_disposition,/recover/task_072_stale_recoverable,,2026-04-12T12:08:40Z,anchor_task_072_stale_recoverable,summary_only,,2026-04-12T12:06:40Z,Tuple drift keeps the original chain recoverable in place.
blocked_policy_and_denied_scope_recovery,CSR_072_BLOCKED_POLICY_V1,CAR_072_BLOCKED_POLICY,queued,blocked_policy,not_started,recovery_observed,recovery_required,recovery_required,recovery_disposition,/recover/policy/072_blocked_policy,,2026-04-12T12:09:10Z,anchor_task_072_blocked_policy,summary_only,,2026-04-12T12:07:10Z,Policy blocks must degrade in place instead of throwing detached failure.
blocked_policy_and_denied_scope_recovery,CSR_072_DENIED_SCOPE_V1,CAR_072_DENIED_SCOPE,queued,denied_scope,not_started,recovery_observed,recovery_required,recovery_required,recovery_disposition,/recover/scope/072_denied_scope,,2026-04-12T12:09:20Z,anchor_task_072_denied_scope,summary_only,,2026-04-12T12:07:20Z,Scope denial keeps the shell recoverable with the last safe anchor preserved.
settlement_superseded_by_later_evidence,CSR_072_LATER_EVIDENCE_PENDING_V1,CAR_072_LATER_EVIDENCE,local_ack,awaiting_external,awaiting_external_confirmation,unobserved,pending,pending,not_yet_authoritative,,,2026-04-12T12:10:10Z,anchor_task_072_superseded_evidence,,,2026-04-12T12:08:10Z,The initial revision stays pending while later evidence catches up.
settlement_superseded_by_later_evidence,CSR_072_LATER_EVIDENCE_SETTLED_V2,CAR_072_LATER_EVIDENCE,local_ack,applied,externally_accepted,projection_visible,settled,settled,projection_visible,,2026-04-12T12:08:42Z,,anchor_task_072_superseded_evidence,full_summary,CSR_072_LATER_EVIDENCE_PENDING_V1,2026-04-12T12:08:40Z,Later evidence supersedes pending state without creating a competing chain.
