signal_id,signal_name,signal_family,tooling_family_ref,producer_scope,tenant_scope_class,trust_slice_code,correlation_keys,allowed_identifier_fields,allowed_payload_class,telemetry_ceiling,log_ceiling,authoritative_lane,retention_posture,required_object_refs,alert_route_ref,source_refs,notes
SIG_TRACE_GATEWAY_EDGE,Gateway ingress and route-intent traces,trace,FAM_SIGNAL_PIPELINE,svc_api_gateway,tenantScopeClass,release_publication,edgeCorrelationId; causalToken; routeFamilyCode,edgeCorrelationId; causalToken; routeFamilyCode; safeRouteScopeHash,descriptor_and_hash_only,descriptor_and_hash_only,diagnostic_refs_only,diagnostic_trace_then_audit_link,short_hot_then_governed_export,RouteIntentBinding; RuntimePublicationBundle,,platform-runtime-and-release-blueprint.md#Security baseline contract; phase-0-the-foundation-protocol.md#UITelemetryDisclosureFence,"No request payload, subject identifier, or raw route params may enter the span envelope."
SIG_TRACE_COMMAND_SETTLEMENT,Command settlement and transition traces,trace,FAM_SIGNAL_PIPELINE,svc_command_api,tenantScopeClass,continuity_proof,edgeCorrelationId; causalToken; routeFamilyCode,edgeCorrelationId; causalToken; routeFamilyCode; lineageRef,masked_scope_and_refs_only,masked_scope_and_refs_only,masked_scope_and_refs_only,command_settlement_audit_join,short_hot_then_audit_reference,CommandSettlementRecord; UITransitionSettlementRecord,,phase-0-the-foundation-protocol.md#2.8 ScopedMutationGate; platform-runtime-and-release-blueprint.md#Verification ladder contract,"Trace correlation is mandatory, but authoritative completion still comes from settlements."
SIG_UI_PATIENT_DISCLOSURE,Patient and public UI telemetry fence events,ui_telemetry,FAM_SIGNAL_PIPELINE,patient_shells,tenantScopeClass,continuity_proof,edgeCorrelationId; causalToken,eventId; edgeCorrelationId; causalToken; routeFamilyCode; shellDecisionClass; selectedAnchorChangeClass,descriptor_and_hash_only,descriptor_and_hash_only,diagnostic_refs_only,ui_event_to_projection_visibility_receipt,product_diagnostics_then_audit_reference,UITelemetryDisclosureFence; UIProjectionVisibilityReceipt,ALERT_DISCLOSURE_FENCE_BLOCKED,10_audit_posture_and_event_disclosure.md; phase-0-the-foundation-protocol.md#UITelemetryDisclosureFence,Directly enforces the task-010 ceiling for patient and public telemetry.
SIG_UI_WORKSPACE_DISCLOSURE,"Workspace, hub, pharmacy, support, and assistive UI telemetry fence events",ui_telemetry,FAM_SIGNAL_PIPELINE,staff_shells,tenantScopeClass,continuity_proof,edgeCorrelationId; causalToken,eventId; taskRef; lineageRef; maskScopeClass; restoreState; edgeCorrelationId,masked_scope_and_refs_only,masked_scope_and_refs_only,masked_scope_and_refs_only,ui_event_to_audit_reference,hot_diagnostics_then_governed_export,UITelemetryDisclosureFence; AuditRecord,ALERT_DISCLOSURE_FENCE_BLOCKED,"10_audit_posture_and_event_disclosure.md; phase-9-the-assurance-ledger.md#9G. Security operations, incident workflow, and just-culture reporting","Break-glass, support replay, and investigation routes emit heightened telemetry fences and audit."
SIG_LOG_PIPELINE_STAGE,Pipeline stage settlement logs,log,FAM_RELEASE_TUPLE_ORCHESTRATION,release_pipeline,tenantScopeClass,release_publication,edgeCorrelationId; releaseTupleHash,edgeCorrelationId; releaseTupleHash; releaseContractMatrixHash; artifactDigestRef,diagnostic_refs_only,descriptor_only,diagnostic_refs_only,pipeline_stage_settlement,governed_release_history,PipelineStageSettlement; VerificationScenario,ALERT_STAGE_SETTLEMENT_DRIFT,platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract; platform-admin-and-config-blueprint.md#Release governance contract,These logs may never stand in for the settlement record they reference.
SIG_LOG_PROVENANCE_VERDICT,Build provenance and signature verification logs,log,FAM_PROVENANCE_SIGNING_SBOM,artifact_attestation_lane,tenantScopeClass,security_assurance,edgeCorrelationId; releaseTupleHash,edgeCorrelationId; releaseTupleHash; artifactDigestRef; watchTupleHash,diagnostic_refs_only,descriptor_only,audit_reference_only,provenance_verification_then_audit_export,release_history_and_assurance_archive,BuildProvenanceRecord; ReleasePublicationParityRecord,ALERT_PROVENANCE_OR_SBOM_BLOCKED,platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract; platform-runtime-and-release-blueprint.md#Security baseline contract,"No secret material, raw environment config, or long-lived credential detail may appear here."
SIG_METRIC_ASSURANCE_SLICE,Assurance slice trust and completeness metrics,metric,FAM_SIGNAL_PIPELINE,assurance_supervisor,tenantScopeClass,assurance_ingest,edgeCorrelationId,edgeCorrelationId; trustSliceCode; graphHash,descriptor_only,descriptor_only,diagnostic_refs_only,assurance_slice_metric_and_export,operational_control_then_assurance_archive,AssuranceSliceTrustRecord; AssuranceGraphCompletenessVerdict,ALERT_ASSURANCE_SLICE_QUARANTINED,"phase-9-the-assurance-ledger.md#9A. Assurance ledger, evidence graph, and operational state contracts; phase-0-the-foundation-protocol.md#2.7 AssuranceSupervisor","One bad producer degrades only its slice and its dependants, not the whole platform."
SIG_METRIC_RELEASE_PARITY,Release publication parity and watch tuple metrics,metric,FAM_ALERTING_EVIDENCE_BOARDS,runtime_contract_publisher,tenantScopeClass,release_publication,edgeCorrelationId; releaseTupleHash,edgeCorrelationId; releaseTupleHash; watchTupleHash; parityState,descriptor_only,descriptor_only,diagnostic_refs_only,release_watch_and_ops_board,hot_watch_then_release_archive,RuntimePublicationBundle; ReleasePublicationParityRecord; ReleaseWatchTuple,ALERT_WATCH_TUPLE_OR_PARITY_DRIFT,forensic-audit-findings.md#Finding 95 - The audit still omitted governance watch-tuple parity and recovery posture from release oversight; phase-0-the-foundation-protocol.md#1.24C ReleaseWatchEvidenceCockpit,"Governance, operations, and the release cockpit consume the same parity facts."
SIG_METRIC_CANARY_GUARDRAIL,Canary and wave guardrail metrics,metric,FAM_SYNTHETIC_CANARY_PROOF,wave_observation_policy,tenantScopeClass,release_publication,edgeCorrelationId; watchTupleHash,edgeCorrelationId; watchTupleHash; releaseTupleHash; serviceClass,descriptor_only,descriptor_only,diagnostic_refs_only,guardrail_snapshot_then_wave_verification,wave_history_archive,WaveGuardrailSnapshot; WaveVerificationRecord,ALERT_WAVE_GUARDRAIL_BREACH,platform-runtime-and-release-blueprint.md#Verification ladder contract; platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract,Canary widen and rollback decisions must reference this guardrail lane explicitly.
SIG_METRIC_PATIENT_ENTRY_SLO,Patient entry and recovery SLO metrics,metric,FAM_ALERTING_EVIDENCE_BOARDS,essential_function_health,tenantScopeClass,continuity_proof,edgeCorrelationId; releaseTupleHash,edgeCorrelationId; releaseTupleHash; sliCode; routeFamilyCode,descriptor_only,descriptor_only,diagnostic_refs_only,essential_function_board,ops_hot_then_assurance_export,EssentialFunctionHealthEnvelope; OperationalReadinessSnapshot,ALERT_PATIENT_ENTRY_SLO,platform-runtime-and-release-blueprint.md#Operational readiness contract; operations-console-frontend-blueprint.md#4.4 ServiceHealthGrid,"Patient entry includes public intake, secure-link recovery, and telephony continuation posture."
SIG_METRIC_WORKSPACE_SLO,Workspace triage and settlement SLO metrics,metric,FAM_ALERTING_EVIDENCE_BOARDS,essential_function_health,tenantScopeClass,continuity_proof,edgeCorrelationId; releaseTupleHash,edgeCorrelationId; releaseTupleHash; sliCode; routeFamilyCode,descriptor_only,descriptor_only,diagnostic_refs_only,essential_function_board,ops_hot_then_assurance_export,EssentialFunctionHealthEnvelope; OperationalReadinessSnapshot,ALERT_WORKSPACE_SETTLEMENT_SLO,"platform-runtime-and-release-blueprint.md#Operational readiness contract; phase-9-the-assurance-ledger.md#9B. Live operational projections, service levels, and breach-risk engine","This stays command-settlement-first, not queue-heartbeat-first."
SIG_METRIC_BOOKING_PHARMACY_SLO,"Booking, hub, pharmacy, and callback delivery SLO metrics",metric,FAM_ALERTING_EVIDENCE_BOARDS,essential_function_health,tenantScopeClass,continuity_proof,edgeCorrelationId; releaseTupleHash,edgeCorrelationId; releaseTupleHash; sliCode; routeFamilyCode,descriptor_only,descriptor_only,diagnostic_refs_only,essential_function_board,ops_hot_then_assurance_export,EssentialFunctionHealthEnvelope; ReleaseTrustFreezeVerdict,ALERT_BOOKING_AND_PARTNER_FLOW_SLO,platform-runtime-and-release-blueprint.md#Operational readiness contract; phase-0-the-foundation-protocol.md#1.40BA EssentialFunctionHealthEnvelope,"Local booking, network hub, pharmacy loop, and callback delivery all report through exact fallback and recovery posture."
