route_scope_requirement_id,route_family_id,route_family,gateway_surface_id,audience_surface_ref,audience,shell_type,route_group,scope_mode,tenant_isolation_mode,acting_scope_profile_id,acting_scope_tuple_requirement,governance_scope_token_requirement,purpose_of_use_ref,audience_visibility_coverage_ref,minimum_necessary_contract_ref,required_runtime_binding_refs,runtime_browser_authority_binding_refs,required_trust_refs,route_intent_binding_required,governing_object_version_required,sample_acting_scope_tuple_ref,scope_tuple_hash,affected_tenant_count,affected_organisation_count,blast_radius_class,drift_state,same_shell_freeze_posture,writable_scope_rule,audience_surface_refs,source_refs,rationale
RSR_054_GWS_GOVERNANCE_SHELL_RF_GOVERNANCE_SHELL,rf_governance_shell,"/ops/governance/*, /ops/access/*, /ops/config/*, /ops/comms/*, /ops/release/*",gws_governance_shell,surf_governance_shell,governance_review,governance,governance,platform,platform_control_plane_with_explicit_blast_radius,ACT_GOVERNANCE_PLATFORM,required,required,purpose://governance_review,AVC_054_GOVERNANCE_PLATFORM_V1,MNC_054_GOVERNANCE_PLATFORM_V1,ASRB_050_GOVERNANCE_ADMIN_V1,RBA_054_GOVERNANCE_ADMIN_V1,GST_054_GOVERNANCE_PLATFORM_V1; RWT_PROD_V1; RTFV_PROD_GOVERNANCE_LIVE_V1,yes,yes,AST_054_GOVERNANCE_PLATFORM_V1,1ab1f4b033de412a,8,32,platform,handoff_only,read_only_or_handoff_only,one_current_tuple_across_visibility_runtime_route_intent_and_object_version,audsurf_governance_admin,governance-admin-console-frontend-blueprint.md#Shell and route topology; platform-frontend-blueprint.md#Governance/Admin specialization; governance-admin-console-frontend-blueprint.md#Primary governance personas; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/governance-admin-console-frontend-blueprint.md#Shell and route topology; blueprint/forensic-audit-findings.md#Finding 95; data/analysis/tenant_isolation_matrix.csv#TIM_GOVERNANCE_PLATFORM; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_GOVERNANCE_PLATFORM; blueprint/governance-admin-console-frontend-blueprint.md#1A. GovernanceScopeToken; prompt/054.md,Platform governance binds one scope token and one tuple so release and access work cannot stay writable under stale scope.
RSR_054_GWS_HUB_CASE_MANAGEMENT_RF_HUB_CASE_MANAGEMENT,rf_hub_case_management,"/hub/case/:hubCoordinationCaseId, /hub/alternatives/:offerSessionId, /hub/exceptions, /hub/audit/:hubCoordinationCaseId",gws_hub_case_management,surf_hub_case_management,hub_desk,hub,hub,organisation_group,explicit_cross_org_subject_scope,ACT_HUB_CROSS_ORG,required,not_required,purpose://operational_care_delivery,AVC_054_HUB_CROSS_ORG_V1,MNC_054_HUB_CROSS_ORG_V1,ASRB_050_HUB_DESK_V1,RBA_054_HUB_DESK_V1,asr_runtime_topology_tuple; RTFV_PROD_HUB_LIVE_V1; scope://hub/cross_org_visibility,yes,yes,AST_054_HUB_COORDINATION_V1,9a08a8b731f8656b,1,4,cross_org,summary_only,summary_only_or_denied_scope,one_current_tuple_across_visibility_runtime_route_intent_and_object_version,audsurf_hub_desk,phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_HUB_CROSS_ORG; prompt/054.md,Hub work is lawful only through an explicit declared organisation subset and one tuple hash.
RSR_054_GWS_HUB_QUEUE_RF_HUB_QUEUE,rf_hub_queue,/hub/queue,gws_hub_queue,surf_hub_queue,hub_desk,hub,hub,organisation_group,explicit_cross_org_subject_scope,ACT_HUB_CROSS_ORG,required,not_required,purpose://operational_care_delivery,AVC_054_HUB_CROSS_ORG_V1,MNC_054_HUB_CROSS_ORG_V1,ASRB_050_HUB_DESK_V1,RBA_054_HUB_DESK_V1,asr_runtime_topology_tuple; RTFV_PROD_HUB_LIVE_V1; scope://hub/cross_org_visibility,yes,yes,AST_054_HUB_COORDINATION_V1,9a08a8b731f8656b,1,4,cross_org,summary_only,summary_only_or_denied_scope,one_current_tuple_across_visibility_runtime_route_intent_and_object_version,audsurf_hub_desk,"phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-5-the-network-horizon.md#Frontend work; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_HUB_CROSS_ORG; prompt/054.md",Hub work is lawful only through an explicit declared organisation subset and one tuple hash.
RSR_054_GWS_OPERATIONS_BOARD_RF_OPERATIONS_BOARD,rf_operations_board,"/ops/overview, /ops/queues, /ops/capacity, /ops/dependencies, /ops/audit, /ops/assurance, /ops/incidents, /ops/resilience",gws_operations_board,surf_operations_board,operations_control,operations,operations,multi_tenant,platform_observation_aggregate,ACT_OPERATIONS_WATCH,required,not_required,purpose://operational_control,AVC_054_OPERATIONS_WATCH_V1,MNC_054_OPERATIONS_WATCH_V1,ASRB_050_OPERATIONS_CONSOLE_V1,RBA_054_OPERATIONS_CONSOLE_V1,RWT_PROD_V1; WGS_PROD_V1; RTFV_PROD_OPERATIONS_DIAGNOSTIC_V1,yes,yes,AST_054_OPERATIONS_WATCH_V1,98bde84ef9eeb71f,4,8,multi_tenant,diagnostic_copy_only,diagnostic_copy_only_or_controls_frozen,one_current_tuple_across_visibility_runtime_route_intent_and_object_version,audsurf_operations_console,operations-console-frontend-blueprint.md#Canonical route family; platform-frontend-blueprint.md#Operations Console specialization; operations-console-frontend-blueprint.md#Calm board posture and briefing artifacts; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/operations-console-frontend-blueprint.md#Canonical route family; blueprint/forensic-audit-findings.md#Finding 96; data/analysis/tenant_isolation_matrix.csv#TIM_OPERATIONS_MULTI_TENANT; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_OPERATIONS_WATCH; blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple; prompt/054.md,Operations watch is broad by design but must surface explicit tenant and organisation counts before any control settles.
RSR_054_GWS_OPERATIONS_DRILLDOWN_RF_OPERATIONS_DRILLDOWN,rf_operations_drilldown,"/ops/:opsLens/investigations/:opsRouteIntentId, /interventions/:opsRouteIntentId, /compare/:opsRouteIntentId, /health/:opsRouteIntentId",gws_operations_drilldown,surf_operations_drilldown,operations_control,operations,operations,multi_tenant,platform_observation_aggregate,ACT_OPERATIONS_WATCH,required,not_required,purpose://operational_control,AVC_054_OPERATIONS_WATCH_V1,MNC_054_OPERATIONS_WATCH_V1,ASRB_050_OPERATIONS_CONSOLE_V1,RBA_054_OPERATIONS_CONSOLE_V1,RWT_PROD_V1; WGS_PROD_V1; RTFV_PROD_OPERATIONS_DIAGNOSTIC_V1,yes,yes,AST_054_OPERATIONS_WATCH_V1,98bde84ef9eeb71f,4,8,multi_tenant,diagnostic_copy_only,diagnostic_copy_only_or_controls_frozen,one_current_tuple_across_visibility_runtime_route_intent_and_object_version,audsurf_operations_console,operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; blueprint/forensic-audit-findings.md#Finding 96; data/analysis/tenant_isolation_matrix.csv#TIM_OPERATIONS_MULTI_TENANT; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_OPERATIONS_WATCH; blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple; prompt/054.md,Operations watch is broad by design but must surface explicit tenant and organisation counts before any control settles.
RSR_054_GWS_PATIENT_APPOINTMENTS_RF_PATIENT_APPOINTMENTS,rf_patient_appointments,Appointments,gws_patient_appointments,surf_patient_appointments,patient_authenticated,patient,patient,tenant,tenant_scoped_subject,ACT_PATIENT_AUTHENTICATED,not_required,not_required,purpose://authenticated_self_service,AVC_054_PATIENT_AUTHENTICATED_V1,MNC_054_PATIENT_AUTHENTICATED_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,RBA_054_PATIENT_AUTHENTICATED_PORTAL_V1,,conditional,yes,,,1,1,single_tenant,read_only,read_only_or_recovery_only,browser_authority_tuple_only,audsurf_patient_authenticated_portal,"phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PATIENT_AUTHENTICATED; prompt/054.md",Patient self-service remains subject-bound and does not use a staff ActingScopeTuple.
RSR_054_GWS_PATIENT_HEALTH_RECORD_RF_PATIENT_HEALTH_RECORD,rf_patient_health_record,Health record,gws_patient_health_record,surf_patient_health_record,patient_authenticated,patient,patient,tenant,tenant_scoped_subject,ACT_PATIENT_AUTHENTICATED,not_required,not_required,purpose://authenticated_self_service,AVC_054_PATIENT_AUTHENTICATED_V1,MNC_054_PATIENT_AUTHENTICATED_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,RBA_054_PATIENT_AUTHENTICATED_PORTAL_V1,,conditional,yes,,,1,1,single_tenant,read_only,read_only_or_recovery_only,browser_authority_tuple_only,audsurf_patient_authenticated_portal,phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; patient-portal-experience-architecture-blueprint.md#Primary navigation model; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PATIENT_AUTHENTICATED; prompt/054.md,Patient self-service remains subject-bound and does not use a staff ActingScopeTuple.
RSR_054_GWS_PATIENT_HOME_RF_PATIENT_HOME,rf_patient_home,Home,gws_patient_home,surf_patient_home,patient_authenticated,patient,patient,tenant,tenant_scoped_subject,ACT_PATIENT_AUTHENTICATED,not_required,not_required,purpose://authenticated_self_service,AVC_054_PATIENT_AUTHENTICATED_V1,MNC_054_PATIENT_AUTHENTICATED_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,RBA_054_PATIENT_AUTHENTICATED_PORTAL_V1,,conditional,yes,,,1,1,single_tenant,read_only,read_only_or_recovery_only,browser_authority_tuple_only,audsurf_patient_authenticated_portal,patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; patient-account-and-communications-blueprint.md#Patient home contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PATIENT_AUTHENTICATED; prompt/054.md,Patient self-service remains subject-bound and does not use a staff ActingScopeTuple.
RSR_054_GWS_PATIENT_MESSAGES_RF_PATIENT_MESSAGES,rf_patient_messages,Messages,gws_patient_messages,surf_patient_messages,patient_authenticated,patient,patient,tenant,tenant_scoped_subject,ACT_PATIENT_AUTHENTICATED,not_required,not_required,purpose://authenticated_self_service,AVC_054_PATIENT_AUTHENTICATED_V1,MNC_054_PATIENT_AUTHENTICATED_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,RBA_054_PATIENT_AUTHENTICATED_PORTAL_V1,,conditional,yes,,,1,1,single_tenant,read_only,read_only_or_recovery_only,browser_authority_tuple_only,audsurf_patient_authenticated_portal,phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; callback-and-clinician-messaging-loop.md; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; blueprint/callback-and-clinician-messaging-loop.md; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PATIENT_AUTHENTICATED; prompt/054.md,Patient self-service remains subject-bound and does not use a staff ActingScopeTuple.
RSR_054_GWS_PATIENT_REQUESTS_RF_PATIENT_REQUESTS,rf_patient_requests,Requests,gws_patient_requests,surf_patient_requests,patient_authenticated,patient,patient,tenant,tenant_scoped_subject,ACT_PATIENT_AUTHENTICATED,not_required,not_required,purpose://authenticated_self_service,AVC_054_PATIENT_AUTHENTICATED_V1,MNC_054_PATIENT_AUTHENTICATED_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,RBA_054_PATIENT_AUTHENTICATED_PORTAL_V1,,conditional,yes,,,1,1,single_tenant,read_only,read_only_or_recovery_only,browser_authority_tuple_only,audsurf_patient_authenticated_portal,patient-account-and-communications-blueprint.md#Requests browsing contract; patient-account-and-communications-blueprint.md#Request detail contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-account-and-communications-blueprint.md#Request detail contract; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PATIENT_AUTHENTICATED; prompt/054.md,Patient self-service remains subject-bound and does not use a staff ActingScopeTuple.
