route_family_ref,route_family_label,audience_surface,frontend_contract_manifest_ref,manifest_ready_route_family_set_ref,gateway_surface_refs,projection_query_contract_ref,projection_query_digest_ref,mutation_command_contract_ref,mutation_command_digest_ref,live_update_channel_contract_ref,live_update_channel_digest_ref,client_cache_policy_refs,client_cache_policy_digest_refs,validation_state,parallel_interface_gap_refs,defect_refs,source_refs
rf_governance_shell,"/ops/governance/*, /ops/access/*, /ops/config/*, /ops/comms/*, /ops/release/*",audsurf_governance_admin,FCM_050_GOVERNANCE_ADMIN_V1,MRFS_065_FCM_050_GOVERNANCE_ADMIN_V1_V1,gws_governance_shell,PQC_050_RF_GOVERNANCE_SHELL_V1,projection-query-digest::bf0c70d61b236290,MCC_050_RF_GOVERNANCE_SHELL_V1,mutation-command-digest::3027e2cbc229023f,LCC_050_RF_GOVERNANCE_SHELL_V1,live-channel-digest::d7881f693da01320,CP_GOVERNANCE_CONTROL_EPHEMERAL,cache-policy-digest::2b4060871672634d,warning,PARALLEL_INTERFACE_GAP_065_ROUTE_INTENT_ALIAS_GOVERNANCE_SHELL,,blueprint/governance-admin-console-frontend-blueprint.md#Shell and route topology; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; data/analysis/gateway_bff_surfaces.json#gws_governance_shell; governance-admin-console-frontend-blueprint.md#Shell and route topology; platform-frontend-blueprint.md#Governance/Admin specialization; governance-admin-console-frontend-blueprint.md#Shell and route topology; platform-frontend-blueprint.md#Governance/Admin specialization; governance-admin-console-frontend-blueprint.md#Primary governance personas; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/governance-admin-console-frontend-blueprint.md#Shell and route topology; blueprint/forensic-audit-findings.md#Finding 95; data/analysis/tenant_isolation_matrix.csv#TIM_GOVERNANCE_PLATFORM
rf_hub_case_management,"/hub/case/:hubCoordinationCaseId, /hub/alternatives/:offerSessionId, /hub/exceptions, /hub/audit/:hubCoordinationCaseId",audsurf_hub_desk,FCM_050_HUB_DESK_V1,MRFS_065_FCM_050_HUB_DESK_V1_V1,gws_hub_case_management,PQC_050_RF_HUB_CASE_MANAGEMENT_V1,projection-query-digest::d821dfa14eff0cae,MCC_050_RF_HUB_CASE_MANAGEMENT_V1,mutation-command-digest::10054aabe7d8f127,LCC_050_RF_HUB_CASE_MANAGEMENT_V1,live-channel-digest::8569dc961a769771,CP_HUB_CASE_PRIVATE_EPHEMERAL,cache-policy-digest::2e3dbcdc0c5a02e0,warning,PARALLEL_INTERFACE_GAP_065_SETTLEMENT_RECOVERY_HUB_CASE_MANAGEMENT,,"blueprint/phase-5-the-network-horizon.md#Frontend work; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; data/analysis/gateway_bff_surfaces.json#gws_hub_case_management; data/analysis/gateway_bff_surfaces.json#gws_hub_queue; phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine; phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG"
rf_hub_queue,/hub/queue,audsurf_hub_desk,FCM_050_HUB_DESK_V1,MRFS_065_FCM_050_HUB_DESK_V1_V1,gws_hub_queue,PQC_050_RF_HUB_QUEUE_V1,projection-query-digest::6e513bea783be950,MCC_050_RF_HUB_QUEUE_V1,mutation-command-digest::fdc00d19c8532f99,LCC_050_RF_HUB_QUEUE_V1,live-channel-digest::637e09fb7adffda0,CP_HUB_QUEUE_PRIVATE_SUMMARY,cache-policy-digest::22ccc8aeb8142577,warning,PARALLEL_INTERFACE_GAP_065_ROUTE_INTENT_ALIAS_HUB_QUEUE; PARALLEL_INTERFACE_GAP_065_SETTLEMENT_RECOVERY_HUB_QUEUE,,"blueprint/phase-5-the-network-horizon.md#Frontend work; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; data/analysis/gateway_bff_surfaces.json#gws_hub_case_management; data/analysis/gateway_bff_surfaces.json#gws_hub_queue; phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine; phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-5-the-network-horizon.md#Frontend work; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG"
rf_intake_self_service,Intake / self-service form (derived),audsurf_patient_public_entry,FCM_050_PATIENT_PUBLIC_ENTRY_V1,MRFS_065_FCM_050_PATIENT_PUBLIC_ENTRY_V1_V1,gws_patient_intake_web,PQC_050_RF_INTAKE_SELF_SERVICE_V1,projection-query-digest::aeeeeb883086d68f,MCC_050_RF_INTAKE_SELF_SERVICE_V1,mutation-command-digest::31681509bde22f21,,,CP_PUBLIC_NO_PERSISTED_PHI,cache-policy-digest::714dee733d6af3cf,warning,PARALLEL_INTERFACE_GAP_065_ROUTE_INTENT_ALIAS_INTAKE_SELF_SERVICE; PARALLEL_INTERFACE_GAP_065_SETTLEMENT_RECOVERY_INTAKE_SELF_SERVICE,DEFECT_065_ALLOWED_LIVE_ABSENCE_INTAKE_SELF_SERVICE,blueprint-init.md#2. Core product surfaces; blueprint/platform-frontend-blueprint.md#Browser boundary and BFF law; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; data/analysis/gateway_bff_surfaces.json#gws_patient_intake_phone; data/analysis/gateway_bff_surfaces.json#gws_patient_intake_web; phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law; phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers; blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/blueprint-init.md#2. Core product surfaces; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PUBLIC_PRE_IDENTITY
rf_intake_telephony_capture,Intake / telephony capture (derived),audsurf_patient_public_entry,FCM_050_PATIENT_PUBLIC_ENTRY_V1,MRFS_065_FCM_050_PATIENT_PUBLIC_ENTRY_V1_V1,gws_patient_intake_phone,PQC_050_RF_INTAKE_TELEPHONY_CAPTURE_V1,projection-query-digest::d151ce5a5b86e4c9,MCC_050_RF_INTAKE_TELEPHONY_CAPTURE_V1,mutation-command-digest::b73a1edfc99d0584,,,CP_CONSTRAINED_CAPTURE_NO_BROWSER_CACHE,cache-policy-digest::c203d459a139ff14,warning,PARALLEL_INTERFACE_GAP_065_ROUTE_INTENT_ALIAS_INTAKE_TELEPHONY_CAPTURE; PARALLEL_INTERFACE_GAP_065_SETTLEMENT_RECOVERY_INTAKE_TELEPHONY_CAPTURE,DEFECT_065_ALLOWED_LIVE_ABSENCE_INTAKE_TELEPHONY_CAPTURE,blueprint-init.md#2. Core product surfaces; blueprint/platform-frontend-blueprint.md#Browser boundary and BFF law; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; data/analysis/gateway_bff_surfaces.json#gws_patient_intake_phone; data/analysis/gateway_bff_surfaces.json#gws_patient_intake_web; phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law; phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers; blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/blueprint-init.md#2. Core product surfaces; docs/architecture/11_gateway_surface_and_runtime_topology_baseline.md#Gateway Surface Matrix; data/analysis/tenant_isolation_matrix.csv#TIM_PUBLIC_PRE_IDENTITY
rf_operations_board,"/ops/overview, /ops/queues, /ops/capacity, /ops/dependencies, /ops/audit, /ops/assurance, /ops/incidents, /ops/resilience",audsurf_operations_console,FCM_050_OPERATIONS_CONSOLE_V1,MRFS_065_FCM_050_OPERATIONS_CONSOLE_V1_V1,gws_operations_board,PQC_050_RF_OPERATIONS_BOARD_V1,projection-query-digest::798f43b62e426874,MCC_050_RF_OPERATIONS_BOARD_V1,mutation-command-digest::55145a84c5c678a7,LCC_050_RF_OPERATIONS_BOARD_V1,live-channel-digest::31b18b0e5e6d361c,CP_OPERATIONS_WATCH_NO_SHARED_CACHE,cache-policy-digest::1c480cc276669051,warning,PARALLEL_INTERFACE_GAP_065_ROUTE_INTENT_ALIAS_OPERATIONS_BOARD,,blueprint/operations-console-frontend-blueprint.md#Canonical route family; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; data/analysis/gateway_bff_surfaces.json#gws_operations_board; data/analysis/gateway_bff_surfaces.json#gws_operations_drilldown; operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; platform-frontend-blueprint.md#Operations Console specialization; operations-console-frontend-blueprint.md#Canonical route family; platform-frontend-blueprint.md#Operations Console specialization; operations-console-frontend-blueprint.md#Calm board posture and briefing artifacts; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/operations-console-frontend-blueprint.md#Canonical route family; blueprint/forensic-audit-findings.md#Finding 96; data/analysis/tenant_isolation_matrix.csv#TIM_OPERATIONS_MULTI_TENANT
rf_operations_drilldown,"/ops/:opsLens/investigations/:opsRouteIntentId, /interventions/:opsRouteIntentId, /compare/:opsRouteIntentId, /health/:opsRouteIntentId",audsurf_operations_console,FCM_050_OPERATIONS_CONSOLE_V1,MRFS_065_FCM_050_OPERATIONS_CONSOLE_V1_V1,gws_operations_drilldown,PQC_050_RF_OPERATIONS_DRILLDOWN_V1,projection-query-digest::7a9669e09d71f009,MCC_050_RF_OPERATIONS_DRILLDOWN_V1,mutation-command-digest::2cd51dd89b01bf15,LCC_050_RF_OPERATIONS_DRILLDOWN_V1,live-channel-digest::7479824f0e73e85b,CP_OPERATIONS_CONTROL_EPHEMERAL,cache-policy-digest::f70eb50b1d2b5733,valid,,,blueprint/operations-console-frontend-blueprint.md#Canonical route family; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; data/analysis/gateway_bff_surfaces.json#gws_operations_board; data/analysis/gateway_bff_surfaces.json#gws_operations_drilldown; operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; platform-frontend-blueprint.md#Operations Console specialization; operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; blueprint/forensic-audit-findings.md#Finding 96; data/analysis/tenant_isolation_matrix.csv#TIM_OPERATIONS_MULTI_TENANT
rf_patient_appointments,Appointments,audsurf_patient_authenticated_portal,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,MRFS_065_FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1_V1,gws_patient_appointments,PQC_050_RF_PATIENT_APPOINTMENTS_V1,projection-query-digest::6de483fd90e6ac9b,MCC_050_RF_PATIENT_APPOINTMENTS_V1,mutation-command-digest::562a1a8c6b5ed3b6,LCC_050_RF_PATIENT_APPOINTMENTS_V1,live-channel-digest::44466026b66946e6,CP_PATIENT_BOOKING_PRIVATE_EPHEMERAL,cache-policy-digest::3bb0a3dfeab3386b,valid,,,"blueprint/patient-account-and-communications-blueprint.md#Patient home contract; blueprint/patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; callback-and-clinician-messaging-loop.md; data/analysis/gateway_bff_surfaces.json#gws_patient_home; patient-account-and-communications-blueprint.md#Core projections; patient-account-and-communications-blueprint.md#Patient home contract; patient-account-and-communications-blueprint.md#Request detail contract; patient-account-and-communications-blueprint.md#Requests browsing contract; patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; patient-portal-experience-architecture-blueprint.md#Primary navigation model; phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE"
rf_patient_embedded_channel,Patient embedded channel parity,audsurf_patient_transaction_recovery,FCM_050_PATIENT_TRANSACTION_RECOVERY_V1,MRFS_065_FCM_050_PATIENT_TRANSACTION_RECOVERY_V1_V1,gws_patient_embedded_shell,PQC_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,projection-query-digest::a740764c4979e47e,MCC_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,mutation-command-digest::b37c11b66f3f98cb,LCC_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,live-channel-digest::7dd2c3d50e7c6dea,CP_EMBEDDED_HOST_SCOPED_EPHEMERAL,cache-policy-digest::0f964392324e9388,warning,PARALLEL_INTERFACE_GAP_065_ROUTE_INTENT_ALIAS_PATIENT_EMBEDDED_CHANNEL,,"blueprint/patient-account-and-communications-blueprint.md#Patient audience coverage contract; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; data/analysis/gateway_bff_surfaces.json#gws_patient_embedded_shell; data/analysis/gateway_bff_surfaces.json#gws_patient_secure_link_recovery; patient-account-and-communications-blueprint.md#Patient audience coverage contract; patient-portal-experience-architecture-blueprint.md#Control priorities; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; patient-portal-experience-architecture-blueprint.md#Control priorities; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-portal-experience-architecture-blueprint.md#Control priorities; blueprint/forensic-audit-findings.md#Finding 90; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_EMBEDDED"
rf_patient_health_record,Health record,audsurf_patient_authenticated_portal,FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1,MRFS_065_FCM_050_PATIENT_AUTHENTICATED_PORTAL_V1_V1,gws_patient_health_record,PQC_050_RF_PATIENT_HEALTH_RECORD_V1,projection-query-digest::c0704dd7070fa61d,MCC_050_RF_PATIENT_HEALTH_RECORD_V1,mutation-command-digest::88bcfb0910131eaf,,,CP_PATIENT_ARTIFACT_SUMMARY_NO_STORE,cache-policy-digest::d6b65fc132dc0d10,warning,PARALLEL_INTERFACE_GAP_065_ROUTE_INTENT_ALIAS_PATIENT_HEALTH_RECORD,DEFECT_065_ALLOWED_LIVE_ABSENCE_PATIENT_HEALTH_RECORD,"blueprint/patient-account-and-communications-blueprint.md#Patient home contract; blueprint/patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; callback-and-clinician-messaging-loop.md; data/analysis/gateway_bff_surfaces.json#gws_patient_home; patient-account-and-communications-blueprint.md#Core projections; patient-account-and-communications-blueprint.md#Patient home contract; patient-account-and-communications-blueprint.md#Request detail contract; patient-account-and-communications-blueprint.md#Requests browsing contract; patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; patient-portal-experience-architecture-blueprint.md#Primary navigation model; phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; patient-portal-experience-architecture-blueprint.md#Primary navigation model; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE"
