signal_contract_id,source_domain,signal_family,signal_type,domain_object_scope,candidate_request_milestone,blocker_family_keys,confirmation_gate_participation,reopen_trigger_family,may_write_request_workflow_directly,may_write_request_closed_directly,required_lineage_epoch,consumption_mode,source_refs
LSC_077_TRIAGE_READY,triage,milestone,triage.ready,triage_task,triage_ready,,none,,no,no,yes,derive_milestone_only,"prompt/077.md; blueprint/phase-3-the-human-checkpoint.md"
LSC_077_TRIAGE_MORE_INFO_OPEN,triage,milestone,triage.more_info.open,triage_case,triage_active,fallback_review,none,,no,no,yes,materialize_blockers,"prompt/077.md; blueprint/phase-3-the-human-checkpoint.md"
LSC_077_TRIAGE_LEASE_BROKEN,triage,lease,triage.lease.broken,triage_task,triage_active,lease_conflict,none,,no,no,yes,materialize_blockers,"blueprint/phase-0-the-foundation-protocol.md#1.11 LineageFence; blueprint/phase-0-the-foundation-protocol.md#9.6 Closure evaluation algorithm"
LSC_077_BOOKING_CONFIRMATION_PENDING,booking,confirmation,booking.confirmation.pending,booking_case,handoff_active,confirmation_gate,opens,,no,no,yes,materialize_blockers,"prompt/077.md; blueprint/phase-4-the-booking-engine.md"
LSC_077_BOOKING_CONFIRMED,booking,terminal_outcome,booking.confirmed,booking_case,outcome_recorded,,clears,,no,no,yes,derive_milestone_only,"prompt/077.md; blueprint/phase-4-the-booking-engine.md"
LSC_077_HUB_RETURN_VISIBILITY_DEBT,hub,blocker,hub.return.visibility.debt,hub_case,handoff_active,approval_checkpoint;lineage_case_link_active,none,,no,no,yes,materialize_blockers,"prompt/077.md; blueprint/phase-5-the-network-horizon.md"
LSC_077_LINEAGE_CASE_ACTIVE,system,lineage_case,system.lineage.case_link.active,lineage_case_link,handoff_active,lineage_case_link_active,none,,no,no,yes,materialize_blockers,"prompt/077.md; docs/architecture/05_request_lineage_model.md"
LSC_077_PHARMACY_WEAK_MATCH,pharmacy,blocker,pharmacy.outcome.weak_match,pharmacy_case,handoff_active,outcome_reconciliation,none,,no,no,yes,materialize_blockers,"prompt/077.md; blueprint/phase-6-the-pharmacy-loop.md"
LSC_077_PHARMACY_BOUNCE_BACK,pharmacy,reopen,pharmacy.case.bounce_back,pharmacy_case,triage_active,reachability_dependency,none,pharmacy_unable_to_complete,no,no,yes,derive_governed_reopen,"prompt/077.md; blueprint/phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics"
LSC_077_CALLBACK_OUTCOME_RECORDED,callback,milestone,communication.callback.outcome.recorded,callback_case,handoff_active,reachability_dependency,none,,no,no,yes,derive_milestone_only,"prompt/077.md; blueprint/callback-and-clinician-messaging-loop.md"
LSC_077_MESSAGING_PATIENT_REPLY_LATE,messaging,reopen,patient.reply.late,message_thread,triage_active,,none,materially_new_evidence,no,no,yes,derive_governed_reopen,"prompt/077.md; blueprint/callback-and-clinician-messaging-loop.md"
LSC_077_SUPPORT_IDENTITY_REPAIR_OPEN,support,repair,identity.repair.open,identity_repair_case,triage_active,identity_repair,none,,no,no,yes,materialize_blockers,"prompt/077.md; blueprint/forensic-audit-findings.md#Finding 69"
LSC_077_SUPPORT_DUPLICATE_REVIEW_REQUIRED,support,repair,support.duplicate.review.required,duplicate_cluster,triage_active,duplicate_review,none,,no,no,yes,materialize_blockers,"prompt/077.md; blueprint/forensic-audit-findings.md#Finding 68"
LSC_077_SYSTEM_GRANT_PRESENT,system,grant,system.grant.present,access_grant,outcome_recorded,live_phi_grant,none,,no,no,yes,materialize_blockers,"prompt/077.md; blueprint/phase-0-the-foundation-protocol.md#9.6 Closure evaluation algorithm"
LSC_077_REACHABILITY_REPAIR_REQUIRED,callback,blocker,communication.reachability.repair.required,reachability_dependency,handoff_active,reachability_dependency,none,contact_dependency_failure,no,no,yes,materialize_blockers,"prompt/077.md; blueprint/callback-and-clinician-messaging-loop.md"
