golden_case_id,title,coverage_axis,expected_pathway_code,expected_final_disposition,expected_gate,forbid_behavior_drift
GC347_001_uti_positive,UTI_positive_named_pathway,named_pathway_positive,uncomplicated_uti_female_16_64,eligible_choice_pending,eligible,true
GC347_002_uti_age_fail_boundary,UTI_age_gate_fail,age_boundary_fail,,ineligible_returned,hard_failed,true
GC347_003_aom_upper_boundary_positive,AOM_upper_boundary_positive,upper_boundary_positive,acute_otitis_media_1_17,eligible_choice_pending,eligible,true
GC347_004_global_red_flag_block,Global_red_flag_block,global_block,,ineligible_returned,global_blocked,true
GC347_005_sinusitis_exclusion_failure,Sinusitis_exclusion_failure,pathway_exclusion,,ineligible_returned,hard_failed,true
GC347_006_contradiction_heavy_aom,Contradiction_heavy_AOM,contradiction_block,,ineligible_returned,hard_failed,true
GC347_007_incomplete_sore_throat,Incomplete_sore_throat,completeness_threshold,,ineligible_returned,hard_failed,true
GC347_008_minor_illness_fallback_valid,Minor_illness_fallback_valid,fallback_positive,,minor_illness_fallback,fallback_only,true
GC347_009_minor_illness_fallback_invalid_global,Minor_illness_fallback_invalid_global,fallback_global_barrier,,ineligible_returned,global_blocked,true
GC347_010_shingles_lower_boundary_positive,Shingles_lower_boundary_positive,lower_boundary_positive,shingles_18_plus,eligible_choice_pending,eligible,true
