caseId,trigger,replacementEpochRequired,stalePreviewDisposition,reasonClass
EVIDENCE_SNAPSHOT_DRIFT,evidence_snapshot_drift,true,recovery_only,evidence_delta
SAFETY_EPOCH_DRIFT,safety_epoch_drift,true,recovery_only,safety_delta
DUPLICATE_LINEAGE_DRIFT,duplicate_lineage_drift,true,recovery_only,duplicate_resolution
OWNERSHIP_EPOCH_DRIFT,ownership_epoch_drift,true,recovery_only,ownership_drift
REVIEW_VERSION_DRIFT,review_version_drift,true,recovery_only,evidence_delta
SELECTED_ANCHOR_DRIFT,selected_anchor_drift,true,recovery_only,policy_drift
TRUST_POSTURE_DRIFT,trust_posture_drift,true,recovery_only,trust_downgrade
PUBLICATION_TUPLE_DRIFT,publication_tuple_drift,true,recovery_only,publication_drift
APPROVAL_BURDEN_DRIFT,approval_burden_drift,true,recovery_only,approval_invalidation
MANUAL_REPLACEMENT,manual_replace,true,recovery_only,manual_replace
