capability_id,capability_family,frozen_source_contract,implementation_surface,proof_artifact,owner_task,proof_status,release_interpretation,blocking_gap
CAP372_01,pharmacy_candidate_and_pathway_eligibility_truth,data/contracts/342_phase6_case_state_machine.yaml,packages/domains/pharmacy/src/phase6-pharmacy-case-kernel.ts,data/test/369_suite_results.json,"342|346|347|369",proved,release_ready_local,none
CAP372_02,provider_choice_consent_checkpoint_and_disclosure,data/contracts/343_phase6_directory_choice_schema.json,packages/domains/pharmacy/src/phase6-pharmacy-choice-engine.ts,data/test/369_eligibility_and_provider_choice_cases.csv,"343|348|358|369",proved,release_ready_local,none
CAP372_03,package_dispatch_transport_and_degraded_confirmation,data/contracts/343_phase6_dispatch_schema.json,packages/domains/pharmacy/src/phase6-pharmacy-dispatch-engine.ts,data/test/369_dispatch_idempotency_and_proof_cases.csv,"343|349|350|366|369",proved_with_constraints,live_transport_onboarding_required,none
CAP372_04,reachability_repair_proof_deadlines_and_next_steps,data/contracts/344_phase6_patient_status_schema.json,packages/domains/pharmacy/src/phase6-pharmacy-patient-status-engine.ts,data/test/371_patient_status_and_return_state_cases.csv,"344|351|360|371",proved,release_ready_local,none
CAP372_05,outcome_reconciliation_thresholds_and_closure_truth,data/contracts/343_phase6_outcome_reconciliation_schema.json,packages/domains/pharmacy/src/phase6-pharmacy-outcome-engine.ts,data/test/369_outcome_reconciliation_cases.csv,"343|352|361|369",proved_with_constraints,live_update_record_certification_required,none
CAP372_06,bounce_back_urgent_return_no_contact_and_loop_prevention,data/contracts/344_phase6_bounce_back_schema.json,packages/domains/pharmacy/src/phase6-pharmacy-bounce-back-engine.ts,data/test/370_bounce_back_and_reopen_cases.csv,"344|353|362|370",proved,release_ready_local,none
CAP372_07,patient_status_practice_visibility_operations_and_provider_health,data/contracts/344_phase6_practice_visibility_schema.json,packages/domains/pharmacy/src/phase6-pharmacy-operations-engine.ts,data/test/370_practice_visibility_and_exception_queue_cases.csv,"344|354|363|370",proved,release_ready_local,none
CAP372_08,pharmacy_console_mission_frame_workbench_and_recovery,blueprint/pharmacy-console-frontend-architecture.md,apps/pharmacy-console/src/pharmacy-shell-seed.tsx,data/test/371_console_and_workbench_cases.csv,"355|356|363|364|371",proved,release_ready_local,none
CAP372_09,browser_accessibility_responsive_reduced_motion_and_content_quality,blueprint/accessibility-and-content-system-contract.md,packages/design-system/src/pharmacy-accessibility-micro-interactions.css,data/test/371_accessibility_and_reduced_motion_cases.csv,"365|371",proved_with_constraints,manual_assistive_and_device_lab_required,none
CAP372_10,telemetry_hazard_rollback_and_carry_forward_safety,blueprint/platform-runtime-and-release-blueprint.md,data/contracts/372_phase6_rollout_guardrail_pack.json,data/analysis/372_phase6_hazard_coverage_matrix.csv,"369|370|371|372",proved_with_constraints,live_rollback_and_nhs_app_assurance_required,none
