term_id,canonical_term,entry_type,object_id,resolution_class,bounded_context,object_kind,definition,do_not_confuse_with,source_refs,notes
ALIAS_ACCEPTED_FOR_PROCESSING_EQUALS_RESOLVED,accepted for processing equals resolved,alias,,not_an_object_phrase,,,"pharmacy calmness depends on dispatch proof, not transport acceptance alone",,TRUTH_DISPATCH_PROOF,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_ASSURANCEEVIDENCEGRAPHSNAPSHOT_PLUS_ASSURANCEGRAPHCOMPLETENESSVERDICT_ARE_AUTHORITATIVE_ASSURANCE_PROOF,AssuranceEvidenceGraphSnapshot plus AssuranceGraphCompletenessVerdict are authoritative assurance proof,alias,OBJ_ASSURANCEEVIDENCEGRAPHSNAPSHOT,ambiguous_phrase_requiring_context,,,AssuranceEvidenceGraphSnapshot plus AssuranceGraphCompletenessVerdict are authoritative assurance proof,OBJ_ASSURANCEEVIDENCEGRAPHSNAPSHOT; OBJ_ASSURANCEGRAPHCOMPLETENESSVERDICT,ASSURANCE_EVIDENCE_GRAPH,Preferred canonical wording.
ALIAS_ASSURANCESLICETRUSTRECORD_GOVERNS_DEGRADED_OR_QUARANTINED_OPERATIONAL_TRUTH,AssuranceSliceTrustRecord governs degraded or quarantined operational truth,alias,OBJ_ASSURANCESLICETRUSTRECORD,ambiguous_phrase_requiring_context,,,AssuranceSliceTrustRecord governs degraded or quarantined operational truth,OBJ_ASSURANCESLICETRUSTRECORD,RUNTIME_ASSURANCE_SLICE_TRUST,Preferred canonical wording.
ALIAS_BINARY_URGENT_STATE,binary urgent state,alias,OBJ_SAFETYDECISIONRECORD,ambiguous_phrase_requiring_context,,,Request.safetyState is a persisted orthogonal axis,OBJ_SAFETYDECISIONRECORD; OBJ_URGENTDIVERSIONSETTLEMENT; OBJ_REQUEST,STATE_SAFETY_AXIS,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_BLOCKERS_REMAIN_ORTHOGONAL_TO_WORKFLOW_MILESTONES,blockers remain orthogonal to workflow milestones,alias,OBJ_REQUESTCLOSURERECORD,ambiguous_phrase_requiring_context,,,blockers remain orthogonal to workflow milestones,OBJ_REQUESTCLOSURERECORD; OBJ_IDENTITYREPAIRCASE; OBJ_EXTERNALCONFIRMATIONGATE,STATE_BLOCKER_ORTHOGONALITY,Preferred canonical wording.
ALIAS_BOUNCE_BACK_REOPEN_AND_FALLBACK_STAY_INSIDE_THE_SAME_LINEAGE_WITH_EXPLICIT_RECOVERY_TRUTH,"bounce-back, reopen, and fallback stay inside the same lineage with explicit recovery truth",alias,,not_an_object_phrase,,,"bounce-back, reopen, and fallback stay inside the same lineage with explicit recovery truth",,TRUTH_REOPEN_AND_BOUNCE_BACK,Preferred canonical wording.
ALIAS_BROWSER_RETURN,browser return,alias,,not_an_object_phrase,,,same-shell recovery uses typed recovery and continuation envelopes,,MUTATION_RECOVERY_ENVELOPES,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_BUNDLE_HASH_ONLY_RELEASE_GATE,bundle hash only release gate,alias,OBJ_RELEASEAPPROVALFREEZE,ambiguous_phrase_requiring_context,,,ReleaseApprovalFreeze binds the promotable approval tuple,OBJ_RELEASEAPPROVALFREEZE,RUNTIME_RELEASE_APPROVAL_FREEZE,"Alias may appear in prose, but downstream work should normalize to the preferred term."
ALIAS_CHANNEL_PROFILES_CONSTRAIN_SHELL_POSTURE_WITHOUT_REDEFINING_THE_SHELL_FAMILY,channel profiles constrain shell posture without redefining the shell family,alias,,not_an_object_phrase,,,channel profiles constrain shell posture without redefining the shell family,,UI_CHANNEL_PROFILE_CONSTRAINTS,Preferred canonical wording.
ALIAS_CHANNELRELEASEFREEZERECORD_FENCES_MUTABLE_CHANNEL_POSTURE,ChannelReleaseFreezeRecord fences mutable channel posture,alias,OBJ_CHANNELRELEASEFREEZERECORD,ambiguous_phrase_requiring_context,,,ChannelReleaseFreezeRecord fences mutable channel posture,OBJ_CHANNELRELEASEFREEZERECORD,RUNTIME_CHANNEL_RELEASE_FREEZE,Preferred canonical wording.
