guardrail_id,metric,threshold,freeze_trigger,rollback_condition,release_condition,evidence_ref
397_GR_001,sample_size,minimum 25,none,false,green window can start only after sample minimum,ReleaseGuardrailPolicy:397:nhs-app-limited-release
397_GR_002,telemetry_present,must be true,telemetry_missing,false,telemetry present throughout fresh green window,ChannelTelemetryPlan:384:limited_release
397_GR_003,auth_failure_rate,max 0.02,threshold_breach,rate above 0.04,below threshold for P7D,TelemetryEventContract:384:auth-failure
397_GR_004,journey_error_rate,max 0.03,threshold_breach,rate above 0.06,below threshold for P7D,TelemetryEventContract:384:journey-error
397_GR_005,download_failure_rate,max 0.05,threshold_breach,rate above 0.10,below threshold for P7D,TelemetryEventContract:384:download-failure
397_GR_006,support_contact_rate,max 0.02,threshold_breach,rate above 0.04,below threshold for P7D,TelemetryEventContract:384:support-contact
397_GR_007,bridge_failure_rate,max 0.03,threshold_breach,rate above 0.06,below threshold for P7D,TelemetryEventContract:384:bridge-failure
397_GR_008,assurance_slice_state,must be current,assurance_slice_degraded,false,current assurance slice and operator note,AssuranceSliceTrust:397:accessibility
397_GR_009,compatibility_evidence_state,must be current,compatibility_drift,false,current compatibility evidence,CompatibilityEvidence:phase7-bridge-floor-freeze-374
397_GR_010,continuity_evidence_state,must be current,continuity_evidence_degraded,false,current continuity evidence,ContinuityEvidence:383:route-readiness-current
