booking_case_id,source,artifact_mode,confirmation_truth,artifact_exposure,parity_posture,grant_state,print_posture,handoff_readiness
booking_case_296_confirmed,confirm,receipt,confirmed,handoff_ready,verified,granted,ready,ready
booking_case_296_confirmed,confirm,calendar,confirmed,handoff_ready,verified,granted,ready,ready
booking_case_296_confirmed,confirm,print,confirmed,handoff_ready,verified,granted,ready,ready
booking_case_296_confirmed,confirm,directions,confirmed,handoff_ready,verified,granted,ready,ready
booking_case_296_confirmed,confirm,browser_handoff,confirmed,handoff_ready,verified,granted,ready,ready
booking_case_297_ready,manage,receipt,confirmed,handoff_ready,verified,granted,ready,ready
booking_case_297_ready,manage,print,confirmed,handoff_ready,verified,granted,ready,ready
booking_case_297_ready,manage,directions,confirmed,handoff_ready,verified,granted,ready,ready
booking_case_296_pending,confirm,receipt,confirmation_pending,summary_only,summary_only,summary_only,summary_only,summary_only
booking_case_296_pending,confirm,print,confirmation_pending,summary_only,summary_only,summary_only,summary_only,summary_only
booking_case_296_pending,confirm,browser_handoff,confirmation_pending,summary_only,summary_only,summary_only,summary_only,summary_only
booking_case_297_stale,manage,receipt,confirmed,summary_only,recovery_only,blocked,blocked,blocked
booking_case_297_stale,manage,print,confirmed,summary_only,recovery_only,blocked,blocked,blocked
booking_case_297_stale,manage,directions,confirmed,summary_only,recovery_only,blocked,blocked,blocked
booking_case_296_identity_repair,confirm,receipt,failed,hidden,recovery_only,blocked,blocked,blocked
booking_case_296_identity_repair,confirm,calendar,failed,hidden,recovery_only,blocked,blocked,blocked
booking_case_296_identity_repair,confirm,browser_handoff,failed,hidden,recovery_only,blocked,blocked,blocked
