dependency_id,dependency_name,dependency_type,baseline_scope,source_refs,linked_external_inventory_refs,linked_adapter_profile_refs,linked_standards_watch_refs,lifecycle_state,required_for_milestone_refs,required_for_gate_refs,blast_radius_scope,monitoring_signals,degradation_mode,fallback_strategy,owner_role,next_review_ref,notes
dep_alert_destination_binding,Alert-routing destination and on-call binding,runbook_dependency,current,"['data/analysis/architecture_gap_register.json#GAP_015_ALERT_DESTINATION_BINDING', 'data/analysis/incident_and_alert_routing_matrix.csv']",[],[],[],blocked,"['MS_P9_PROOF_AND_EXIT_PACK', 'MS_PRG_RELEASE_READINESS']","['GATE_RELEASE_READINESS', 'GATE_WAVE1_OBSERVATION']","incident escalation, watch tuple response, and continuity recovery","['Alert routes still use placeholder destination identifiers', 'role-to-rotation mapping is not yet tenant- or service-owner bound']",incident_response_relies_on_manual_broadcast,Use controlled manual escalation lists and freeze optimistic alert-coverage claims.,ROLE_OPERATIONS_LEAD,GATE_RELEASE_READINESS,Inherited open gap from seq_015 and seq_016.
dep_assurance_evidence_graph,Assurance evidence graph completeness engine,infra_component,current,"['data/analysis/regulatory_workstreams.json#WS_RELEASE_RUNTIME_PUBLICATION_PARITY', 'blueprint/phase-9-the-assurance-ledger.md#AssuranceGraphCompletenessVerdict']",[],[],[],current,"['MS_P9_PROOF_AND_EXIT_PACK', 'MS_PRG_CURRENT_BASELINE_CONFORMANCE']","['GATE_CURRENT_BASELINE_CONFORMANCE', 'GATE_BAU_TRANSFER']","all release, conformance, retention, and BAU evidence admissibility","['AssuranceGraphCompletenessVerdict remains admissible for the current candidate', 'Evidence export rows still point to the same graph hash']",approval_and_archive_actions_fail_closed,Stop signoff and archive operations until the graph is regenerated and complete.,ROLE_ASSURANCE_PLATFORM_LEAD,GATE_CURRENT_BASELINE_CONFORMANCE,
dep_cross_org_secure_messaging_mesh,Cross-organisation secure messaging rail including MESH,external_service,current,"['blueprint-init.md#1. Product definition', 'phase-5-the-network-horizon.md#Hub commit algorithm', 'phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract']",['dep_cross_org_secure_messaging_mesh'],['secure_message_transport_adapter'],[],onboarding,"['MS_EXT_MESH_ACCESS', 'MS_P5_DEFINITION_AND_ENTRY', 'MS_P5_PARALLEL_NETWORK_IMPLEMENTATION', 'MS_P5_MERGE_CONFIG_AND_PROOF', 'MS_P5_EXIT_GATE']","['GATE_EXTERNAL_TO_FOUNDATION', 'GATE_P5_PARALLEL_MERGE']",cross-organisation messaging and hub coordination,"['Current delivery evidence or other allowed proof class accepted by the live transport assurance profile for the exact outbound effect chain.', 'Transport accepted or checksum acknowledged', 'Mailbox queued or message handed off', 'Cross-organisation access approval before live mailbox use']",Delivery evidence still pending or disputed; Transport-only evidence without current-generation acknowledgement,Retry through the same idempotent effect chain; Monitored mailbox or telephone escalation where policy allows,ROLE_INTEROPERABILITY_LEAD,GATE_EXTERNAL_TO_FOUNDATION,"The rail may carry practice visibility or pharmacy payloads, but transport acceptance alone never settles either business truth."
dep_email_notification_provider,Email and notification delivery provider,external_service,current,"['callback-and-clinician-messaging-loop.md#Clinician message domain', 'phase-5-the-network-horizon.md#Reminder and communication publication', 'phase-0-the-foundation-protocol.md#Command and adapter effect ledger']",['dep_email_notification_provider'],['email_delivery_adapter'],[],onboarding,"['MS_EXT_COMMS_AND_SCAN_VENDORS', 'MS_P2_EXTERNAL_CONFIG']",[],"notification, secure-link, and patient reassurance posture","['Current MessageDeliveryEvidenceBundle or AdapterReceiptCheckpoint for the live CommunicationEnvelope and route tuple.', 'Provider accepted the send', 'SMTP or API returned queued state', 'Sender-domain verification and security review']","Delivery failed, disputed, expired, or suppressed; Message thread closed locally while delivery truth is still unresolved",Controlled resend under the same authoritative chain; Support repair or callback escalation,ROLE_INTEROPERABILITY_LEAD,MS_EXT_COMMS_AND_SCAN_VENDORS,Transport accepted is never equal to delivered; patient or staff calmness must wait for current delivery evidence or explicit fallback.
dep_gp_system_supplier_paths,Principal GP-system supplier integration paths,supplier_capability,current,"['phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam', 'phase-4-the-booking-engine.md#4C Slot search', 'phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation']",['dep_gp_system_supplier_paths'],['gp_supplier_adapter_family'],[],onboarding,"['MS_EXT_PROVIDER_PATHS_AND_EVIDENCE', 'MS_P4_DEFINITION_AND_ENTRY', 'MS_P4_PARALLEL_BOOKING_IMPLEMENTATION', 'MS_P4_MERGE_CONFIG_AND_PROOF', 'MS_P4_EXIT_GATE']",[],"booking, waitlist, and provider confirmation truth","['Current supplier binding and authoritative read or outcome observation path accepted for the same supplier, organisation, action scope, and transport assurance profile.', 'Supplier name matches a supported family', 'Static docs suggest support without current binding proof', 'Supplier sandbox and capability evidence review']",linkage_required or local_component_required capability states; Supplier-specific action support withdrawn or stale,Assisted-only handling or hub fallback; Simulator and contract-test path while supplier access remains incomplete,ROLE_INTEROPERABILITY_LEAD,MS_EXT_PROVIDER_PATHS_AND_EVIDENCE,This row captures live supplier paths; the separate IM1 pairing row captures the programme gates that must exist before these paths are usable.
dep_hsm_signing_key_provisioning,HSM-backed signing key provisioning seam,security_control,current,"['data/analysis/architecture_gap_register.json#GAP_015_HSM_SIGNING_KEY_PROVISIONING', 'data/analysis/security_control_matrix.csv']",[],[],[],blocked,"['MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE', 'MS_PRG_RELEASE_READINESS']",['GATE_RELEASE_READINESS'],"release signing, provenance, and emergency exception control","['HSM-backed signing key not yet bound to the chosen supply-chain path', 'release evidence still references placeholder signing material']",promotion_blocked_for_live_release,Keep non-production verification only and block live promotion until HSM provisioning is complete.,ROLE_SECURITY_LEAD,GATE_RELEASE_READINESS,Inherited open gap from seq_015 and seq_016.
dep_im1_pairing_programme,IM1 Pairing programme and prerequisite path,supplier_capability,current,"['phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam', 'phase-4-the-booking-engine.md#4E Commit path', 'blueprint-init.md#1. Product definition']",['dep_im1_pairing_programme'],['im1_pairing_governance_boundary'],[],onboarding,"['MS_EXT_IM1_SCAL_READINESS', 'MS_P0_0G_IM1_SCAL_ASSURANCE']","['GATE_EXTERNAL_TO_FOUNDATION', 'GATE_P0_LONG_LEAD_ASSURANCE_MERGE', 'GATE_P0_EXIT']","booking, waitlist, and provider confirmation truth","['Current pairing evidence pack showing the exact supplier, organisation, and environment have cleared the required IM1 stage for the targeted capability set.', 'Prerequisite forms submitted', 'Supplier conversation started', 'Commercial and assurance approval before live supplier access']",SCAL or model-interface prerequisites still pending; Supported-test or assurance incomplete for the selected supplier path,"Stay on simulator or supported-test path only; Keep the related route in assisted-only, recovery-only, or blocked posture",ROLE_INTEROPERABILITY_LEAD,GATE_EXTERNAL_TO_FOUNDATION,"IM1 remains baseline for local booking reach, but the corpus is explicit that it stays out of the Phase 2 identity critical path."
dep_local_booking_supplier_adapters,Local booking supplier adapter family,supplier_capability,current,"['phase-4-the-booking-engine.md#4C Slot search', 'phase-4-the-booking-engine.md#4E Commit path', 'phase-4-the-booking-engine.md#4F Manage flows']",['dep_local_booking_supplier_adapters'],['booking_provider_adapter_binding'],[],onboarding,"['MS_EXT_PROVIDER_PATHS_AND_EVIDENCE', 'MS_P4_DEFINITION_AND_ENTRY', 'MS_P4_PARALLEL_BOOKING_IMPLEMENTATION', 'MS_P4_MERGE_CONFIG_AND_PROOF', 'MS_P4_EXIT_GATE']","['GATE_P4_PARALLEL_MERGE', 'GATE_P4_EXIT']","booking, waitlist, and provider confirmation truth","['BookingConfirmationTruthProjection(confirmationTruthState = confirmed) backed by a durable provider reference or same-commit read-after-write proof for the same BookingTransaction.', 'Slot list rendered from a frozen snapshot', 'Local click acknowledgement', 'Supplier-selection scorecard and simulation evidence before live booking exposure']",confirmation_pending posture after async acceptance; supplier_reconciliation_pending due to disputed or stale supplier truth,"Stay in confirmation_pending with explicit truth posture; Route to waitlist, callback, or hub fallback under current policy",ROLE_INTEROPERABILITY_LEAD,GATE_P4_PARALLEL_MERGE,"No supplier queue acceptance, webhook arrival, or worker dequeue may be projected as booked truth."
dep_malware_scanning_provider,Malware and artifact scanning provider,external_service,current,"['phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review', 'phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence', 'forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed']",['dep_malware_scanning_provider'],['artifact_scanning_adapter'],[],onboarding,['MS_EXT_COMMS_AND_SCAN_VENDORS'],[],partner-facing capability and current-baseline delivery,"['Current artifact quarantine outcome showing the capture bundle or recording is safe, readable enough, or explicitly quarantined with governed next action.', 'Object stored successfully', 'Scan job started', 'Security review of scanner placement and quarantine policy']",Scan timed out or returned unsupported; File is quarantined or unreadable,FallbackReviewCase with same-lineage degraded receipt; Manual review or re-upload request,ROLE_INTEROPERABILITY_LEAD,MS_EXT_COMMS_AND_SCAN_VENDORS,"Private object storage is an internal platform surface; the external dependency here is the scanning service, not the storage bucket."
dep_network_capacity_partner_feeds,Network and hub partner capacity feeds,supplier_capability,current,"['phase-5-the-network-horizon.md#5C. Enhanced Access policy engine and network capacity ingestion', 'phase-5-the-network-horizon.md#Network coordination contract, case model, and state machine', 'phase-9-the-assurance-ledger.md#9B. Essential-functions health, queues, and assurance operations boards']",['dep_network_capacity_partner_feeds'],['network_capacity_ingestion_adapter'],[],onboarding,"['MS_P5_DEFINITION_AND_ENTRY', 'MS_P5_PARALLEL_NETWORK_IMPLEMENTATION', 'MS_P5_MERGE_CONFIG_AND_PROOF', 'MS_P5_EXIT_GATE']","['GATE_P5_PARALLEL_MERGE', 'GATE_P5_EXIT']","booking, waitlist, and provider confirmation truth","['Current CandidateSnapshot admitted as trusted_offerable by NetworkCoordinationPolicyEvaluation for the same policy tuple and source set.', 'Manual site list or stale spreadsheet', 'Partial supplier coverage without trust admission', 'Partner data-sharing and source-freshness review']",degraded_diagnostic_only or quarantined_hidden source posture; Snapshot expiry or stale source version,callback fallback or return_to_practice; read_only_provenance or callback_only recovery in the same shell,ROLE_INTEROPERABILITY_LEAD,GATE_P5_PARALLEL_MERGE,Network offers may not become patient-visible or closable while the current feed posture is degraded or quarantined.
