capability_family_id,evidence_kind,artifact_ref,task_ref,proof_basis,status,notes
trust_contract_and_capability_gates,implementation,data/analysis/170_capability_matrix.csv,seq_170;par_180,mixed,approved,"Trust tuples, capability ceilings, route intent, release freezes, and grant families are frozen before authenticated or continuation actions can mutate state."
trust_contract_and_capability_gates,implementation,data/analysis/180_route_decision_matrix.csv,seq_170;par_180,mixed,approved,"Trust tuples, capability ceilings, route intent, release freezes, and grant families are frozen before authenticated or continuation actions can mutate state."
trust_contract_and_capability_gates,implementation,data/analysis/180_scope_envelope_authorization_cases.json,seq_170;par_180,mixed,approved,"Trust tuples, capability ceilings, route intent, release freezes, and grant families are frozen before authenticated or continuation actions can mutate state."
trust_contract_and_capability_gates,automated_proof,tools/analysis/validate_phase2_trust_contracts.py,seq_170;par_180,mixed,approved,"Automated validator, service test, or Playwright proof for Trust contract and capability gates"
trust_contract_and_capability_gates,automated_proof,tools/analysis/validate_capability_decision_engine.py,seq_170;par_180,mixed,approved,"Automated validator, service test, or Playwright proof for Trust contract and capability gates"
trust_contract_and_capability_gates,suite_binding,prompt/204.md,seq_204,mixed,approved,Mandatory suite or owning prompt binding.
trust_contract_and_capability_gates,suite_binding,prompt/205.md,seq_205,mixed,approved,Mandatory suite or owning prompt binding.
auth_bridge_and_local_session_engine,implementation,data/analysis/171_callback_outcome_matrix.csv,seq_171;par_175;par_176;seq_204,mock_now,approved,"Auth callback consumption, state and nonce replay protection, local session establishment, rotation, expiry, logout, and same-shell recovery pass the Phase 2 suite."
auth_bridge_and_local_session_engine,implementation,data/analysis/176_session_rotation_matrix.csv,seq_171;par_175;par_176;seq_204,mock_now,approved,"Auth callback consumption, state and nonce replay protection, local session establishment, rotation, expiry, logout, and same-shell recovery pass the Phase 2 suite."
auth_bridge_and_local_session_engine,implementation,data/test/204_suite_results.json,seq_171;par_175;par_176;seq_204,mock_now,approved,"Auth callback consumption, state and nonce replay protection, local session establishment, rotation, expiry, logout, and same-shell recovery pass the Phase 2 suite."
auth_bridge_and_local_session_engine,automated_proof,services/command-api/tests/auth-bridge.integration.test.js,seq_171;par_175;par_176;seq_204,mock_now,approved,"Automated validator, service test, or Playwright proof for Auth bridge and local session engine"
auth_bridge_and_local_session_engine,automated_proof,services/command-api/tests/session-governor.integration.test.js,seq_171;par_175;par_176;seq_204,mock_now,approved,"Automated validator, service test, or Playwright proof for Auth bridge and local session engine"
auth_bridge_and_local_session_engine,automated_proof,tools/test/validate_phase2_auth_session_suite.py,seq_171;par_175;par_176;seq_204,mock_now,approved,"Automated validator, service test, or Playwright proof for Auth bridge and local session engine"
auth_bridge_and_local_session_engine,automated_proof,tests/playwright/204_auth_session_assurance_lab.spec.ts,seq_171;par_175;par_176;seq_204,mock_now,approved,"Automated validator, service test, or Playwright proof for Auth bridge and local session engine"
auth_bridge_and_local_session_engine,suite_binding,prompt/204.md,seq_204,mock_now,approved,Mandatory suite or owning prompt binding.
