dependencyCode,dependencyName,failureMode,failureModeClass,topologyFallbackMode,gatewayReadMode,browserMutationMode,projectionPublicationMode,integrationDispatchMode,assuranceTrustEffect,impactedWorkloadFamilyRefs,maximumEscalationFamilyRefs,alertThresholdRef,recoveryTriggerRef
dep_nhs_login_rail,NHS login authentication rail,callback_replay_or_authority_pending,callback_ambiguity,gateway_read_only,read_only,refuse,carry_forward,hold_current,slice_degraded,wf_command_orchestration;wf_projection_read_models;wf_integration_dispatch,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_NHS_LOGIN_RAIL_V1,RECOVERY_057_DEP_NHS_LOGIN_RAIL_V1
dep_pds_fhir_enrichment,Optional PDS enrichment seam,legal_basis_off_or_match_ambiguous,trust_revocation,gateway_read_only,read_only,refuse,carry_forward,hold_current,slice_degraded,wf_command_orchestration;wf_projection_read_models;wf_integration_dispatch,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_PDS_FHIR_ENRICHMENT_V1,RECOVERY_057_DEP_PDS_FHIR_ENRICHMENT_V1
dep_telephony_ivr_recording_provider,"Telephony, IVR, and call-recording provider",webhook_replay_or_recording_missing,callback_ambiguity,integration_queue_only,summary_only,recovery_only,carry_forward,queue_only,slice_degraded,wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_V1,RECOVERY_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_V1
dep_transcription_processing_provider,Transcript and derived-facts processing provider,extractor_timeout_or_conflicting_outputs,transport_loss,projection_stale,summary_only,recovery_only,projection_stale,hold_current,slice_degraded,wf_integration_dispatch;wf_projection_read_models,wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_TRANSCRIPTION_PROCESSING_PROVIDER_V1,RECOVERY_057_DEP_TRANSCRIPTION_PROCESSING_PROVIDER_V1
dep_sms_notification_provider,SMS delivery provider,delivery_disputed_or_recipient_unknown,callback_ambiguity,integration_queue_only,summary_only,recovery_only,carry_forward,queue_only,slice_degraded,wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_SMS_NOTIFICATION_PROVIDER_V1,RECOVERY_057_DEP_SMS_NOTIFICATION_PROVIDER_V1
dep_email_notification_provider,Email and notification delivery provider,delivery_disputed_or_recipient_unknown,callback_ambiguity,integration_queue_only,summary_only,recovery_only,carry_forward,queue_only,slice_degraded,wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_EMAIL_NOTIFICATION_PROVIDER_V1,RECOVERY_057_DEP_EMAIL_NOTIFICATION_PROVIDER_V1
dep_malware_scanning_provider,Malware and artifact scanning provider,scan_timeout_or_quarantine_required,transport_loss,projection_stale,summary_only,recovery_only,projection_stale,hold_current,slice_degraded,wf_integration_dispatch;wf_projection_read_models,wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_MALWARE_SCANNING_PROVIDER_V1,RECOVERY_057_DEP_MALWARE_SCANNING_PROVIDER_V1
dep_im1_pairing_programme,IM1 Pairing programme and prerequisite path,pairing_or_programme_gate_blocked,trust_revocation,command_halt,placeholder,refuse,carry_forward,halt_dispatch,slice_degraded,wf_command_orchestration;wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_IM1_PAIRING_PROGRAMME_V1,RECOVERY_057_DEP_IM1_PAIRING_PROGRAMME_V1
dep_gp_system_supplier_paths,Principal GP-system supplier integration paths,supplier_roster_or_capability_drift,semantic_contract_mismatch,command_halt,placeholder,refuse,carry_forward,halt_dispatch,slice_degraded,wf_command_orchestration;wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_GP_SYSTEM_SUPPLIER_PATHS_V1,RECOVERY_057_DEP_GP_SYSTEM_SUPPLIER_PATHS_V1
dep_local_booking_supplier_adapters,Local booking supplier adapter family,provider_commit_pending_or_hold_expired,accepted_pending_stall,command_halt,placeholder,refuse,carry_forward,halt_dispatch,slice_degraded,wf_command_orchestration;wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_LOCAL_BOOKING_SUPPLIER_ADAPTERS_V1,RECOVERY_057_DEP_LOCAL_BOOKING_SUPPLIER_ADAPTERS_V1
dep_network_capacity_partner_feeds,Network and hub partner capacity feeds,feed_stale_or_partial_capacity_snapshot,transport_loss,command_halt,placeholder,refuse,carry_forward,halt_dispatch,slice_degraded,wf_command_orchestration;wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_NETWORK_CAPACITY_PARTNER_FEEDS_V1,RECOVERY_057_DEP_NETWORK_CAPACITY_PARTNER_FEEDS_V1
dep_cross_org_secure_messaging_mesh,Cross-organisation secure messaging rail including MESH,ack_missing_or_duplicate_delivery,callback_ambiguity,integration_queue_only,summary_only,recovery_only,carry_forward,queue_only,slice_degraded,wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_CROSS_ORG_SECURE_MESSAGING_MESH_V1,RECOVERY_057_DEP_CROSS_ORG_SECURE_MESSAGING_MESH_V1
dep_origin_practice_ack_rail,Origin-practice acknowledgement rail,acknowledgement_missing_or_scope_drift,accepted_pending_stall,integration_queue_only,summary_only,recovery_only,carry_forward,queue_only,slice_degraded,wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_ORIGIN_PRACTICE_ACK_RAIL_V1,RECOVERY_057_DEP_ORIGIN_PRACTICE_ACK_RAIL_V1
dep_pharmacy_directory_dohs,Pharmacy directory and discovery dependency,directory_tuple_drift_or_no_safe_provider,semantic_contract_mismatch,command_halt,placeholder,refuse,carry_forward,halt_dispatch,slice_degraded,wf_command_orchestration;wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_PHARMACY_DIRECTORY_DOHS_V1,RECOVERY_057_DEP_PHARMACY_DIRECTORY_DOHS_V1
dep_pharmacy_referral_transport,Pharmacy referral transport dependency,transport_timeout_or_acceptance_without_settlement,transport_loss,command_halt,placeholder,refuse,carry_forward,halt_dispatch,slice_degraded,wf_command_orchestration;wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_PHARMACY_REFERRAL_TRANSPORT_V1,RECOVERY_057_DEP_PHARMACY_REFERRAL_TRANSPORT_V1
dep_pharmacy_outcome_observation,Pharmacy outcome observation and reconciliation path,outcome_delayed_or_disputed,accepted_pending_stall,command_halt,placeholder,refuse,carry_forward,halt_dispatch,slice_degraded,wf_command_orchestration;wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_PHARMACY_OUTCOME_OBSERVATION_V1,RECOVERY_057_DEP_PHARMACY_OUTCOME_OBSERVATION_V1
dep_pharmacy_urgent_return_professional_routes,Pharmacy urgent-return and professional-contact routes,urgent_return_required_or_contact_route_disputed,trust_revocation,command_halt,placeholder,refuse,carry_forward,halt_dispatch,slice_degraded,wf_command_orchestration;wf_integration_dispatch;wf_projection_read_models,wf_command_orchestration;wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_PHARMACY_URGENT_RETURN_PROFESSIONAL_ROUTES_V1,RECOVERY_057_DEP_PHARMACY_URGENT_RETURN_PROFESSIONAL_ROUTES_V1
dep_nhs_app_embedded_channel_ecosystem,NHS App embedded-channel ecosystem,site_link_drift_or_embedded_callback_mismatch,semantic_contract_mismatch,gateway_read_only,read_only,refuse,carry_forward,hold_current,slice_degraded,wf_command_orchestration;wf_projection_read_models;wf_integration_dispatch,wf_projection_read_models;wf_assurance_security_control,ALERT_057_DEP_NHS_APP_EMBEDDED_CHANNEL_ECOSYSTEM_V1,RECOVERY_057_DEP_NHS_APP_EMBEDDED_CHANNEL_ECOSYSTEM_V1
dep_assistive_model_vendor_family,Assistive model vendor and subprocessor family,vendor_drift_or_assurance_quarantine,trust_revocation,local_placeholder,placeholder,recovery_only,carry_forward,halt_dispatch,slice_quarantined,wf_assurance_security_control;wf_integration_dispatch,wf_assurance_security_control,ALERT_057_DEP_ASSISTIVE_MODEL_VENDOR_FAMILY_V1,RECOVERY_057_DEP_ASSISTIVE_MODEL_VENDOR_FAMILY_V1
