codeowners_row_id,path,owner_domain_id,owner_domain_name,review_handle,package_tag_class,bounded_context_ref,primary_language,workspace_status,approval_policy,protected_entrypoints,source_refs
CO_APP_PATIENT_WEB,apps/patient-web,own_patient_experience,Patient Experience,@vecells/patient-experience,app_shell,patient_experience,TypeScript,baseline_required,mandatory_owner_review,src/main.tsx; src/routes/index.ts; src/shell/index.ts,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; platform-frontend-blueprint.md#Patient shell; 04_audience_surface_inventory.md
CO_APP_CLINICAL_WORKSPACE,apps/clinical-workspace,own_clinical_workspace,Clinical Workspace,@vecells/clinical-workspace,app_shell,triage_human_checkpoint,TypeScript,baseline_required,mandatory_owner_review,src/main.tsx; src/workspace/index.ts; src/routes/index.ts,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; platform-frontend-blueprint.md#Clinical workspace shell; 04_audience_surface_inventory.md
CO_APP_HUB_DESK,apps/hub-desk,own_booking_network,Booking And Network,@vecells/booking-network,app_shell,hub_coordination,TypeScript,baseline_required,mandatory_owner_review,src/main.tsx; src/hub/index.ts; src/routes/index.ts,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; staff-operations-and-support-blueprint.md#Hub work; 04_audience_surface_inventory.md
CO_APP_PHARMACY_CONSOLE,apps/pharmacy-console,own_pharmacy,Pharmacy,@vecells/pharmacy,app_shell,pharmacy,TypeScript,baseline_required,mandatory_owner_review,src/main.tsx; src/pharmacy/index.ts; src/routes/index.ts,pharmacy-console-frontend-architecture.md; 04_audience_surface_inventory.md
CO_APP_SUPPORT_CONSOLE,apps/support-console,own_support_operations,Support Operations,@vecells/support-operations,app_shell,staff_support_operations,TypeScript,baseline_required,mandatory_owner_review,src/main.tsx; src/support/index.ts; src/routes/index.ts,staff-operations-and-support-blueprint.md#Support workspace; 04_audience_surface_inventory.md
CO_APP_OPS_CONSOLE,apps/ops-console,own_operations_control,Operations Control,@vecells/operations-control,app_shell,runtime_release,TypeScript,baseline_required,mandatory_owner_review,src/main.tsx; src/ops/index.ts; src/routes/index.ts,operations-console-frontend-blueprint.md; 04_audience_surface_inventory.md
CO_APP_GOVERNANCE_ADMIN,apps/governance-admin,own_governance_assurance,Governance And Assurance,@vecells/governance-assurance,app_shell,assurance_and_governance,TypeScript,baseline_required,mandatory_owner_review,src/main.tsx; src/governance/index.ts; src/routes/index.ts,governance-admin-console-frontend-blueprint.md; 04_audience_surface_inventory.md
CO_APP_ASSISTIVE_CONTROL,apps/assistive-control,own_governance_assurance,Governance And Assurance,@vecells/governance-assurance,app_shell,assistive,TypeScript,conditional_future_optional,mandatory_owner_review,src/main.tsx; src/replay/index.ts; src/routes/index.ts,platform-frontend-blueprint.md#Assistive control shell; 03_deferred_and_conditional_scope.md; 04_surface_conflict_and_gap_report.md
CO_SVC_API_GATEWAY,services/api-gateway,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,service_gateway,foundation_runtime_experience,TypeScript,baseline_required,mandatory_owner_review,src/main.ts; src/http/index.ts; src/live/index.ts,phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture; platform-runtime-and-release-blueprint.md#Frontend and backend integration contract
CO_SVC_COMMAND_API,services/command-api,own_platform_runtime,Platform Runtime,@vecells/platform-runtime,service_runtime,foundation_control_plane,TypeScript,baseline_required,mandatory_owner_review,src/main.ts; src/commands/index.ts; src/settlement/index.ts,phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine; platform-runtime-and-release-blueprint.md#MutationCommandContract
