provider_family,provider_family_title,dimension_id,dimension_title,dimension_class,weight_mock_now,weight_actual_later,weight_delta_actual_minus_mock,same_weight_flag,minimum_bar_mock_now,minimum_bar_actual_later,lane_priority,baseline_role,recommended_lane
identity_auth,Identity / Authentication,contract_shape,Capability And Tuple Coverage,capability,11,11,0,true,4,4,shared_weight,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,authoritative_truth,Authoritative Truth Separation,proof_truth,12,12,0,true,5,5,shared_weight,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,ambiguity_handling,Ambiguity And Partial Failure Semantics,ambiguity_handling,12,12,0,true,5,5,shared_weight,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,security_replay,"Security, Authentication, And Replay Control",security,12,12,0,true,5,5,shared_weight,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,privacy_residency,"Privacy, Residency, And Subprocessor Transparency",privacy,7,9,2,false,3,4,actual_later_heavier,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,healthcare_compliance,UK Healthcare Compliance And Assurance Readiness,compliance,8,11,3,false,3,5,actual_later_heavier,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,onboarding_and_sponsorship,Onboarding Friction And Sponsor Burden,onboarding_friction,5,11,6,false,2,4,actual_later_heavier,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,sandbox_depth,Sandbox Depth And Environment Isolation,sandbox_quality,12,8,-4,false,5,4,mock_now_heavier,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,test_data_fidelity,Test Data And Synthetic Fixture Quality,test_data_quality,10,8,-2,false,4,4,mock_now_heavier,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,observability_and_audit,"Observability, Audit, And Replay Support",observability,9,9,0,true,3,4,shared_weight,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,operational_support,Operational Support And Incident Handling,operational_support,7,9,2,false,3,4,actual_later_heavier,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,commercial_and_lock_in,Cost Governance And Lock-In Control,cost_governance,3,6,3,false,2,3,actual_later_heavier,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,portability_and_exit,Portability And Adapter Exit Posture,portability,6,8,2,false,3,4,actual_later_heavier,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,degraded_mode_resilience,Resilience And Degraded-Mode Compatibility,resilience,10,10,0,true,4,4,shared_weight,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,experience_and_brand_constraints,UI / Brand / Interaction Constraints,ui_brand_constraints,9,9,0,true,4,5,shared_weight,baseline_required,hybrid_mock_then_live
identity_auth,Identity / Authentication,simulator_fidelity,Simulator Fidelity And State Coverage,mock_fidelity,12,5,-7,false,5,3,mock_now_heavier,baseline_required,hybrid_mock_then_live
telephony_voice_and_recording,Telephony / IVR / Recording,contract_shape,Capability And Tuple Coverage,capability,11,10,-1,false,4,4,mock_now_heavier,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,authoritative_truth,Authoritative Truth Separation,proof_truth,12,12,0,true,5,5,shared_weight,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,ambiguity_handling,Ambiguity And Partial Failure Semantics,ambiguity_handling,12,12,0,true,5,5,shared_weight,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,security_replay,"Security, Authentication, And Replay Control",security,9,10,1,false,4,4,actual_later_heavier,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,privacy_residency,"Privacy, Residency, And Subprocessor Transparency",privacy,9,10,1,false,4,5,actual_later_heavier,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,healthcare_compliance,UK Healthcare Compliance And Assurance Readiness,compliance,8,10,2,false,4,5,actual_later_heavier,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,onboarding_and_sponsorship,Onboarding Friction And Sponsor Burden,onboarding_friction,4,9,5,false,2,3,actual_later_heavier,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,sandbox_depth,Sandbox Depth And Environment Isolation,sandbox_quality,12,8,-4,false,5,4,mock_now_heavier,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,test_data_fidelity,Test Data And Synthetic Fixture Quality,test_data_quality,11,8,-3,false,4,4,mock_now_heavier,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,observability_and_audit,"Observability, Audit, And Replay Support",observability,10,10,0,true,3,5,shared_weight,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,operational_support,Operational Support And Incident Handling,operational_support,9,9,0,true,4,4,shared_weight,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,commercial_and_lock_in,Cost Governance And Lock-In Control,cost_governance,3,6,3,false,2,3,actual_later_heavier,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,portability_and_exit,Portability And Adapter Exit Posture,portability,6,8,2,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,degraded_mode_resilience,Resilience And Degraded-Mode Compatibility,resilience,11,11,0,true,5,5,shared_weight,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,experience_and_brand_constraints,UI / Brand / Interaction Constraints,ui_brand_constraints,5,6,1,false,3,3,actual_later_heavier,baseline_mock_required,mock_now
telephony_voice_and_recording,Telephony / IVR / Recording,simulator_fidelity,Simulator Fidelity And State Coverage,mock_fidelity,12,5,-7,false,5,3,mock_now_heavier,baseline_mock_required,mock_now
notifications_sms,Notifications / SMS,contract_shape,Capability And Tuple Coverage,capability,10,10,0,true,4,4,shared_weight,optional_flagged,actual_later
notifications_sms,Notifications / SMS,authoritative_truth,Authoritative Truth Separation,proof_truth,11,11,0,true,5,5,shared_weight,optional_flagged,actual_later
notifications_sms,Notifications / SMS,ambiguity_handling,Ambiguity And Partial Failure Semantics,ambiguity_handling,11,10,-1,false,5,5,mock_now_heavier,optional_flagged,actual_later
notifications_sms,Notifications / SMS,security_replay,"Security, Authentication, And Replay Control",security,9,10,1,false,4,4,actual_later_heavier,optional_flagged,actual_later
notifications_sms,Notifications / SMS,privacy_residency,"Privacy, Residency, And Subprocessor Transparency",privacy,7,9,2,false,3,4,actual_later_heavier,optional_flagged,actual_later
notifications_sms,Notifications / SMS,healthcare_compliance,UK Healthcare Compliance And Assurance Readiness,compliance,6,10,4,false,3,4,actual_later_heavier,optional_flagged,actual_later
notifications_sms,Notifications / SMS,onboarding_and_sponsorship,Onboarding Friction And Sponsor Burden,onboarding_friction,4,7,3,false,2,3,actual_later_heavier,optional_flagged,actual_later
notifications_sms,Notifications / SMS,sandbox_depth,Sandbox Depth And Environment Isolation,sandbox_quality,10,7,-3,false,5,4,mock_now_heavier,optional_flagged,actual_later
notifications_sms,Notifications / SMS,test_data_fidelity,Test Data And Synthetic Fixture Quality,test_data_quality,9,7,-2,false,4,4,mock_now_heavier,optional_flagged,actual_later
notifications_sms,Notifications / SMS,observability_and_audit,"Observability, Audit, And Replay Support",observability,8,9,1,false,3,4,actual_later_heavier,optional_flagged,actual_later
notifications_sms,Notifications / SMS,operational_support,Operational Support And Incident Handling,operational_support,7,9,2,false,3,4,actual_later_heavier,optional_flagged,actual_later
notifications_sms,Notifications / SMS,commercial_and_lock_in,Cost Governance And Lock-In Control,cost_governance,4,7,3,false,2,3,actual_later_heavier,optional_flagged,actual_later
notifications_sms,Notifications / SMS,portability_and_exit,Portability And Adapter Exit Posture,portability,6,8,2,false,3,4,actual_later_heavier,optional_flagged,actual_later
notifications_sms,Notifications / SMS,degraded_mode_resilience,Resilience And Degraded-Mode Compatibility,resilience,9,10,1,false,4,4,actual_later_heavier,optional_flagged,actual_later
notifications_sms,Notifications / SMS,experience_and_brand_constraints,UI / Brand / Interaction Constraints,ui_brand_constraints,7,7,0,true,4,4,shared_weight,optional_flagged,actual_later
notifications_sms,Notifications / SMS,simulator_fidelity,Simulator Fidelity And State Coverage,mock_fidelity,11,4,-7,false,5,3,mock_now_heavier,optional_flagged,actual_later
notifications_email,Notifications / Email,contract_shape,Capability And Tuple Coverage,capability,10,10,0,true,4,4,shared_weight,baseline_mock_required,mock_now
notifications_email,Notifications / Email,authoritative_truth,Authoritative Truth Separation,proof_truth,11,11,0,true,5,5,shared_weight,baseline_mock_required,mock_now
notifications_email,Notifications / Email,ambiguity_handling,Ambiguity And Partial Failure Semantics,ambiguity_handling,11,10,-1,false,5,5,mock_now_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,security_replay,"Security, Authentication, And Replay Control",security,9,10,1,false,4,4,actual_later_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,privacy_residency,"Privacy, Residency, And Subprocessor Transparency",privacy,7,9,2,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,healthcare_compliance,UK Healthcare Compliance And Assurance Readiness,compliance,6,10,4,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,onboarding_and_sponsorship,Onboarding Friction And Sponsor Burden,onboarding_friction,4,9,5,false,2,3,actual_later_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,sandbox_depth,Sandbox Depth And Environment Isolation,sandbox_quality,10,7,-3,false,5,4,mock_now_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,test_data_fidelity,Test Data And Synthetic Fixture Quality,test_data_quality,9,7,-2,false,4,4,mock_now_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,observability_and_audit,"Observability, Audit, And Replay Support",observability,8,9,1,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,operational_support,Operational Support And Incident Handling,operational_support,7,9,2,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,commercial_and_lock_in,Cost Governance And Lock-In Control,cost_governance,3,6,3,false,2,3,actual_later_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,portability_and_exit,Portability And Adapter Exit Posture,portability,6,8,2,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,degraded_mode_resilience,Resilience And Degraded-Mode Compatibility,resilience,9,10,1,false,4,4,actual_later_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,experience_and_brand_constraints,UI / Brand / Interaction Constraints,ui_brand_constraints,8,7,-1,false,4,4,mock_now_heavier,baseline_mock_required,mock_now
notifications_email,Notifications / Email,simulator_fidelity,Simulator Fidelity And State Coverage,mock_fidelity,11,4,-7,false,5,3,mock_now_heavier,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,contract_shape,Capability And Tuple Coverage,capability,12,12,0,true,5,5,shared_weight,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,authoritative_truth,Authoritative Truth Separation,proof_truth,12,12,0,true,5,5,shared_weight,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,ambiguity_handling,Ambiguity And Partial Failure Semantics,ambiguity_handling,11,11,0,true,5,5,shared_weight,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,security_replay,"Security, Authentication, And Replay Control",security,9,10,1,false,4,4,actual_later_heavier,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,privacy_residency,"Privacy, Residency, And Subprocessor Transparency",privacy,7,9,2,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,healthcare_compliance,UK Healthcare Compliance And Assurance Readiness,compliance,8,11,3,false,3,5,actual_later_heavier,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,onboarding_and_sponsorship,Onboarding Friction And Sponsor Burden,onboarding_friction,5,12,7,false,2,4,actual_later_heavier,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,sandbox_depth,Sandbox Depth And Environment Isolation,sandbox_quality,12,8,-4,false,5,4,mock_now_heavier,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,test_data_fidelity,Test Data And Synthetic Fixture Quality,test_data_quality,11,9,-2,false,4,5,mock_now_heavier,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,observability_and_audit,"Observability, Audit, And Replay Support",observability,9,10,1,false,3,5,actual_later_heavier,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,operational_support,Operational Support And Incident Handling,operational_support,8,9,1,false,3,4,actual_later_heavier,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,commercial_and_lock_in,Cost Governance And Lock-In Control,cost_governance,3,6,3,false,2,3,actual_later_heavier,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,portability_and_exit,Portability And Adapter Exit Posture,portability,8,9,1,false,3,5,actual_later_heavier,baseline_mock_required,mock_now
gp_im1_and_booking_supplier,GP / IM1 / Booking Supplier,degraded_mode_resilience,Resilience And Degraded-Mode Compatibility,resilience,11,11,0,true,5,5,shared_weight,baseline_mock_required,mock_now
