mapping_id,framework_code,workstream_id,control_code,control_summary,required_evidence_artifacts,source_phase_refs,source_object_refs,release_gates,operational_gates,baseline_scope,mapping_state,source_refs,notes
CM_DCB0129_INCREMENTAL_GATE,FW_DCB0129,WS_CLINICAL_MANUFACTURER,DCB0129_INCREMENTAL_GATE,"Every material change to red-flag rules, evidence assimilation, or urgent handling updates the hazard log, safety case, and sprint-time evidence incrementally.",HazardLog delta packet; SafetyCase delta packet; Rule-pack regression evidence,phase_1_red_flag_gate; phase_2_identity_and_echoes,SafetyDecisionRecord; UrgentDiversionSettlement; SafetyPreemptionRecord,release_candidate_safety_gate,post_incident_capa_followup,baseline_required,active,"phase-1-the-red-flag-gate.md#Safety engine and red-flag logic; phase-1-the-red-flag-gate.md#5A. Hardening, metrics, and launch readiness",This explicitly closes the final-stage-safety gap.
CM_DCB0129_CROSS_CHANNEL_RESAFETY,FW_DCB0129,WS_CLINICAL_MANUFACTURER,DCB0129_CROSS_CHANNEL_RESAFETY,"Late detail, phone continuation, duplicate review, booking ambiguity, and pharmacy outcome drift all route back through canonical re-safety before calm routine flow resumes.",MaterialDeltaAssessment record; SafetyPreemptionRecord; SafetyDecisionRecord evidence,phase_2_identity_and_echoes; phase_4_booking_engine; phase_6_pharmacy_loop,MaterialDeltaAssessment; EvidenceAssimilationRecord; BookingConfirmationTruthProjection; PharmacyOutcomeRecord,cross_channel_safety_regression,safety_epoch_monitoring,baseline_required,active,phase-2-identity-and-echoes.md#2G. Convergence into one request model and one workflow; forensic-audit-findings.md#Finding 79 - weak-source matching did not clearly stop at a case-local review state,"Safety proof remains authoritative across web, phone, pharmacy, and later assistive paths."
CM_DCB0160_LIVE_DEPLOYMENT,FW_DCB0160,WS_CLINICAL_DEPLOYMENT_USE,DCB0160_DEPLOYMENT_MONITORING,"Deployment-side safety evidence must bind live configuration, local session ownership, telephony readiness, and post-release monitoring to the release tuple.",DeploymentSafetyCase annex; Operational safety monitoring pack; Rollback rehearsal evidence,phase_2_identity_and_echoes; phase_9_assurance_ledger,OperationalReadinessSnapshot; WaveGuardrailSnapshot,go_live_safety_gate; canary_widen_gate,incident_followup_gate,baseline_required,active,"phase-2-identity-and-echoes.md#2H. Hardening, safety evidence, and the formal Phase 2 exit gate; phase-9-the-assurance-ledger.md#What Phase 9 must prove before the core blueprint is considered complete",Deployment/use safety is separate from manufacturer signoff.
CM_GDPR_DPIA_AND_MINIMISATION,FW_GDPR,WS_DATA_PROTECTION_PRIVACY,GDPR_DPIA_MINIMISATION,"Identity, embedded, notification, telemetry, and assistive deltas must route through DPIA, disclosure maps, and minimum-necessary engineering proof.",DPIA packet; Data-flow map; Telemetry disclosure review,phase_2_identity_and_echoes; phase_7_inside_the_nhs_app; phase_8_assistive_layer,IdentityEvidenceEnvelope; UITelemetryDisclosureFence; InvestigationScopeEnvelope,privacy_gate,subprocessor_freshness_review,baseline_required,active,phase-2-identity-and-echoes.md#High-priority trust gaps in this layer; phase-7-inside-the-nhs-app.md#NHS App channel priorities; phase-8-the-assistive-layer.md#Working scope,Privacy evidence is attached to real engineering surfaces and artifacts.
CM_PECR_CONTACT_AND_MESSAGE_GOVERNANCE,FW_PECR,WS_DATA_PROTECTION_PRIVACY,PECR_CHANNEL_AND_CONSENT_CONTROL,"Contact provenance, message route, and controlled resend or repair posture remain governed and auditable rather than inferred from transport acceptance.",Consent and contact-route evidence; Notification repair policy evidence,phase_1_red_flag_gate; phase_2_identity_and_echoes,ContactRouteSnapshot; ReachabilityAssessmentRecord; AdapterReceiptCheckpoint,channel_policy_gate,delivery_repair_review,baseline_required,active,"phase-1-the-red-flag-gate.md#3F. Submission, receipt, and graceful fallback; phase-2-identity-and-echoes.md#Rule 2: contact provenance matters",Delivery rail truth and privacy proof are related but not interchangeable.
CM_DTAC_TECHNICAL_SECURITY,FW_DTAC,WS_TECHNICAL_SECURITY_ASSURANCE,DTAC_TECHNICAL_SECURITY_PROOF,"Trust zones, service identities, service boundaries, secrets posture, and vendor freshness must publish as current evidence for the active runtime tuple.",Threat model delta; RuntimeTopologyManifest; Vendor assurance freshness record,phase_0_foundation; phase_9_assurance_ledger,RuntimeTopologyManifest; TrustZoneBoundary; AssuranceSliceTrustRecord,security_gate; runtime_tuple_gate,assurance_slice_freshness_gate,baseline_required,active,platform-runtime-and-release-blueprint.md#Runtime topology contract; phase-9-the-assurance-ledger.md#Working scope,"Refreshed DTAC guidance is carried as source metadata, not assumed away."
CM_DSPT_RESPONSE_AND_RECOVERY,FW_DSPT,WS_OPERATIONAL_RESILIENCE_RESTORE,DSPT_RESPONSE_RECOVERY_PROOF,"Restore, failover, dependency ordering, and incident-response proof must be rehearsed against the current runtime tuple and essential-function set.",RecoveryEvidencePack; RestoreRun report; OperationalReadinessSnapshot,phase_9_assurance_ledger,RecoveryEvidenceArtifact; OperationalReadinessSnapshot; RunbookBundle,pre_canary_readiness_gate; widen_resume_gate,rehearsal_freshness_gate,baseline_required,active,phase-9-the-assurance-ledger.md#Phase 9 implementation rules; platform-runtime-and-release-blueprint.md#Operational readiness and resilience,"Restore evidence is evidence, not preference."
CM_DTAC_INTEROPERABILITY,FW_DTAC,WS_INTEROPERABILITY_EVIDENCE,DTAC_INTEROP_PROOF_CHAIN,"Adapters and partner channels must prove authoritative success semantics, proof-versus-transport discipline, and supplier capability freshness.",AdapterContractProfile evidence set; Interop conformance matrix; Proof-versus-transport reconciliation pack,phase_4_booking_engine; phase_5_network_horizon; phase_6_pharmacy_loop,ExternalConfirmationGate; PharmacyDispatchAttempt; HubOfferToConfirmationTruthProjection,interop_gate,supplier_capability_review,baseline_required,active,phase-6-the-pharmacy-loop.md; phase-5-the-network-horizon.md; forensic-audit-findings.md#Finding 74 - Phase 4 let booking-domain logic write canonical request state directly,This control closes the false-transport-success gap across external rails.
CM_NHS_LOGIN_ONBOARDING,FW_NHS_LOGIN_ONBOARDING,WS_PARTNER_ONBOARDING_EVIDENCE,NHS_LOGIN_PARTNER_PACK,"Redirect inventories, scopes, subject-binding proof, and local-session ownership evidence must stay attached to the live NHS login partner pack.",NHS login partner onboarding pack; Redirect and scope inventory; Environment parity evidence,phase_2_identity_and_echoes,Session; SessionEstablishmentRecord; IdentityBinding,partner_readiness_gate,redirect_parity_review,partner_specific,active,"phase-2-identity-and-echoes.md#Rule 1: never collapse identity into a boolean; blueprint-init.md#10. Identity, consent, security, and policy","NHS login evidence is engineering evidence, not procurement admin."
CM_IM1_MATERIAL_CHANGE_RFC,FW_IM1_PAIRING_AND_RFC,WS_PARTNER_ONBOARDING_EVIDENCE,IM1_RFC_MATERIAL_CHANGE,AI-containing or materially expanded products route through IM1 pairing evidence refresh and formal RFC rather than informal release notes.,IM1 pairing dossier; RFC bundle; Updated safety and privacy attachments,phase_8_assistive_layer,RFCBundle; AssistiveReleaseCandidate,partner_material_change_gate,supplier_refresh_review,partner_specific,active,phase-8-the-assistive-layer.md#Working scope; blueprint-init.md#9. AI and automation,"IM1 remains partner-specific, not a blanket baseline blocker."
CM_WCAG_ROUTE_COVERAGE,FW_WCAG_22_AA,WS_ACCESSIBILITY_CONTENT_SERVICE_STANDARD,WCAG_ROUTE_SEMANTIC_COVERAGE,"Every route family publishes current semantic coverage, repair grammar, visualization parity, and reduced-motion equivalence before it may remain calm and interactive.",AccessibilitySemanticCoverageProfile set; Accessibility audit pack; Visualization parity evidence,phase_1_red_flag_gate; phase_7_inside_the_nhs_app,AccessibilitySemanticCoverageProfile; VisualizationParityProjection,accessibility_gate,route_semantic_drift_review,baseline_required,active,"phase-1-the-red-flag-gate.md#3B. The web experience, not a form dump; accessibility-and-content-system-contract.md#Route-family semantic coverage","Accessibility is enforced against real routes and surfaces, not generic intent."
CM_SERVICE_STANDARD_CONTENT,FW_NHS_SERVICE_STANDARD,WS_ACCESSIBILITY_CONTENT_SERVICE_STANDARD,SERVICE_STANDARD_AND_CONTENT_EVIDENCE,"Content clarity, health literacy, same-shell recovery wording, and mobile embedded usability remain part of release evidence.",Content QA pack; Service-standard evidence pack,phase_1_red_flag_gate; phase_7_inside_the_nhs_app,AssistiveAnnouncementContract; TimeoutRecoveryContract,content_and_service_gate,copy_change_review,baseline_required,active,"phase-1-the-red-flag-gate.md#3F. Submission, receipt, and graceful fallback; phase-7-inside-the-nhs-app.md#7G. Accessibility, service-standard, and mobile embedded UX hardening",Accessibility/content is treated as architectural and assured delivery work.
