case,runOrSettlementRef,result,blocker
clean_restore,rr_445_5a548b2d74cb0f58,succeeded,ras_445_0b6a9442e67f4e9d
dependency_blocked,rr_445_ade11e18629ebaa0,failed,blocked
journey_pending,rr_445_d32d364308c52047,journey_validation_pending,pending
failover_stale_scope,ras_445_f1b28c7e37b7395f,stale_scope,0d2163336006c2f3ce32d9cfdc00044364207f9deb4863eb8b0acaf7d46f6e36
chaos_guardrail,ras_445_ccfa9eb6e1ba0252,blocked_guardrail,blast-radius:unbounded-production
blocked_blocked_publication,ras_445_6ebfd2ef001a0f49,blocked_publication,rcp_444_eb51561a988e6b50
blocked_blocked_publication,ras_445_36e04833a58cdbb1,blocked_publication,rcp_444_eb51561a988e6b50
blocked_blocked_readiness,ras_445_c7f06ff6d988f27a,blocked_readiness,rcp_444_c07468ceefd44ce0
blocked_blocked_trust,ras_445_7098564b24bfbcab,blocked_trust,rcp_444_a2de90d76188d1ce
blocked_blocked_trust,ras_445_dab3a7a75a493e17,blocked_trust,rcp_444_a2de90d76188d1ce
blocked_frozen,ras_445_4b86c497a8b5f8e1,frozen,rcp_444_493be4168e219914
blocked_frozen,ras_445_e9f9167f0358043a,frozen,rcp_444_493be4168e219914
blocked_frozen,ras_445_101fb1ac0264c9c6,frozen,rcp_444_493be4168e219914
blocked_blocked_readiness,ras_445_a5e8d5e1b5df5f6f,blocked_readiness,rcp_444_c07468ceefd44ce0
blocked_blocked_readiness,ras_445_b2f915fc844fe29b,blocked_readiness,rcp_444_c07468ceefd44ce0
