evidence_id,sandbox_id,provider_capability_matrix_ref,environment_id,capability_claim_ref,claim_kind,claim_value,claim_outcome,evidence_status,confidence_level,observation_method,selection_audience,requested_action_scope,capability_tuple_hash,observed_at,stale_after,evidence_artifact_ref,gap_artifact_ref
evidence_sandbox_304_optum_im1_supported_test_search_slots_support,sandbox_304_optum_im1_supported_test,PCM_279_OPTUM_IM1_PATIENT_V1,supported_test_candidate,search_slots_support,action_support,true,supported,review_required,provisional,document_observed,patient,search_slots,fa0cd214ad7576586dbd6f0114d132c9940d17d9526cdea569daef74e5e40b8c,2026-04-20T10:15:00.000Z,2026-05-04T10:15:00.000Z,.artifacts/provider-evidence/305/observations/sandbox_304_optum_im1_supported_test.json,data/analysis/PHASE4_INTERFACE_GAP_PROVIDER_CAPABILITY_EVIDENCE_OPTUM_IM1.json
evidence_sandbox_304_optum_im1_supported_test_book_slot_support,sandbox_304_optum_im1_supported_test,PCM_279_OPTUM_IM1_PATIENT_V1,supported_test_candidate,book_slot_support,action_support,true,supported,review_required,provisional,document_observed,patient,book_slot,4ad76a421f60cf97eb82f749aa68a4b5fdc6f3f2697678dc034d0d9ccf7a217f,2026-04-20T10:15:00.000Z,2026-05-04T10:15:00.000Z,.artifacts/provider-evidence/305/observations/sandbox_304_optum_im1_supported_test.json,data/analysis/PHASE4_INTERFACE_GAP_PROVIDER_CAPABILITY_EVIDENCE_OPTUM_IM1.json
evidence_sandbox_304_optum_im1_supported_test_cancel_appointment_support,sandbox_304_optum_im1_supported_test,PCM_279_OPTUM_IM1_PATIENT_V1,supported_test_candidate,cancel_appointment_support,action_support,true,supported,review_required,provisional,document_observed,patient,cancel_appointment,a3d18e0c5272ff385531cc38639d67cc0bfb96071d4e14637b164cb35d721dc6,2026-04-20T10:15:00.000Z,2026-05-04T10:15:00.000Z,.artifacts/provider-evidence/305/observations/sandbox_304_optum_im1_supported_test.json,data/analysis/PHASE4_INTERFACE_GAP_PROVIDER_CAPABILITY_EVIDENCE_OPTUM_IM1.json
evidence_sandbox_304_optum_im1_supported_test_reschedule_appointment_support,sandbox_304_optum_im1_supported_test,PCM_279_OPTUM_IM1_PATIENT_V1,supported_test_candidate,reschedule_appointment_support,action_support,true,supported,review_required,provisional,document_observed,patient,reschedule_appointment,89206cf5395a07089ba4fb22b637da33658dc6f84576d25643934da5fc8c1217,2026-04-20T10:15:00.000Z,2026-05-04T10:15:00.000Z,.artifacts/provider-evidence/305/observations/sandbox_304_optum_im1_supported_test.json,data/analysis/PHASE4_INTERFACE_GAP_PROVIDER_CAPABILITY_EVIDENCE_OPTUM_IM1.json
evidence_sandbox_304_optum_im1_supported_test_view_appointment_support,sandbox_304_optum_im1_supported_test,PCM_279_OPTUM_IM1_PATIENT_V1,supported_test_candidate,view_appointment_support,action_support,true,supported,review_required,provisional,document_observed,staff,view_appointment,152fa36407262a807335e472ac799354e67b6e4027322a4c5de9362542e65064,2026-04-20T10:15:00.000Z,2026-05-04T10:15:00.000Z,.artifacts/provider-evidence/305/observations/sandbox_304_optum_im1_supported_test.json,data/analysis/PHASE4_INTERFACE_GAP_PROVIDER_CAPABILITY_EVIDENCE_OPTUM_IM1.json
evidence_sandbox_304_optum_im1_supported_test_manage_appointment_support,sandbox_304_optum_im1_supported_test,PCM_279_OPTUM_IM1_PATIENT_V1,supported_test_candidate,manage_appointment_support,action_support,false,unsupported,review_required,provisional,document_observed,staff,view_booking_summary,5ac7dd2efbd661ac68dce697bc9a87a2e5ab61368fcb530b5397d71ebbe9025f,2026-04-20T10:15:00.000Z,2026-05-04T10:15:00.000Z,.artifacts/provider-evidence/305/observations/sandbox_304_optum_im1_supported_test.json,data/analysis/PHASE4_INTERFACE_GAP_PROVIDER_CAPABILITY_EVIDENCE_OPTUM_IM1.json
evidence_sandbox_304_optum_im1_supported_test_request_staff_assist_support,sandbox_304_optum_im1_supported_test,PCM_279_OPTUM_IM1_PATIENT_V1,supported_test_candidate,request_staff_assist_support,action_support,false,unsupported,review_required,provisional,document_observed,staff,request_staff_assist,e733f3c0ba66633513d2c83b835cd9b566000d286deae0ca8656f5c330f8818a,2026-04-20T10:15:00.000Z,2026-05-04T10:15:00.000Z,.artifacts/provider-evidence/305/observations/sandbox_304_optum_im1_supported_test.json,data/analysis/PHASE4_INTERFACE_GAP_PROVIDER_CAPABILITY_EVIDENCE_OPTUM_IM1.json
evidence_sandbox_304_optum_im1_supported_test_launch_local_component_support,sandbox_304_optum_im1_supported_test,PCM_279_OPTUM_IM1_PATIENT_V1,supported_test_candidate,launch_local_component_support,action_support,false,unsupported,review_required,provisional,document_observed,staff,launch_local_component,4771186721e8c91fa682ed716825e92991de8f357bff9b9f279ded5ae65b8be0,2026-04-20T10:15:00.000Z,2026-05-04T10:15:00.000Z,.artifacts/provider-evidence/305/observations/sandbox_304_optum_im1_supported_test.json,data/analysis/PHASE4_INTERFACE_GAP_PROVIDER_CAPABILITY_EVIDENCE_OPTUM_IM1.json
evidence_sandbox_304_optum_im1_supported_test_patient_self_service_posture,sandbox_304_optum_im1_supported_test,PCM_279_OPTUM_IM1_PATIENT_V1,supported_test_candidate,patient_self_service_posture,audience_posture,true,supported,review_required,provisional,document_observed,patient,search_slots,fa0cd214ad7576586dbd6f0114d132c9940d17d9526cdea569daef74e5e40b8c,2026-04-20T10:15:00.000Z,2026-05-04T10:15:00.000Z,.artifacts/provider-evidence/305/observations/sandbox_304_optum_im1_supported_test.json,data/analysis/PHASE4_INTERFACE_GAP_PROVIDER_CAPABILITY_EVIDENCE_OPTUM_IM1.json
evidence_sandbox_304_optum_im1_supported_test_staff_assisted_posture,sandbox_304_optum_im1_supported_test,PCM_279_OPTUM_IM1_PATIENT_V1,supported_test_candidate,staff_assisted_posture,audience_posture,false,unsupported,review_required,provisional,document_observed,staff,request_staff_assist,e733f3c0ba66633513d2c83b835cd9b566000d286deae0ca8656f5c330f8818a,2026-04-20T10:15:00.000Z,2026-05-04T10:15:00.000Z,.artifacts/provider-evidence/305/observations/sandbox_304_optum_im1_supported_test.json,data/analysis/PHASE4_INTERFACE_GAP_PROVIDER_CAPABILITY_EVIDENCE_OPTUM_IM1.json
