row_id,environment_ring,audience_surface_ref,gateway_surface_ref,route_family_ref,transport_channel_ref,live_update_channel_contract_id,transport,channel_state,cache_policy_id,cache_namespace_ref,namespace_class,degraded_mode,browser_boundary,connection_registry_ref,replay_buffer_ref,transport_backend_ref,cache_backend_ref,truth_posture,follow_on_dependency_ref
bnd_local_rf_governance_shell,local,audsurf_governance_admin,gws_governance_shell,rf_governance_shell,ltr_governance_shell,LCC_050_RF_GOVERNANCE_SHELL_V1,sse,healthy,CP_GOVERNANCE_CONTROL_EPHEMERAL,cns_runtime_manifest_governance_control_ephemeral,runtime_manifest,none,gateway_only_no_internal_bus,cr_governance_admin,rb_governance_shell,ltb_sse_gateway_fanout,ds_runtime_cache_plane,connection_health_and_cache_warmth_are_non_authoritative,FOLLOW_ON_DEPENDENCY_096_ROUTE_FAMILY_CACHE_AND_LIVE_POLICY_BINDING
bnd_local_rf_hub_case_management,local,audsurf_hub_desk,gws_hub_case_management,rf_hub_case_management,ltr_hub_case_management,LCC_050_RF_HUB_CASE_MANAGEMENT_V1,sse,healthy,CP_HUB_CASE_PRIVATE_EPHEMERAL,cns_entity_scoped_hub_case_private_ephemeral,entity_scoped,none,gateway_only_no_internal_bus,cr_hub_desk,rb_hub_case_management,ltb_sse_gateway_fanout,ds_runtime_cache_plane,connection_health_and_cache_warmth_are_non_authoritative,FOLLOW_ON_DEPENDENCY_096_ROUTE_FAMILY_CACHE_AND_LIVE_POLICY_BINDING
bnd_local_rf_hub_queue,local,audsurf_hub_desk,gws_hub_queue,rf_hub_queue,ltr_hub_queue,LCC_050_RF_HUB_QUEUE_V1,sse,healthy,CP_HUB_QUEUE_PRIVATE_SUMMARY,cns_projection_read_hub_queue_private_summary,projection_read,none,gateway_only_no_internal_bus,cr_hub_desk,rb_hub_queue,ltb_sse_gateway_fanout,ds_runtime_cache_plane,connection_health_and_cache_warmth_are_non_authoritative,FOLLOW_ON_DEPENDENCY_096_ROUTE_FAMILY_CACHE_AND_LIVE_POLICY_BINDING
bnd_local_rf_intake_self_service,local,audsurf_patient_public_entry,gws_patient_intake_web,rf_intake_self_service,,,none,not_declared,CP_PUBLIC_NO_PERSISTED_PHI,cns_runtime_manifest_public_no_persisted_phi,runtime_manifest,follow_on_route_contract,gateway_only_no_internal_bus,,,,ds_runtime_cache_plane,connection_health_and_cache_warmth_are_non_authoritative,FOLLOW_ON_DEPENDENCY_096_ROUTE_FAMILY_CACHE_AND_LIVE_POLICY_BINDING
bnd_local_rf_intake_telephony_capture,local,audsurf_patient_public_entry,gws_patient_intake_phone,rf_intake_telephony_capture,,,none,not_declared,CP_CONSTRAINED_CAPTURE_NO_BROWSER_CACHE,cns_route_family_constrained_capture_no_browser_cache,route_family,follow_on_route_contract,gateway_only_no_internal_bus,,,,ds_runtime_cache_plane,connection_health_and_cache_warmth_are_non_authoritative,FOLLOW_ON_DEPENDENCY_096_ROUTE_FAMILY_CACHE_AND_LIVE_POLICY_BINDING
bnd_local_rf_operations_board,local,audsurf_operations_console,gws_operations_board,rf_operations_board,ltr_operations_board,LCC_050_RF_OPERATIONS_BOARD_V1,websocket,replay_only,CP_OPERATIONS_WATCH_NO_SHARED_CACHE,cns_runtime_manifest_operations_watch_no_shared_cache,runtime_manifest,reconnect_replay_required,gateway_only_no_internal_bus,cr_operations_console,rb_operations_board,ltb_websocket_gateway_fanout,ds_runtime_cache_plane,connection_health_and_cache_warmth_are_non_authoritative,FOLLOW_ON_DEPENDENCY_096_ROUTE_FAMILY_CACHE_AND_LIVE_POLICY_BINDING
bnd_local_rf_operations_drilldown,local,audsurf_operations_console,gws_operations_drilldown,rf_operations_drilldown,ltr_operations_drilldown,LCC_050_RF_OPERATIONS_DRILLDOWN_V1,websocket,replay_only,CP_OPERATIONS_CONTROL_EPHEMERAL,cns_route_family_operations_control_ephemeral,route_family,reconnect_replay_required,gateway_only_no_internal_bus,cr_operations_console,rb_operations_drilldown,ltb_websocket_gateway_fanout,ds_runtime_cache_plane,connection_health_and_cache_warmth_are_non_authoritative,FOLLOW_ON_DEPENDENCY_096_ROUTE_FAMILY_CACHE_AND_LIVE_POLICY_BINDING
bnd_local_rf_patient_appointments,local,audsurf_patient_authenticated_portal,gws_patient_appointments,rf_patient_appointments,ltr_patient_appointments,LCC_050_RF_PATIENT_APPOINTMENTS_V1,sse,restored,CP_PATIENT_BOOKING_PRIVATE_EPHEMERAL,cns_entity_scoped_patient_booking_private_ephemeral,entity_scoped,restored_after_rebind,gateway_only_no_internal_bus,cr_patient_authenticated_portal,rb_patient_appointments,ltb_sse_gateway_fanout,ds_runtime_cache_plane,connection_health_and_cache_warmth_are_non_authoritative,FOLLOW_ON_DEPENDENCY_096_ROUTE_FAMILY_CACHE_AND_LIVE_POLICY_BINDING
bnd_local_rf_patient_embedded_channel,local,audsurf_patient_transaction_recovery,gws_patient_embedded_shell,rf_patient_embedded_channel,ltr_patient_embedded_channel,LCC_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,sse,healthy,CP_EMBEDDED_HOST_SCOPED_EPHEMERAL,cns_entity_scoped_embedded_host_scoped_ephemeral,entity_scoped,none,gateway_only_no_internal_bus,cr_patient_transaction_recovery,rb_patient_embedded_channel,ltb_sse_gateway_fanout,ds_runtime_cache_plane,connection_health_and_cache_warmth_are_non_authoritative,FOLLOW_ON_DEPENDENCY_096_ROUTE_FAMILY_CACHE_AND_LIVE_POLICY_BINDING
bnd_local_rf_patient_health_record,local,audsurf_patient_authenticated_portal,gws_patient_health_record,rf_patient_health_record,,,none,not_declared,CP_PATIENT_ARTIFACT_SUMMARY_NO_STORE,cns_transient_replay_support_patient_artifact_summary_no_store,transient_replay_support,follow_on_route_contract,gateway_only_no_internal_bus,,,,ds_runtime_cache_plane,connection_health_and_cache_warmth_are_non_authoritative,FOLLOW_ON_DEPENDENCY_096_ROUTE_FAMILY_CACHE_AND_LIVE_POLICY_BINDING
