event_family_id,canonical_object_id,event_family_name,allowed_audience_tiers,allowed_purposes_of_use,telemetry_ceiling,log_ceiling,audit_replay_ceiling,allowed_identifiers,prohibited_identifiers,redaction_policy_ref,source_refs,notes
EV_UI_TELEMETRY_PATIENT,OBJ_UITELEMETRYDISCLOSUREFENCE,Patient and public UI telemetry,patient_public; patient_grant_scoped; patient_authenticated; patient_embedded_authenticated,public_status; secure_link_recovery; authenticated_self_service; embedded_authenticated,descriptor_and_hash_only,diagnostic_refs_only,bounded_detail_with_scope,eventId; edgeCorrelationId; causalToken; routeFamilyCode; shellDecisionClass; selectedAnchorChangeClass,raw JWT; raw phone number; message body; clinical narrative; full route params; assertedLoginIdentity,POL_TELEMETRY_PHI_SAFE,platform-frontend-blueprint.md#UIEventVisibilityProfile; platform-frontend-blueprint.md#UITelemetryDisclosureFence,Patient telemetry keeps enough determinism for replay without leaking subject detail.
EV_UI_TELEMETRY_EMBEDDED,OBJ_UITELEMETRYDISCLOSUREFENCE,Embedded NHS App UI telemetry,patient_embedded_authenticated,embedded_authenticated,descriptor_and_hash_only,diagnostic_refs_only,bounded_detail_with_scope,eventId; edgeCorrelationId; bridgeCapabilityClass; routeFamilyCode; artifactModeClass,assertedLoginIdentity; JWT body; raw destination URL; raw document title with PHI,POL_TELEMETRY_PHI_SAFE,phase-7-inside-the-nhs-app.md,Embedded telemetry adds channel posture but still excludes PHI-bearing URL or token content.
EV_UI_TELEMETRY_WORKSPACE,OBJ_UITELEMETRYDISCLOSUREFENCE,"Workspace, hub, pharmacy, and support UI telemetry",origin_practice_clinical; origin_practice_operations; hub_desk; servicing_site; support; assistive_adjunct,operational_execution; coordination; servicing_delivery; support_recovery; assistive_companion,masked_scope_and_refs_only,masked_scope_and_refs_only,bounded_detail_with_scope,eventId; taskRef; lineageRef; maskScopeClass; restoreState; edgeCorrelationId,raw patient name; raw phone number; thread body; artifact bytes; raw identity claim,POL_TELEMETRY_PHI_SAFE,platform-frontend-blueprint.md#UITelemetryDisclosureFence; staff-operations-and-support-blueprint.md,Operational telemetry remains task-safe and mask-safe.
EV_STRUCTURED_LOG_RUNTIME,OBJ_ASSURANCELEDGERENTRY,Structured application and worker logs,operations_control; governance_review,operational_control; governance_review,not_applicable,diagnostic_refs_only,bounded_detail_with_scope,requestId ref; lineageRef; eventId; effectKeyRef; queue or worker class; error class,JWT; secret; raw phone number; raw claim snapshot; clinical narrative; message body,POL_LOG_REFERENCE_ONLY,phase-2-the-identity-and-echoes.md; phase-9-the-assurance-ledger.md,Logs are diagnostic only; they do not replace audit or evidence exports.
EV_CANONICAL_EVENT_BUS,OBJ_ASSURANCELEDGERENTRY,Canonical domain events crossing internal boundaries,origin_practice_clinical; origin_practice_operations; support; operations_control; governance_review,operational_execution; support_recovery; operational_control; governance_review,descriptor_and_hash_only,diagnostic_refs_only,bounded_detail_with_scope,eventId; canonicalEventContractRef; schemaVersionRef; tenantId; subjectRef; masked fragments; hash refs,raw identity values; raw phone numbers; contact claims; secret material,POL_TELEMETRY_PHI_SAFE,phase-2-the-identity-and-echoes.md,"Events carry refs, hashes, or masked forms only; raw identity and contact values never cross the bus."
EV_IMMUTABLE_AUDIT_LEDGER,OBJ_AUDITQUERYSESSION,Immutable audit ledger,support; operations_control; governance_review,support_recovery; operational_control; governance_review; investigation_break_glass,audit_reference_only,audit_reference_only,bounded_detail_with_scope,auditRecordId; routeIntentRef; commandActionRef; commandSettlementRef; projectionVisibilityRef; timeline hash,unmasked replay body outside scope; free-form payload dump,POL_INVESTIGATION_SCOPE_ENVELOPE,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay","Audit is queryable and immutable, but still minimum-necessary and scope-governed at presentation time."
EV_ASSURANCE_LEDGER_ENTRY,OBJ_ASSURANCELEDGERENTRY,Assurance ledger and evidence graph entries,operations_control; governance_review,operational_control; governance_review; audit_export,audit_reference_only,audit_reference_only,bounded_detail_with_scope,canonicalPayloadHash; effectKeyRef; controlRefs; graphEdgeRefs; replayDecisionClass,raw source payload; inline clinical content; raw secret material,POL_OPS_AGGREGATE_DISCLOSURE,"phase-9-the-assurance-ledger.md#9A. Assurance ledger, evidence graph, and operational state contracts","Assurance consumers reason from hashes, refs, provenance, and replay class, not payload dumps."
EV_SUPPORT_REPLAY_VIEW,OBJ_SUPPORTREPLAYSESSION,Support replay and observe views,support; governance_review,support_recovery; governance_review; investigation_break_glass,masked_scope_and_refs_only,masked_scope_and_refs_only,masked_timeline,checkpoint hash; maskScopeRef; selectedAnchorTupleHash; restoreState; timelineHash,held drafts; raw message body outside current mask scope; broader anchor than the source envelope,POL_SUPPORT_MASKED_REPLAY,"staff-operations-and-support-blueprint.md#3. Complex investigation and replay; phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay",Replay never widens beyond the spawned investigation envelope and restore gate.
EV_BREAK_GLASS_REVIEW,OBJ_BREAKGLASSREVIEWRECORD,Break-glass review records and UI,governance_review,governance_review; investigation_break_glass,masked_scope_and_refs_only,audit_reference_only,bounded_detail_with_scope,breakGlassReviewRecordId; reasonCode; expiresAt; selectedAnchorRef; scope hash,broad unscoped timeline; mutating command payloads,POL_INVESTIGATION_SCOPE_ENVELOPE,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay",Break-glass is a governed review and not an always-on operator role.
EV_INVESTIGATION_EXPORT_BUNDLE,OBJ_INVESTIGATIONSCOPEENVELOPE,"Investigation, export, and replay bundles",governance_review,governance_review; investigation_break_glass; audit_export,descriptor_only,audit_reference_only,full_evidence_with_scope,investigationScopeEnvelopeRef; timeline hash; graphHash; selectedAnchorRef; masking policy ref,scope drift; fresher anchor than the source query; export without redaction transform,POL_INVESTIGATION_SCOPE_ENVELOPE,"phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay","Exports, replay, and audit share one scope envelope and masking ceiling."
