task_id,entry_case,eligibility,screen_family,handset_verified,redemption_state,supersession_state,visible_seeded_context,next_safe_action,second_path_forbidden
par_198,seeded_current,eligible_seeded,SeededContinuationLanding,true,fresh,none,true,Review captured context,true
par_198,challenge_landing,eligible_challenge,ChallengeContinuationLanding,false,challenge_pending,none,false,Start phone check,true
par_198,challenge_step,eligible_challenge,ChallengeQuestionStep,false,challenge_pending,none,false,Continue safely,true
par_198,challenge_verified,eligible_challenge,CapturedSoFarReview,true,fresh,none,true,Add more detail,true
par_198,add_more_detail,eligible_seeded,AddMoreDetailStep,true,fresh,none,true,Save and add evidence,true
par_198,upload_evidence,eligible_seeded,UploadEvidenceStep,true,fresh,none,true,Review before sending,true
par_198,review_before_submit,eligible_seeded,ReviewBeforeSubmitStep,true,fresh,none,true,Submit request,true
par_198,replay_duplicate,replayed_mapping,ReplayMappedOutcome,true,duplicate,replaced_by_signed_in_request,true,View settled receipt,true
par_198,stale_superseded,stale_superseded,StaleLinkRecoveryBridge,true,stale,superseded_by_new_sms,true,Recover latest link,true
par_198,recovery_required,recovery_required,StaleLinkRecoveryBridge,true,stale,superseded_by_new_sms,true,Continue where you left off,true
par_198,manual_only,manual_only,ManualOnlyOutcome,false,blocked,manual_follow_up,false,Contact practice,true
par_198,no_access,no_access,ManualOnlyOutcome,false,blocked,manual_follow_up,false,Contact practice,true
