row_id,environment_ring,gate_ref,gate_sequence,gate_label,gate_category,build_family_scope,failure_disposition,published_evidence_type,signing_secret_class_ref,quarantine_policy_ref,source_refs
local::dependency_resolve,local,dependency_resolve,1,Dependency resolve,dependency,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,dependency-resolution-manifest,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
local::lint_type_unit,local,lint_type_unit,2,"Lint, type, and unit",static,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,foundation-gate-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
local::build_package,local,build_package,3,Deterministic build package,build,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,artifact-bundle-manifest,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
local::sbom_dependency_policy,local,sbom_dependency_policy,4,SBOM and dependency policy,supply_chain,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,sbom-and-policy-verdict,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
local::provenance_sign,local,provenance_sign,5,Provenance sign,provenance,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,signed-provenance-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
local::provenance_verify,local,provenance_verify,6,Provenance verify,provenance,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,quarantine_artifact,provenance-verification-verdict,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
local::runtime_publish_gate,local,runtime_publish_gate,7,Runtime publication gate,publication,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_publish,publish-decision-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
local::nonprod_promotion_gate,local,nonprod_promotion_gate,8,Non-production promotion gate,promotion,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_promotion,promotion-decision-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
ci-preview::dependency_resolve,ci-preview,dependency_resolve,1,Dependency resolve,dependency,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,dependency-resolution-manifest,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
ci-preview::lint_type_unit,ci-preview,lint_type_unit,2,"Lint, type, and unit",static,bf_foundation_monorepo_full|bf_published_gateway_bundle|bf_command_runtime_bundle|bf_projection_runtime_bundle|bf_notification_runtime_bundle|bf_adapter_simulator_bundle|bf_browser_contract_bundle|bf_release_control_bundle,block_pipeline,foundation-gate-record,RELEASE_PROVENANCE_SIGNING_KEY_REF,artifact_quarantine_policy_v1,prompt/091.md|blueprint/platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract
