effect_row_id,dependency_id,dependency_name,effect_applicability,runtime_component_id,command_contract_ref,outbox_component_ref,inbox_component_ref,receipt_checkpoint_object_ref,authoritative_proof_upgrade,final_settlement_classes,external_proof_class,idempotency_strategy_ref,replay_strategy_ref,endpoint_refs,non_applicable_reason,source_refs,notes
EFFECT_DEP_NHS_LOGIN_RAIL,dep_nhs_login_rail,NHS login authentication rail,callback_only_non_outbox,svc_integration_worker,MutationCommandContract(identity.session.establish),,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(nhs_login_callback),OIDC callback correlation -> SessionEstablishmentDecision -> CapabilityDecision -> RouteIntentBinding,SessionEstablishmentDecision.allow; CapabilityDecision.allow,recovery_disposition,IDEMP_OIDC_CALLBACK,REPLAY_ADAPTER_RECEIPT_CHECKPOINT,patient_identity_hold_recovery,"Interactive redirect starts in browser, so the durable boundary is the callback correlation and settlement chain rather than an adapter outbox send.","phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine; blueprint-init.md#10. Identity, consent, security, and policy; platform-runtime-and-release-blueprint.md#AdapterContractProfile",Server-side OIDC authorization-code flow via gateway or BFF; callbacks and token exchange stay behind integration workloads and never in the browser.
EFFECT_DEP_PDS_FHIR_ENRICHMENT,dep_pds_fhir_enrichment,Optional PDS enrichment seam,non_applicable_deferred,svc_adapter_simulators,,,,,Deferred optional enrichment only; current baseline keeps PDS outside required truth paths.,,none,IDEMP_SIMULATOR_FIXTURE_RUN,REPLAY_SIMULATOR_FIXTURE,,"PDS enrichment is feature-flagged and legally gated, so no live baseline outbox/inbox lane is required yet.","phase-2-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment; blueprint-init.md#10. Identity, consent, security, and policy; phase-cards.md#Phase 2 - Identity and Echoes",Feature-flagged enrichment adapter behind IdentityBindingAuthority; no route may depend on PDS before legal basis and onboarding complete.
EFFECT_DEP_TELEPHONY_IVR_RECORDING_PROVIDER,dep_telephony_ivr_recording_provider,"Telephony, IVR, and call-recording provider",full_duplex,svc_notification_worker,MutationCommandContract(callback.attempt.dispatch),queue_command_outbox,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(telephony),transport accepted -> provider callback -> CallbackOutcomeEvidenceBundle -> CallbackResolutionGate,CallbackResolutionGate.complete; CallbackResolutionGate.retry; CallbackResolutionGate.expire,external_confirmation,IDEMP_ADAPTER_EFFECT,REPLAY_ADAPTER_RECEIPT_CHECKPOINT,urgent_diversion; callback; patient_contact_route_repair; support_replay_resend_restore,,"phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Callback domain",Webhook- and fetch-driven telephony adapters behind telephony-edge and recording workers; browser surfaces never talk to carrier APIs directly.
EFFECT_DEP_TRANSCRIPTION_PROCESSING_PROVIDER,dep_transcription_processing_provider,Transcript and derived-facts processing provider,outbound_then_inbound_derivation,svc_integration_worker,MutationCommandContract(evidence.transcription.request),queue_command_outbox,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(transcription),job accepted -> transcript artifact stored -> EvidenceAssimilationRecord or quarantine review,EvidenceAssimilationRecord.settled; FallbackReviewCase.open,review_disposition,IDEMP_ARTIFACT_MANIFEST,REPLAY_ARTIFACT_POINTER_ONLY,degraded_acceptance_fallback_review; support_replay_resend_restore,,"phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed",Queued transcript and fact-extraction jobs against quarantined recording artifacts; output stays as derivation packages rather than source truth.
EFFECT_DEP_SMS_NOTIFICATION_PROVIDER,dep_sms_notification_provider,SMS delivery provider,full_duplex,svc_notification_worker,MutationCommandContract(communication.dispatch.sms),queue_command_outbox,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(notification_sms),provider accept -> MessageDeliveryEvidenceBundle -> ThreadResolutionGate or delivery repair,ThreadResolutionGate.close; ThreadResolutionGate.repair_route; ThreadResolutionGate.reopen,external_confirmation,IDEMP_ADAPTER_EFFECT,REPLAY_ADAPTER_RECEIPT_CHECKPOINT,triage_more_info_cycle; clinician_messaging; patient_contact_route_repair; support_replay_resend_restore,,"phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Delivery, callback-window, and settlement confidence model; phase-0-the-foundation-protocol.md#Command and adapter effect ledger",Outbox-backed SMS adapter bound to AccessGrant issuance and delivery evidence checkpoints; links and grants remain internal.
EFFECT_DEP_EMAIL_NOTIFICATION_PROVIDER,dep_email_notification_provider,Email and notification delivery provider,full_duplex,svc_notification_worker,MutationCommandContract(communication.dispatch.email),queue_command_outbox,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(notification_email),provider accept -> MessageDeliveryEvidenceBundle -> ThreadResolutionGate or delivery repair,ThreadResolutionGate.close; ThreadResolutionGate.repair_route; ThreadResolutionGate.reopen,external_confirmation,IDEMP_ADAPTER_EFFECT,REPLAY_ADAPTER_RECEIPT_CHECKPOINT,triage_more_info_cycle; self_care; admin_resolution; clinician_messaging; network_hub_coordination; support_replay_resend_restore,,callback-and-clinician-messaging-loop.md#Clinician message domain; phase-5-the-network-horizon.md#Reminder and communication publication; phase-0-the-foundation-protocol.md#Command and adapter effect ledger,Outbox-backed email adapter with delivery evidence checkpoints and same-shell recovery when delivery truth is disputed.
EFFECT_DEP_MALWARE_SCANNING_PROVIDER,dep_malware_scanning_provider,Malware and artifact scanning provider,outbound_then_inbound_derivation,svc_integration_worker,MutationCommandContract(artifact.scan.request),queue_command_outbox,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(malware_scan),scan accepted -> quarantine verdict or clean artifact settlement -> fallback review if unsafe,ArtifactQuarantineRecord.created; ArtifactScanSettlement.clean,recovery_disposition,IDEMP_ARTIFACT_QUARANTINE_DECISION,REPLAY_ADAPTER_RECEIPT_CHECKPOINT,degraded_acceptance_fallback_review; support_replay_resend_restore,,"phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review; phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed",Asynchronous scanning boundary from private object storage into artifact quarantine outcomes; no browser or shell reads from raw scan engines.
EFFECT_DEP_IM1_PAIRING_PROGRAMME,dep_im1_pairing_programme,IM1 Pairing programme and prerequisite path,non_applicable_onboarding,svc_assurance_worker,,,,,Human-governed programme output gates adapter publication rather than acting as a runtime effect lane.,,none,IDEMP_ASSURANCE_RESTORE_GATE,REPLAY_SUPPORT_RESTORE_SCOPE,,"This dependency is an onboarding programme, not a live transaction rail.",phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4E Commit path; blueprint-init.md#1. Product definition,Human-governed onboarding programme whose outputs gate supplier adapter publication and live route capability resolution.
EFFECT_DEP_GP_SYSTEM_SUPPLIER_PATHS,dep_gp_system_supplier_paths,Principal GP-system supplier integration paths,non_applicable_programme_binding,svc_assurance_worker,,,,,"Supplier path approval is encoded in AdapterContractProfile publication, not a separate live queue lane.",,none,IDEMP_ASSURANCE_RESTORE_GATE,REPLAY_SUPPORT_RESTORE_SCOPE,,Live booking and hub effects go through the concrete booking supplier adapter rows.,"phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4C Slot search; phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation","Supplier-specific adapter bindings with explicit capability, local-consumer, and authoritative-read contracts under integration workloads."
EFFECT_DEP_LOCAL_BOOKING_SUPPLIER_ADAPTERS,dep_local_booking_supplier_adapters,Local booking supplier adapter family,full_duplex,svc_integration_worker,MutationCommandContract(booking.commit.confirm),queue_command_outbox,queue_adapter_receipt_inbox,AdapterReceiptCheckpoint(booking_supplier),dispatch accepted -> durable provider reference or read-after-write -> BookingConfirmationTruthProjection,ExternalConfirmationGate.confirmed; BookingConfirmationTruthProjection.confirmed; BookingConfirmationTruthProjection.reconciliation_required,external_confirmation,IDEMP_BOOKING_COMMIT,REPLAY_ADAPTER_RECEIPT_CHECKPOINT,local_booking; local_waitlist_continuation,,phase-4-the-booking-engine.md#4C Slot search; phase-4-the-booking-engine.md#4E Commit path; phase-4-the-booking-engine.md#4F Manage flows,"BookingProviderAdapterBinding per supplier, integration mode, audience, and action scope under the canonical adapter and command ledgers."
