surface_authority_verdict_id,audience_surface_runtime_binding_id,inventory_surface_ref,audience_surface,route_family_ref,shell_type,binding_state,calm_truth_state,writable_truth_state,disposition_kind,disposition_ref,disposition_label
ASV_130_RF_ASSISTIVE_CONTROL_SHELL_V1,gap::rf_assistive_control_shell,,gap::rf_assistive_control_shell,rf_assistive_control_shell,assistive,blocked,suppressed,blocked,freeze,RFD_130_ASSISTIVE_STANDALONE_PUBLICATION_BLOCK,130 Assistive Standalone Publication Block
ASV_130_RF_ASSISTIVE_CONTROL_SHELL_V1,gap::rf_assistive_control_shell,,gap::rf_assistive_control_shell,rf_assistive_control_shell,assistive,blocked,suppressed,blocked,recovery,RRD_130_ASSISTIVE_STANDALONE_RETURN_TO_OWNING_SHELL,130 Assistive Standalone Return To Owning Shell
ASV_130_SURF_GOVERNANCE_SHELL_V1,ASRB_050_GOVERNANCE_ADMIN_V1,surf_governance_shell,audsurf_governance_admin,rf_governance_shell,governance,partial,suppressed,blocked,freeze,RFD_050_GOVERNANCE_ADMIN_V1,050 Governance Admin V1
ASV_130_SURF_GOVERNANCE_SHELL_V1,ASRB_050_GOVERNANCE_ADMIN_V1,surf_governance_shell,audsurf_governance_admin,rf_governance_shell,governance,partial,suppressed,blocked,recovery,RRD_GOVERNANCE_HANDOFF_ONLY,Governance Handoff Only
ASV_130_SURF_GOVERNANCE_SHELL_V1,ASRB_050_GOVERNANCE_ADMIN_V1,surf_governance_shell,audsurf_governance_admin,rf_governance_shell,governance,partial,suppressed,blocked,recovery,RRD_GOVERNANCE_READ_ONLY,Governance Read Only
ASV_130_SURF_HUB_CASE_MANAGEMENT_V1,ASRB_050_HUB_DESK_V1,surf_hub_case_management,audsurf_hub_desk,rf_hub_case_management,hub,partial,suppressed,blocked,freeze,RFD_050_HUB_DESK_V1,050 Hub Desk V1
ASV_130_SURF_HUB_CASE_MANAGEMENT_V1,ASRB_050_HUB_DESK_V1,surf_hub_case_management,audsurf_hub_desk,rf_hub_case_management,hub,partial,suppressed,blocked,recovery,RRD_HUB_CASE_READ_ONLY,Hub Case Read Only
ASV_130_SURF_HUB_CASE_MANAGEMENT_V1,ASRB_050_HUB_DESK_V1,surf_hub_case_management,audsurf_hub_desk,rf_hub_case_management,hub,partial,suppressed,blocked,recovery,RRD_HUB_CASE_RECOVERY_ONLY,Hub Case Recovery Only
ASV_130_SURF_HUB_CASE_MANAGEMENT_V1,ASRB_050_HUB_DESK_V1,surf_hub_case_management,audsurf_hub_desk,rf_hub_case_management,hub,partial,suppressed,blocked,recovery,RRD_HUB_QUEUE_READ_ONLY,Hub Queue Read Only
ASV_130_SURF_HUB_CASE_MANAGEMENT_V1,ASRB_050_HUB_DESK_V1,surf_hub_case_management,audsurf_hub_desk,rf_hub_case_management,hub,partial,suppressed,blocked,recovery,RRD_HUB_QUEUE_SUMMARY_ONLY,Hub Queue Summary Only
ASV_130_SURF_HUB_QUEUE_V1,ASRB_050_HUB_DESK_V1,surf_hub_queue,audsurf_hub_desk,rf_hub_queue,hub,partial,suppressed,blocked,freeze,RFD_050_HUB_DESK_V1,050 Hub Desk V1
ASV_130_SURF_HUB_QUEUE_V1,ASRB_050_HUB_DESK_V1,surf_hub_queue,audsurf_hub_desk,rf_hub_queue,hub,partial,suppressed,blocked,recovery,RRD_HUB_CASE_READ_ONLY,Hub Case Read Only
ASV_130_SURF_HUB_QUEUE_V1,ASRB_050_HUB_DESK_V1,surf_hub_queue,audsurf_hub_desk,rf_hub_queue,hub,partial,suppressed,blocked,recovery,RRD_HUB_CASE_RECOVERY_ONLY,Hub Case Recovery Only
ASV_130_SURF_HUB_QUEUE_V1,ASRB_050_HUB_DESK_V1,surf_hub_queue,audsurf_hub_desk,rf_hub_queue,hub,partial,suppressed,blocked,recovery,RRD_HUB_QUEUE_READ_ONLY,Hub Queue Read Only
ASV_130_SURF_HUB_QUEUE_V1,ASRB_050_HUB_DESK_V1,surf_hub_queue,audsurf_hub_desk,rf_hub_queue,hub,partial,suppressed,blocked,recovery,RRD_HUB_QUEUE_SUMMARY_ONLY,Hub Queue Summary Only
ASV_130_SURF_OPERATIONS_BOARD_V1,ASRB_050_OPERATIONS_CONSOLE_V1,surf_operations_board,audsurf_operations_console,rf_operations_board,operations,recovery_only,diagnostic_only,recovery_only,freeze,RFD_050_OPERATIONS_CONSOLE_V1,050 Operations Console V1
ASV_130_SURF_OPERATIONS_BOARD_V1,ASRB_050_OPERATIONS_CONSOLE_V1,surf_operations_board,audsurf_operations_console,rf_operations_board,operations,recovery_only,diagnostic_only,recovery_only,recovery,RRD_OPERATIONS_BOARD_FROZEN,Operations Board Frozen
ASV_130_SURF_OPERATIONS_BOARD_V1,ASRB_050_OPERATIONS_CONSOLE_V1,surf_operations_board,audsurf_operations_console,rf_operations_board,operations,recovery_only,diagnostic_only,recovery_only,recovery,RRD_OPERATIONS_DIAGNOSTIC_ONLY,Operations Diagnostic Only
ASV_130_SURF_OPERATIONS_BOARD_V1,ASRB_050_OPERATIONS_CONSOLE_V1,surf_operations_board,audsurf_operations_console,rf_operations_board,operations,recovery_only,diagnostic_only,recovery_only,recovery,RRD_RESILIENCE_CONTROL_FROZEN,Resilience Control Frozen
ASV_130_SURF_OPERATIONS_DRILLDOWN_V1,ASRB_050_OPERATIONS_CONSOLE_V1,surf_operations_drilldown,audsurf_operations_console,rf_operations_drilldown,operations,recovery_only,diagnostic_only,recovery_only,freeze,RFD_050_OPERATIONS_CONSOLE_V1,050 Operations Console V1
ASV_130_SURF_OPERATIONS_DRILLDOWN_V1,ASRB_050_OPERATIONS_CONSOLE_V1,surf_operations_drilldown,audsurf_operations_console,rf_operations_drilldown,operations,recovery_only,diagnostic_only,recovery_only,recovery,RRD_OPERATIONS_BOARD_FROZEN,Operations Board Frozen
ASV_130_SURF_OPERATIONS_DRILLDOWN_V1,ASRB_050_OPERATIONS_CONSOLE_V1,surf_operations_drilldown,audsurf_operations_console,rf_operations_drilldown,operations,recovery_only,diagnostic_only,recovery_only,recovery,RRD_OPERATIONS_DIAGNOSTIC_ONLY,Operations Diagnostic Only
ASV_130_SURF_OPERATIONS_DRILLDOWN_V1,ASRB_050_OPERATIONS_CONSOLE_V1,surf_operations_drilldown,audsurf_operations_console,rf_operations_drilldown,operations,recovery_only,diagnostic_only,recovery_only,recovery,RRD_RESILIENCE_CONTROL_FROZEN,Resilience Control Frozen
ASV_130_SURF_PATIENT_INTAKE_WEB_V1,ASRB_050_PATIENT_PUBLIC_ENTRY_V1,surf_patient_intake_web,audsurf_patient_public_entry,rf_intake_self_service,patient,recovery_only,suppressed,recovery_only,freeze,RFD_050_PATIENT_PUBLIC_ENTRY_V1,050 Patient Public Entry V1
ASV_130_SURF_PATIENT_INTAKE_WEB_V1,ASRB_050_PATIENT_PUBLIC_ENTRY_V1,surf_patient_intake_web,audsurf_patient_public_entry,rf_intake_self_service,patient,recovery_only,suppressed,recovery_only,recovery,RRD_PATIENT_INTAKE_RECOVERY,Patient Intake Recovery
ASV_130_SURF_PATIENT_INTAKE_WEB_V1,ASRB_050_PATIENT_PUBLIC_ENTRY_V1,surf_patient_intake_web,audsurf_patient_public_entry,rf_intake_self_service,patient,recovery_only,suppressed,recovery_only,recovery,RRD_PATIENT_PUBLIC_PLACEHOLDER,Patient Public Placeholder
ASV_130_SURF_PATIENT_INTAKE_WEB_V1,ASRB_050_PATIENT_PUBLIC_ENTRY_V1,surf_patient_intake_web,audsurf_patient_public_entry,rf_intake_self_service,patient,recovery_only,suppressed,recovery_only,recovery,RRD_TELEPHONY_CAPTURE_RECOVERY,Telephony Capture Recovery
ASV_130_SURF_PATIENT_INTAKE_PHONE_V1,ASRB_050_PATIENT_PUBLIC_ENTRY_V1,surf_patient_intake_phone,audsurf_patient_public_entry,rf_intake_telephony_capture,patient,recovery_only,suppressed,recovery_only,freeze,RFD_050_PATIENT_PUBLIC_ENTRY_V1,050 Patient Public Entry V1
ASV_130_SURF_PATIENT_INTAKE_PHONE_V1,ASRB_050_PATIENT_PUBLIC_ENTRY_V1,surf_patient_intake_phone,audsurf_patient_public_entry,rf_intake_telephony_capture,patient,recovery_only,suppressed,recovery_only,recovery,RRD_PATIENT_INTAKE_RECOVERY,Patient Intake Recovery
ASV_130_SURF_PATIENT_INTAKE_PHONE_V1,ASRB_050_PATIENT_PUBLIC_ENTRY_V1,surf_patient_intake_phone,audsurf_patient_public_entry,rf_intake_telephony_capture,patient,recovery_only,suppressed,recovery_only,recovery,RRD_PATIENT_PUBLIC_PLACEHOLDER,Patient Public Placeholder
ASV_130_SURF_PATIENT_INTAKE_PHONE_V1,ASRB_050_PATIENT_PUBLIC_ENTRY_V1,surf_patient_intake_phone,audsurf_patient_public_entry,rf_intake_telephony_capture,patient,recovery_only,suppressed,recovery_only,recovery,RRD_TELEPHONY_CAPTURE_RECOVERY,Telephony Capture Recovery
ASV_130_SURF_PATIENT_APPOINTMENTS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,suppressed,blocked,freeze,RFD_050_PATIENT_AUTHENTICATED_PORTAL_V1,050 Patient Authenticated Portal V1
ASV_130_SURF_PATIENT_APPOINTMENTS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,suppressed,blocked,recovery,RRD_ARTIFACT_HANDOFF_REQUIRED,Artifact Handoff Required
ASV_130_SURF_PATIENT_APPOINTMENTS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,suppressed,blocked,recovery,RRD_BOOKING_CONFIRMATION_PLACEHOLDER,Booking Confirmation Placeholder
ASV_130_SURF_PATIENT_APPOINTMENTS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,suppressed,blocked,recovery,RRD_CONVERSATION_RECOVERY_ONLY,Conversation Recovery Only
ASV_130_SURF_PATIENT_APPOINTMENTS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_APPOINTMENT_READ_ONLY,Patient Appointment Read Only
ASV_130_SURF_PATIENT_APPOINTMENTS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_HOME_PLACEHOLDER,Patient Home Placeholder
ASV_130_SURF_PATIENT_APPOINTMENTS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_HOME_READ_ONLY,Patient Home Read Only
ASV_130_SURF_PATIENT_APPOINTMENTS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_MESSAGES_READ_ONLY,Patient Messages Read Only
ASV_130_SURF_PATIENT_APPOINTMENTS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_RECORD_SUMMARY_ONLY,Patient Record Summary Only
ASV_130_SURF_PATIENT_APPOINTMENTS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_REQUEST_READ_ONLY,Patient Request Read Only
ASV_130_SURF_PATIENT_APPOINTMENTS_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_appointments,audsurf_patient_authenticated_portal,rf_patient_appointments,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_REQUEST_RECOVERY_ONLY,Patient Request Recovery Only
ASV_130_SURF_PATIENT_EMBEDDED_SHELL_V1,ASRB_050_PATIENT_TRANSACTION_RECOVERY_V1,surf_patient_embedded_shell,audsurf_patient_transaction_recovery,rf_patient_embedded_channel,patient,blocked,suppressed,blocked,freeze,RFD_050_PATIENT_TRANSACTION_RECOVERY_V1,050 Patient Transaction Recovery V1
ASV_130_SURF_PATIENT_EMBEDDED_SHELL_V1,ASRB_050_PATIENT_TRANSACTION_RECOVERY_V1,surf_patient_embedded_shell,audsurf_patient_transaction_recovery,rf_patient_embedded_channel,patient,blocked,suppressed,blocked,recovery,RRD_EMBEDDED_HANDOFF_ONLY,Embedded Handoff Only
ASV_130_SURF_PATIENT_EMBEDDED_SHELL_V1,ASRB_050_PATIENT_TRANSACTION_RECOVERY_V1,surf_patient_embedded_shell,audsurf_patient_transaction_recovery,rf_patient_embedded_channel,patient,blocked,suppressed,blocked,recovery,RRD_EMBEDDED_READ_ONLY,Embedded Read Only
ASV_130_SURF_PATIENT_EMBEDDED_SHELL_V1,ASRB_050_PATIENT_TRANSACTION_RECOVERY_V1,surf_patient_embedded_shell,audsurf_patient_transaction_recovery,rf_patient_embedded_channel,patient,blocked,suppressed,blocked,recovery,RRD_IDENTITY_HOLD_PLACEHOLDER,Identity Hold Placeholder
ASV_130_SURF_PATIENT_EMBEDDED_SHELL_V1,ASRB_050_PATIENT_TRANSACTION_RECOVERY_V1,surf_patient_embedded_shell,audsurf_patient_transaction_recovery,rf_patient_embedded_channel,patient,blocked,suppressed,blocked,recovery,RRD_SECURE_LINK_RECOVERY_ONLY,Secure Link Recovery Only
ASV_130_SURF_PATIENT_HEALTH_RECORD_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,suppressed,blocked,freeze,RFD_050_PATIENT_AUTHENTICATED_PORTAL_V1,050 Patient Authenticated Portal V1
ASV_130_SURF_PATIENT_HEALTH_RECORD_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,suppressed,blocked,recovery,RRD_ARTIFACT_HANDOFF_REQUIRED,Artifact Handoff Required
ASV_130_SURF_PATIENT_HEALTH_RECORD_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,suppressed,blocked,recovery,RRD_BOOKING_CONFIRMATION_PLACEHOLDER,Booking Confirmation Placeholder
ASV_130_SURF_PATIENT_HEALTH_RECORD_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,suppressed,blocked,recovery,RRD_CONVERSATION_RECOVERY_ONLY,Conversation Recovery Only
ASV_130_SURF_PATIENT_HEALTH_RECORD_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_APPOINTMENT_READ_ONLY,Patient Appointment Read Only
ASV_130_SURF_PATIENT_HEALTH_RECORD_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_HOME_PLACEHOLDER,Patient Home Placeholder
ASV_130_SURF_PATIENT_HEALTH_RECORD_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_HOME_READ_ONLY,Patient Home Read Only
ASV_130_SURF_PATIENT_HEALTH_RECORD_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_MESSAGES_READ_ONLY,Patient Messages Read Only
ASV_130_SURF_PATIENT_HEALTH_RECORD_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_RECORD_SUMMARY_ONLY,Patient Record Summary Only
ASV_130_SURF_PATIENT_HEALTH_RECORD_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_REQUEST_READ_ONLY,Patient Request Read Only
ASV_130_SURF_PATIENT_HEALTH_RECORD_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_health_record,audsurf_patient_authenticated_portal,rf_patient_health_record,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_REQUEST_RECOVERY_ONLY,Patient Request Recovery Only
ASV_130_SURF_PATIENT_HOME_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_home,audsurf_patient_authenticated_portal,rf_patient_home,patient,partial,suppressed,blocked,freeze,RFD_050_PATIENT_AUTHENTICATED_PORTAL_V1,050 Patient Authenticated Portal V1
ASV_130_SURF_PATIENT_HOME_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_home,audsurf_patient_authenticated_portal,rf_patient_home,patient,partial,suppressed,blocked,recovery,RRD_ARTIFACT_HANDOFF_REQUIRED,Artifact Handoff Required
ASV_130_SURF_PATIENT_HOME_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_home,audsurf_patient_authenticated_portal,rf_patient_home,patient,partial,suppressed,blocked,recovery,RRD_BOOKING_CONFIRMATION_PLACEHOLDER,Booking Confirmation Placeholder
ASV_130_SURF_PATIENT_HOME_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_home,audsurf_patient_authenticated_portal,rf_patient_home,patient,partial,suppressed,blocked,recovery,RRD_CONVERSATION_RECOVERY_ONLY,Conversation Recovery Only
ASV_130_SURF_PATIENT_HOME_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_home,audsurf_patient_authenticated_portal,rf_patient_home,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_APPOINTMENT_READ_ONLY,Patient Appointment Read Only
ASV_130_SURF_PATIENT_HOME_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_home,audsurf_patient_authenticated_portal,rf_patient_home,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_HOME_PLACEHOLDER,Patient Home Placeholder
ASV_130_SURF_PATIENT_HOME_V1,ASRB_050_PATIENT_AUTHENTICATED_PORTAL_V1,surf_patient_home,audsurf_patient_authenticated_portal,rf_patient_home,patient,partial,suppressed,blocked,recovery,RRD_PATIENT_HOME_READ_ONLY,Patient Home Read Only
