lifecycle_state,classification_outcome,current_safe_mode,document_reference_state,quarantine_state,submit_disposition,active_in_draft_projection,emitted_events
initiated,,structured_summary,not_created,unknown,retry_before_submit,true,intake.attachment.initiated
upload_pending,,structured_summary,not_created,unknown,retry_before_submit,true,intake.attachment.initiated
uploaded_unverified,,structured_summary,not_created,processing,retry_before_submit,true,intake.attachment.uploaded
scanning,,structured_summary,not_created,processing,retry_before_submit,true,intake.attachment.scanning
safe_pending_promotion,,structured_summary,pending,processing,retry_before_submit,true,intake.attachment.safe
promoted,accepted_safe,governed_preview,created,not_quarantined,routine_submit_allowed,true,"intake.attachment.safe|intake.attachment.preview.generated|intake.attachment.promoted"
promoted,preview_unavailable_but_file_kept,placeholder_only,created,not_quarantined,routine_submit_allowed,true,"intake.attachment.safe|intake.attachment.promoted"
quarantined,quarantined_malware,recovery_only,not_created,quarantined,replace_or_remove_then_review,true,intake.attachment.quarantined
quarantined,quarantined_integrity_failure,recovery_only,not_created,quarantined,replace_or_remove_then_review,true,intake.attachment.quarantined
quarantined,quarantined_unsupported_type,recovery_only,not_created,quarantined,replace_or_remove_then_review,true,intake.attachment.quarantined
quarantined,quarantined_unreadable,recovery_only,not_created,quarantined,replace_or_remove_then_review,true,intake.attachment.quarantined
quarantined,quarantined_size_exceeded,recovery_only,not_created,quarantined,replace_or_remove_then_review,true,intake.attachment.quarantined
rejected_policy,,recovery_only,not_created,unknown,replace_or_remove_then_review,true,
scan_failed_retryable,,recovery_only,pending,processing,retry_before_submit,true,
removed,,recovery_only,not_created,unknown,replace_or_remove_then_review,false,intake.attachment.removed
replaced,,recovery_only,not_created,unknown,replace_or_remove_then_review,false,intake.attachment.replaced
