referenceCaseId,routeFamilyRef,projectionName,projectionFamilyRef,freshnessState,staleAfterSeconds,continuitySignalShellSlug,continuitySignalRouteFamilies,visibilityTruth,notes
RC_FLOW_001,rf_intake_self_service,patient-home,PQC_050_RF_INTAKE_SELF_SERVICE_V1 | projection::patient-home,within_budget,45,patient-web,,derived_read_model_visible,Patient-shell freshness and continuity marker.
RC_FLOW_001,rf_intake_self_service,ops-telemetry,PQC_050_RF_INTAKE_SELF_SERVICE_V1 | projection::patient-home,watch,45,ops-console,,derived_read_model_visible,Patient-shell freshness and continuity marker.
RC_FLOW_002,rf_patient_requests,patient-home,PQC_050_RF_PATIENT_REQUESTS_V1 | projection::patient-home,within_budget,45,patient-web,,derived_read_model_visible,Patient-shell freshness and continuity marker.
RC_FLOW_002,rf_patient_requests,ops-telemetry,PQC_050_RF_PATIENT_REQUESTS_V1 | projection::patient-home,watch,45,ops-console,,derived_read_model_visible,Patient-shell freshness and continuity marker.
RC_FLOW_003,rf_support_ticket_workspace,patient-home,PQC_050_RF_SUPPORT_TICKET_WORKSPACE_V1 | projection::ops-telemetry,within_budget,45,patient-web,,derived_read_model_visible,Support or hub shell freshness and continuity marker.
RC_FLOW_003,rf_support_ticket_workspace,ops-telemetry,PQC_050_RF_SUPPORT_TICKET_WORKSPACE_V1 | projection::ops-telemetry,watch,45,ops-console,,derived_read_model_visible,Support or hub shell freshness and continuity marker.
RC_FLOW_004,rf_support_replay_observe,patient-home,PQC_050_RF_SUPPORT_REPLAY_OBSERVE_V1 | projection::ops-telemetry,within_budget,45,patient-web,,derived_read_model_visible,Support or hub shell freshness and continuity marker.
RC_FLOW_004,rf_support_replay_observe,ops-telemetry,PQC_050_RF_SUPPORT_REPLAY_OBSERVE_V1 | projection::ops-telemetry,watch,45,ops-console,,derived_read_model_visible,Support or hub shell freshness and continuity marker.
RC_FLOW_005,rf_patient_secure_link_recovery,patient-home,PQC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1 | projection::patient-home,within_budget,45,patient-web,,derived_read_model_visible,Patient-shell freshness and continuity marker.
RC_FLOW_005,rf_patient_secure_link_recovery,ops-telemetry,PQC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1 | projection::patient-home,watch,45,ops-console,,derived_read_model_visible,Patient-shell freshness and continuity marker.
RC_FLOW_006,rf_hub_case_management,patient-home,PQC_050_RF_HUB_CASE_MANAGEMENT_V1 | projection::ops-telemetry,within_budget,45,patient-web,,derived_read_model_visible,Support or hub shell freshness and continuity marker.
RC_FLOW_006,rf_hub_case_management,ops-telemetry,PQC_050_RF_HUB_CASE_MANAGEMENT_V1 | projection::ops-telemetry,watch,45,ops-console,,derived_read_model_visible,Support or hub shell freshness and continuity marker.
