provider_ref,provider_callback_class,provider_event_family,canonical_event_type,idempotency_key_basis,raw_payload_boundary,worker_effect,resulting_call_state,gap_closure,reason_codes
telephony_provider_simulator,call.started,provider_call_started,call_started,provider_event_id_plus_call_session,payload_ref_only,call_session_bootstrap,initiated,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_REPLAY_PATH_V1,TEL_EDGE_187_CALL_SESSION_BOOTSTRAPPED
telephony_provider_simulator,call.ringing,provider_call_started,call_started,provider_event_id_plus_call_session,payload_ref_only,call_progress_observed,initiated,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_VENDOR_PAYLOAD_LEAKAGE_V1,TEL_EDGE_187_CANONICAL_EVENT_NORMALIZED
telephony_provider_simulator,call.answered,provider_call_started,call_started,provider_event_id_plus_call_session,payload_ref_only,call_progress_observed,initiated,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_VENDOR_PAYLOAD_LEAKAGE_V1,TEL_EDGE_187_CANONICAL_EVENT_NORMALIZED
telephony_provider_simulator,menu.selected,provider_menu_input,menu_selection_captured,provider_event_id_plus_call_session,payload_ref_only,menu_capture_update,menu_selected,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_OUT_OF_ORDER_BLINDNESS_V1,TEL_EDGE_187_CALL_SESSION_ADVANCED
telephony_provider_simulator,ivr.branch,provider_menu_input,menu_selection_captured,provider_event_id_plus_call_session,payload_ref_only,menu_capture_update,menu_selected,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_OUT_OF_ORDER_BLINDNESS_V1,TEL_EDGE_187_CALL_SESSION_ADVANCED
telephony_provider_simulator,recording.expected,provider_recording_expected,recording_expected,provider_call_id_plus_event_type_plus_occurred_at,payload_ref_only,recording_expectation_update,recording_expected,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_OUT_OF_ORDER_BLINDNESS_V1,TEL_EDGE_187_CALL_SESSION_ADVANCED
telephony_provider_simulator,recording.available,provider_recording_available,recording_available,provider_event_id_plus_call_session,payload_ref_only,recording_artifact_ref_update,recording_available,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_VENDOR_PAYLOAD_LEAKAGE_V1,TEL_EDGE_187_RECORDING_REF_ONLY
telephony_provider_simulator,recording.status.available,provider_recording_available,recording_available,provider_event_id_plus_call_session,payload_ref_only,recording_artifact_ref_update,recording_available,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_REPLAY_PATH_V1,TEL_EDGE_187_RECORDING_REF_ONLY
telephony_provider_simulator,call.completed,provider_call_abandoned,call_abandoned,provider_event_id_plus_call_session,payload_ref_only,provider_terminal_call_update,abandoned,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_OUT_OF_ORDER_BLINDNESS_V1,TEL_EDGE_187_CALL_SESSION_TERMINAL_PRESERVED
telephony_provider_simulator,call.abandoned,provider_call_abandoned,call_abandoned,provider_event_id_plus_call_session,payload_ref_only,provider_terminal_call_update,abandoned,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_DUPLICATE_CALLBACK_SIDE_EFFECTS_V1,TEL_EDGE_187_CALL_SESSION_TERMINAL_PRESERVED
telephony_provider_simulator,provider.error,provider_error,provider_error_recorded,payload_digest_plus_call_session,payload_ref_only,provider_error_update,provider_error,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_UNSIGNED_CALLBACK_TRUST_V1,TEL_EDGE_187_PROVIDER_ERROR_NORMALIZED
telephony_provider_simulator,delivery.failed,provider_error,provider_error_recorded,payload_digest_plus_call_session,payload_ref_only,delivery_failure_update,provider_error,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_UNSIGNED_CALLBACK_TRUST_V1,TEL_EDGE_187_PROVIDER_ERROR_NORMALIZED
telephony_provider_simulator,continuation.delivery,provider_continuation_delivery,continuation_sent,provider_event_id_plus_call_session,payload_ref_only,continuation_delivery_signal,continuation_sent,PARALLEL_INTERFACE_GAP_PHASE2_TELEPHONY_EDGE_REPLAY_PATH_V1,TEL_EDGE_187_CANONICAL_EVENT_NORMALIZED
