shell_slug,shell_family,breakpoint,breakpoint_class,viewport_width,resolved_topology,density_mode,motion_mode,profile_selection_resolution_id
patient-web,patient,xs,compact,390,mission_stack,relaxed,reduced,PSR_050_PATIENT_V1
patient-web,patient,sm,narrow,640,mission_stack,relaxed,reduced,PSR_050_PATIENT_V1
patient-web,patient,md,medium,900,focus_frame,relaxed,reduced,PSR_050_PATIENT_V1
patient-web,patient,lg,expanded,1280,focus_frame,relaxed,reduced,PSR_050_PATIENT_V1
patient-web,patient,xl,wide,1600,focus_frame,relaxed,reduced,PSR_050_PATIENT_V1
clinical-workspace,staff,xs,compact,390,mission_stack,balanced,reduced,PSR_050_STAFF_V1
clinical-workspace,staff,sm,narrow,640,mission_stack,balanced,reduced,PSR_050_STAFF_V1
clinical-workspace,staff,md,medium,900,two_plane,balanced,reduced,PSR_050_STAFF_V1
clinical-workspace,staff,lg,expanded,1280,two_plane,balanced,reduced,PSR_050_STAFF_V1
clinical-workspace,staff,xl,wide,1600,two_plane,balanced,reduced,PSR_050_STAFF_V1
support-workspace,support,xs,compact,390,mission_stack,balanced,reduced,PSR_050_SUPPORT_V1
support-workspace,support,sm,narrow,640,mission_stack,balanced,reduced,PSR_050_SUPPORT_V1
support-workspace,support,md,medium,900,two_plane,balanced,reduced,PSR_050_SUPPORT_V1
support-workspace,support,lg,expanded,1280,two_plane,balanced,reduced,PSR_050_SUPPORT_V1
support-workspace,support,xl,wide,1600,two_plane,balanced,reduced,PSR_050_SUPPORT_V1
ops-console,operations,xs,compact,390,mission_stack,compact,reduced,PSR_050_OPERATIONS_V1
ops-console,operations,sm,narrow,640,mission_stack,compact,reduced,PSR_050_OPERATIONS_V1
ops-console,operations,md,medium,900,two_plane,compact,reduced,PSR_050_OPERATIONS_V1
ops-console,operations,lg,expanded,1280,two_plane,compact,reduced,PSR_050_OPERATIONS_V1
ops-console,operations,xl,wide,1600,two_plane,compact,reduced,PSR_050_OPERATIONS_V1
hub-desk,hub,xs,compact,390,mission_stack,balanced,reduced,PSR_050_HUB_V1
hub-desk,hub,sm,narrow,640,mission_stack,balanced,reduced,PSR_050_HUB_V1
hub-desk,hub,md,medium,900,two_plane,balanced,reduced,PSR_050_HUB_V1
hub-desk,hub,lg,expanded,1280,two_plane,balanced,reduced,PSR_050_HUB_V1
hub-desk,hub,xl,wide,1600,two_plane,balanced,reduced,PSR_050_HUB_V1
governance-console,governance,xs,compact,390,mission_stack,compact,reduced,PSR_050_GOVERNANCE_V1
governance-console,governance,sm,narrow,640,mission_stack,compact,reduced,PSR_050_GOVERNANCE_V1
governance-console,governance,md,medium,900,three_plane,compact,reduced,PSR_050_GOVERNANCE_V1
governance-console,governance,lg,expanded,1280,three_plane,compact,reduced,PSR_050_GOVERNANCE_V1
governance-console,governance,xl,wide,1600,three_plane,compact,reduced,PSR_050_GOVERNANCE_V1
pharmacy-console,pharmacy,xs,compact,390,mission_stack,balanced,reduced,PSR_050_PHARMACY_V1
pharmacy-console,pharmacy,sm,narrow,640,mission_stack,balanced,reduced,PSR_050_PHARMACY_V1
pharmacy-console,pharmacy,md,medium,900,two_plane,balanced,reduced,PSR_050_PHARMACY_V1
pharmacy-console,pharmacy,lg,expanded,1280,two_plane,balanced,reduced,PSR_050_PHARMACY_V1
pharmacy-console,pharmacy,xl,wide,1600,two_plane,balanced,reduced,PSR_050_PHARMACY_V1
