scenario_id,booking_case_id,route,view_kind,confirmation_truth,patient_visibility,manage_exposure,artifact_exposure,reminder_exposure,route_freeze_state,reservation_truth,primary_action
booking_case_296_review,booking_case_296_review,/bookings/booking_case_296_review/confirm,review,pre_commit_review,selected_slot_pending,hidden,hidden,blocked,live,truthful_nonexclusive,confirm_booking
booking_case_296_review_held,booking_case_296_review_held,/bookings/booking_case_296_review_held/confirm,review,pre_commit_review,selected_slot_pending,hidden,hidden,blocked,live,exclusive_held,confirm_booking
booking_case_296_in_progress,booking_case_296_in_progress,/bookings/booking_case_296_in_progress/confirm,in_progress,booking_in_progress,provisional_receipt,hidden,summary_only,blocked,live,pending_confirmation,wait_for_confirmation
booking_case_296_in_progress_held,booking_case_296_in_progress_held,/bookings/booking_case_296_in_progress_held/confirm,in_progress,booking_in_progress,provisional_receipt,hidden,summary_only,blocked,live,pending_confirmation,wait_for_confirmation
booking_case_296_pending,booking_case_296_pending,/bookings/booking_case_296_pending/confirm,pending,confirmation_pending,provisional_receipt,hidden,summary_only,blocked,live,pending_confirmation,refresh_confirmation_status
booking_case_296_pending_held,booking_case_296_pending_held,/bookings/booking_case_296_pending_held/confirm,pending,confirmation_pending,provisional_receipt,hidden,summary_only,blocked,live,pending_confirmation,refresh_confirmation_status
booking_case_296_reconciliation,booking_case_296_reconciliation,/bookings/booking_case_296_reconciliation/confirm,recovery,reconciliation_required,recovery_required,hidden,hidden,blocked,live,disputed,return_to_selection
booking_case_296_route_drift,booking_case_296_route_drift,/bookings/booking_case_296_route_drift/confirm,recovery,confirmation_pending,recovery_required,hidden,hidden,blocked,publication_stale,pending_confirmation,refresh_confirmation_route
booking_case_296_identity_repair,booking_case_296_identity_repair,/bookings/booking_case_296_identity_repair/confirm,recovery,confirmed,recovery_required,hidden,hidden,blocked,identity_repair_active,confirmed,request_support
booking_case_296_confirmed,booking_case_296_confirmed,/bookings/booking_case_296_confirmed/confirm,confirmed,confirmed,booked_summary,writable,handoff_ready,scheduled,live,confirmed,open_manage_stub
booking_case_296_confirmed_held,booking_case_296_confirmed_held,/bookings/booking_case_296_confirmed_held/confirm,confirmed,confirmed,booked_summary,writable,handoff_ready,scheduled,live,confirmed,open_manage_stub
