surface_blast_radius_id,gateway_surface_id,audience,shell_type,route_family_ids,tenant_isolation_mode,scope_mode,acting_scope_tuple_requirement,governance_scope_token_requirement,affected_tenant_count,affected_organisation_count,blast_radius_class,pre_settlement_display_required,same_shell_freeze_posture,runtime_browser_authority_binding_refs,source_refs
SBR_054_GWS_ASSISTIVE_SIDECAR,gws_assistive_sidecar,assistive_adjunct,staff,rf_assistive_control_shell; rf_staff_workspace_child,inherited_scope_no_standalone_tenant_widening,organisation,inherited_owner,not_required,1,1,owner_scope,bounded_single_scope,freeze_with_owner_shell,RBA_054_CLINICAL_WORKSPACE_V1,phase-8-the-assistive-layer.md#Control priorities; phase-0-the-foundation-protocol.md#1.1 PersistentShell; staff-workspace-interface-architecture.md#Assistive companion presentation profile; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-8-the-assistive-layer.md#Control priorities; blueprint/forensic-audit-findings.md#Finding 91; data/analysis/tenant_isolation_matrix.csv#TIM_ASSISTIVE_ADJUNCT; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_ASSISTIVE_ADJUNCT; prompt/054.md
SBR_054_GWS_CLINICIAN_WORKSPACE,gws_clinician_workspace,origin_practice_clinical,staff,rf_staff_workspace,tenant_org_partition,organisation,required,not_required,1,1,single_tenant,bounded_single_scope,stale_recoverable_or_denied_scope,RBA_054_CLINICAL_WORKSPACE_V1,staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Workspace shell-family ownership is explicit; staff-operations-and-support-blueprint.md#Clinical Workspace specialization; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-workspace-interface-architecture.md#Route family; blueprint/forensic-audit-findings.md#Finding 92; data/analysis/tenant_isolation_matrix.csv#TIM_TENANT_STAFF_SINGLE_ORG; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_STAFF_SINGLE_ORG; blueprint/phase-0-the-foundation-protocol.md#23A; prompt/054.md
SBR_054_GWS_CLINICIAN_WORKSPACE_CHILD,gws_clinician_workspace_child,origin_practice_clinical,staff,rf_staff_workspace_child,tenant_org_partition,organisation,required,not_required,1,1,single_tenant,bounded_single_scope,stale_recoverable_or_denied_scope,RBA_054_CLINICAL_WORKSPACE_V1,staff-workspace-interface-architecture.md#Route family; staff-workspace-interface-architecture.md#Additional route rules; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/staff-workspace-interface-architecture.md#Additional route rules; blueprint/forensic-audit-findings.md#Finding 92; data/analysis/tenant_isolation_matrix.csv#TIM_TENANT_STAFF_SINGLE_ORG; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_STAFF_SINGLE_ORG; blueprint/phase-0-the-foundation-protocol.md#23A; prompt/054.md
SBR_054_GWS_GOVERNANCE_SHELL,gws_governance_shell,governance_review,governance,rf_governance_shell,platform_control_plane_with_explicit_blast_radius,platform,required,required,8,32,platform,yes,read_only_or_handoff_only,RBA_054_GOVERNANCE_ADMIN_V1,governance-admin-console-frontend-blueprint.md#Shell and route topology; platform-frontend-blueprint.md#Governance/Admin specialization; governance-admin-console-frontend-blueprint.md#Primary governance personas; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/governance-admin-console-frontend-blueprint.md#Shell and route topology; blueprint/forensic-audit-findings.md#Finding 95; data/analysis/tenant_isolation_matrix.csv#TIM_GOVERNANCE_PLATFORM; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_GOVERNANCE_PLATFORM; blueprint/governance-admin-console-frontend-blueprint.md#1A. GovernanceScopeToken; prompt/054.md
SBR_054_GWS_HUB_CASE_MANAGEMENT,gws_hub_case_management,hub_desk,hub,rf_hub_case_management,explicit_cross_org_subject_scope,organisation_group,required,not_required,1,4,cross_org,yes,summary_only_or_denied_scope,RBA_054_HUB_DESK_V1,phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-5-the-network-horizon.md#Hub shell-family ownership is explicit; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_HUB_CROSS_ORG; prompt/054.md
SBR_054_GWS_HUB_QUEUE,gws_hub_queue,hub_desk,hub,rf_hub_queue,explicit_cross_org_subject_scope,organisation_group,required,not_required,1,4,cross_org,yes,summary_only_or_denied_scope,RBA_054_HUB_DESK_V1,"phase-5-the-network-horizon.md#Frontend work; phase-5-the-network-horizon.md#5A. Network coordination contract, case model, and state machine; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-5-the-network-horizon.md#Frontend work; blueprint/forensic-audit-findings.md#Finding 114; data/analysis/tenant_isolation_matrix.csv#TIM_HUB_CROSS_ORG; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_HUB_CROSS_ORG; prompt/054.md"
SBR_054_GWS_OPERATIONS_BOARD,gws_operations_board,operations_control,operations,rf_operations_board,platform_observation_aggregate,multi_tenant,required,not_required,4,8,multi_tenant,yes,diagnostic_copy_only_or_controls_frozen,RBA_054_OPERATIONS_CONSOLE_V1,operations-console-frontend-blueprint.md#Canonical route family; platform-frontend-blueprint.md#Operations Console specialization; operations-console-frontend-blueprint.md#Calm board posture and briefing artifacts; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/operations-console-frontend-blueprint.md#Canonical route family; blueprint/forensic-audit-findings.md#Finding 96; data/analysis/tenant_isolation_matrix.csv#TIM_OPERATIONS_MULTI_TENANT; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_OPERATIONS_WATCH; blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple; prompt/054.md
SBR_054_GWS_OPERATIONS_DRILLDOWN,gws_operations_drilldown,operations_control,operations,rf_operations_drilldown,platform_observation_aggregate,multi_tenant,required,not_required,4,8,multi_tenant,yes,diagnostic_copy_only_or_controls_frozen,RBA_054_OPERATIONS_CONSOLE_V1,operations-console-frontend-blueprint.md#Canonical route family; operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/operations-console-frontend-blueprint.md#Restore reporting and board-frame discipline; blueprint/forensic-audit-findings.md#Finding 96; data/analysis/tenant_isolation_matrix.csv#TIM_OPERATIONS_MULTI_TENANT; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_OPERATIONS_WATCH; blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple; prompt/054.md
SBR_054_GWS_PATIENT_APPOINTMENTS,gws_patient_appointments,patient_authenticated,patient,rf_patient_appointments,tenant_scoped_subject,tenant,not_required,not_required,1,1,single_tenant,bounded_single_scope,read_only_or_recovery_only,RBA_054_PATIENT_AUTHENTICATED_PORTAL_V1,"phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; blueprint/forensic-audit-findings.md#Finding 97; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_SELF_SERVICE; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PATIENT_AUTHENTICATED; prompt/054.md"
SBR_054_GWS_PATIENT_EMBEDDED_SHELL,gws_patient_embedded_shell,patient_embedded_authenticated,patient,rf_patient_embedded_channel,tenant_scoped_subject_embedded,tenant,not_required,not_required,1,1,single_subject,bounded_single_scope,handoff_only_or_read_only,RBA_054_PATIENT_TRANSACTION_RECOVERY_V1,"patient-portal-experience-architecture-blueprint.md#Control priorities; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface; blueprint/patient-portal-experience-architecture-blueprint.md#Control priorities; blueprint/forensic-audit-findings.md#Finding 90; data/analysis/tenant_isolation_matrix.csv#TIM_PATIENT_EMBEDDED; docs/architecture/11_tenant_model_and_acting_scope_strategy.md; data/analysis/acting_scope_tuple_matrix.csv#ACT_PATIENT_EMBEDDED; prompt/054.md"
