store_id,store_name,store_class,runtime_component_ref,authoritative_truth_role,backup_restore_scope_ref,retention_strategy,data_classification_refs,rebuild_source,baseline_scope,source_refs,notes
store_domain_transaction,Transactional domain and settlement store,transactional_domain,store_domain_transaction,"Vecells-first lifecycle, blocker, lease, and settlement truth",brs_stateful_restore,case_record_schedule_and_settlement_history,patient_identifying; clinical_sensitive; identity_proof_sensitive,authoritative source,baseline,blueprint-init.md#7. Core system and data architecture; phase-0-the-foundation-protocol.md#1. Required platform objects,Only this class owns canonical domain truth.
store_fhir_representation,FHIR representation store,fhir_representation,store_fhir_representation,Derived interoperability representation only,brs_stateful_restore,representation_retained_under_domain_governed_schedule,patient_identifying; clinical_sensitive; identity_proof_sensitive,published mapping contracts plus canonical events,baseline,blueprint-init.md#7. Core system and data architecture,No route or downstream domain may treat raw FHIR rows as canonical lifecycle truth.
store_event_spine,Immutable canonical event spine,event_log,stream_canonical_event_spine,Replay and rebuild witness,brs_stateful_restore,append_only_event_retention_with_contract_version_windows,operational_internal_non_phi; audit_investigation_restricted,authoritative source,baseline,phase-0-the-foundation-protocol.md#CanonicalEventEnvelope,"Preserves event history for projections, analytics, assurance, and route-aware replay."
store_projection_read_models,Audience projection read store,projection_read,store_projection_read_models,Derived audience-safe query materialization only,brs_projection_rebuild_and_readiness_restore,rebuildable_projection_window_with_route_compatibility_digest,public_safe; patient_identifying; clinical_sensitive,canonical event history plus projection contract versions,baseline,platform-runtime-and-release-blueprint.md#ProjectionContractVersionSet,Routes may degrade during rebuild; they may not bypass to raw stores.
store_artifact_objects,Artifact object store,object_artifact,store_artifact_objects,Binary artifact payload home only,brs_stateful_restore,artifact_family_specific_policy_and_manifest_control,clinical_sensitive; identity_proof_sensitive; audit_investigation_restricted,authoritative source for bytes only,baseline,blueprint-init.md#12. Practical engineering shape; 10_retention_and_artifact_sensitivity_matrix.md,"Byte payloads move by reference or governed handoff, never by casual event body."
prefix_artifact_quarantine,Artifact quarantine prefix,object_artifact,prefix_artifact_quarantine,Unsafe artifact holding area pending governed review,brs_stateful_restore,transient_until_review_or_archive_witness,clinical_sensitive; audit_investigation_restricted,authoritative source for quarantined bytes only,baseline,phase-0-the-foundation-protocol.md#Artifact quarantine and fallback review,Unsafe content cannot surface through ordinary routes while here.
sink_worm_audit_ledger,WORM audit ledger,worm_audit,sink_worm_audit_ledger,Tamper-evident evidence witness,brs_assurance_and_resilience_restore,retention_governance_restricted_and_append_only,audit_investigation_restricted; retention_governance_restricted,authoritative source,baseline,blueprint-init.md#12. Practical engineering shape; phase-9-the-assurance-ledger.md,Restores and exports must stay scope-envelope-governed.
cache_route_contract_and_session,Route/session/cache plane,cache,cache_route_contract_and_session,Ephemeral acceleration only,brs_stateless_redeploy,short_ttl_and_full_rebuildable,public_safe; security_or_secret_sensitive,published contracts and current sessions,baseline,platform-runtime-and-release-blueprint.md#ClientCachePolicy,"Cache loss must degrade performance, never mutate truth."
store_timer_state,Timer checkpoint store,timer_state,store_timer_state,Deadline and wakeup checkpoint persistence,brs_stateful_restore,checkpoint_history_plus_current_deadline_index,operational_internal_non_phi; patient_identifying; clinical_sensitive,recompute from canonical settlements where feasible,baseline,phase-3-the-human-checkpoint.md#MoreInfoReplyWindowCheckpoint; phase-4-the-booking-engine.md#WaitlistDeadlineEvaluation,Keeps long-running waits out of transient workers.
store_feature_vectors_deferred,Feature store for assistive work,feature_store,store_feature_vectors_deferred,Deferred assistive derivation only,brs_assurance_and_resilience_restore,bounded_cohort_and_rollout_specific,audit_investigation_restricted; operational_internal_non_phi,derived from non-authoritative feature pipelines,deferred,blueprint-init.md#12. Practical engineering shape; 03_deferred_and_conditional_scope.md,Explicitly bounded away from current runtime truth.
