metric,observed,comparator,threshold,passed,requiredAlgorithmRule
fixturePassRate,1,gte,1,true,"All trust, feedback, and rollout regression fixtures must pass."
trustEnvelopeFixturePassRate,1,gte,1,true,"Trust envelopes must be present, accurate, and visually consistent."
trustStateCoverageRate,1,gte,1,true,"Trusted, low-confidence, ungrounded, stale, drift, fairness, red-flag, quarantined, frozen, rolled-back, and partial-disclosure states must be covered."
propagationPassRate,1,gte,1,true,"Trust state must survive queue, task, stage, dock, draft preview, ops, release, reload, and route-return transitions."
feedbackEvidenceCompletenessRate,1,gte,1,true,"Feedback, override, reliance, edit, rationale, citation, stale/frozen, and cancellation events must create governed evidence."
feedbackIdempotencyRate,1,gte,1,true,Feedback records require idempotency or de-duplication keys.
feedbackAuthoritativeMutationRate,0,lte,0,true,"Feedback must never silently mutate authoritative patient, booking, pharmacy, task, or communication state."
rolloutScenarioCoverageRate,1,gte,1,true,"Shadow-only, internal-only, pilot, tenant-limited, route-family-limited, frozen, rollback, global disable, publication mismatch, and expired slice states must be covered."
rolloutVerdictParityRate,1,gte,1,true,Rollout-slice contracts and rollout verdicts must have monotonic visible and insert posture parity.
visibleRolloutPinningRate,1,gte,1,true,Visible rollout must be pinned to current runtime publications.
opsReleaseLanguageParityRate,1,gte,1,true,Ops and release surfaces must use the same trust and rollout language.
distinctDegradedStateRate,1,gte,1,true,"Degraded, quarantined, stale, frozen, blocked, and rollback states must not flatten into generic warnings."
staleCurrentMismatchRate,0,lte,0,true,A stale source cannot look current after refresh or route return.
hiddenDomLeakRate,0,lte,0,true,Hidden blocked or denied assistive content must not remain in DOM.
prohibitedNetworkMutationRate,0,lte,0,true,Feedback and rollout interactions must not call authoritative workflow mutation endpoints.
auditEvidenceCompletenessRate,1,gte,1,true,Audit and assurance events must be complete for Phase 8 exit and Phase 9 assurance ledger consumption.
