posture_class,audience_example,title,copy_rule,dominant_question,dominant_action,secondary_action,tone
loading_summary,patient,Appointment detail is hydrating inside the same shell,Keep known shell identity and anchor visible while only unresolved footprint hydrates.,Is this still the appointment I opened?,Keep reviewing the current summary,,neutral
empty,workspace,No task needs action in this queue right now,Explain what usually appears here and why calm no-work is different from filter-empty.,Is the queue truly quiet or did my filters hide work?,Review saved filters,Open next queue,neutral
sparse,hub,Only watchful coordination summaries remain,Show the smallest truthful residual summary instead of decorative filler.,What is the safest next coordination lens?,Open the top watchpoint,,neutral
partial_visibility,workspace,The workbench is partially visible and bounded,Keep visible safe summary explicit and name what is withheld.,What remains safe to review while withheld fields catch up?,Review the visible summary,Request visibility refresh,caution
stale_review,operations,The board stays visible while projection truth is under review,Preserve the last stable board and suppress writable reassurance until freshness is reviewed.,Can I trust the current incident board enough to act?,Review freshness evidence,Open read-only snapshot,caution
blocked_recovery,pharmacy,Recovery is required before the dispense line can resume,Keep the blocked object visible and make one recovery path dominant.,What is the single safe recovery path for this line?,Reconcile the blocked line,Open last safe summary,critical
read_only,governance,The diff remains visible but writable posture is fenced,Preserve analytical scope while explicitly failing closed on mutation controls.,What can still be reviewed without reopening mutation posture?,Review the published diff,Refresh publication proof,caution
placeholder_only,patient,The record stays structured but only the governed placeholder is visible,Occupy truthful spatial structure and never imply the hidden body is ready.,What is this result and what is withheld right now?,Read the safe summary,Request visibility refresh,neutral
calm_degraded,patient,This message thread remains calm but bounded,Suppress ordinary reassurance while keeping the safe summary and return path visible.,What is still safe to understand from this conversation right now?,Review the current thread summary,,neutral
bounded_recovery,hub,The transfer summary stays visible with one bounded recovery path,Stay on the same shell and keep only one governed resume path dominant.,Can this transfer recover inside the same shell?,Resume the governed transfer path,Review the last safe tuple,caution
