posture_class,precedence_rank,visibility_state,freshness_state,actionability_state,content_density,degraded_mode,tone,preserved_anchor_required,shell_reset_forbidden
blocked_recovery,1,blocked,blocked_recovery,blocked,populated,bounded_recovery,critical,true,true
bounded_recovery,2,full,stale_review,recovery_only,populated,bounded_recovery,caution,true,true
read_only,3,full,stale_review,read_only,populated,none,caution,true,true
placeholder_only,4,placeholder_only,stale_review,guarded,known_structure,none,neutral,true,true
partial_visibility,5,partial,stale_review,guarded,populated,none,caution,true,true
stale_review,6,full,stale_review,guarded,populated,none,caution,true,true
loading_summary,7,full,updating,guarded,known_structure,none,neutral,true,true
calm_degraded,8,full,fresh,live,populated,calm_degraded,neutral,true,true
empty,9,full,fresh,live,empty,none,neutral,true,true
sparse,10,full,fresh,live,sparse,none,neutral,true,true
