case_id,record_ref,route,release_state,visibility_tier,summary_parity_state,record_gate_state,source_authority_state,presentation_mode,visualization_parity_state,visualization_authority,follow_up_eligibility,placeholder_visible,atlas_region,reason_codes
verified_result,record_213_result_a,/v1/me/records/results/result_213_fbc,visible,full,verified,visible,summary_verified,governed_preview,visual_and_table,chart,available,false,ResultDetailAnatomy,PORTAL_213_RECORD_ARTIFACT_PARITY_VERIFIED
verified_document,record_213_letter,/v1/me/records/documents/document_213_letter,visible,full,verified,visible,summary_verified,governed_preview,summary_only,summary,available,false,DocumentArtifactBoard,PORTAL_213_RECORD_ARTIFACT_PARITY_VERIFIED
stale_summary,record_213_stale_summary,/v1/me/records/results/result_213_stale,visible,full,stale,visible,summary_provisional,structured_summary,table_only,table,available,false,ChartTableParityBoard,PORTAL_213_RECORD_ARTIFACT_PARITY_DEGRADED;PORTAL_213_VISUALIZATION_TABLE_FALLBACK
source_only_document,record_213_source_only,/v1/me/records/documents/document_213_source_only,visible,partial,source_only,visible,source_only,governed_download,summary_only,summary,available,false,ArtifactParityStateBoard,PORTAL_213_RECORD_ARTIFACT_PARITY_DEGRADED
delayed_release,record_213_delayed_release,/v1/me/records/results/result_213_delayed_release,delayed_release,placeholder_only,verified,delayed_release,placeholder_only,placeholder_only,placeholder_only,placeholder,gated,true,GatedPlaceholderBoard,PORTAL_213_DELAYED_RELEASE_PLACEHOLDER
step_up_required,record_213_step_up,/v1/me/records/results/result_213_step_up,step_up_required,placeholder_only,verified,step_up_required,placeholder_only,placeholder_only,placeholder_only,placeholder,gated,true,GatedPlaceholderBoard,PORTAL_213_STEP_UP_PLACEHOLDER
restricted_record,record_213_restricted,/v1/me/records/documents/document_213_restricted,restricted,suppressed,verified,restricted,placeholder_only,placeholder_only,placeholder_only,placeholder,gated,true,GatedPlaceholderBoard,PORTAL_213_RESTRICTED_PLACEHOLDER
identity_hold,record_213_identity_hold,/v1/me/records/results/result_213_identity,identity_hold,placeholder_only,verified,identity_hold,placeholder_only,placeholder_only,placeholder_only,placeholder,recovery_only,true,SourceAuthorityBoard,PORTAL_213_RECORD_CONTINUITY_PRESERVED
recovery_only,record_213_recovery,/v1/me/records/documents/document_213_recovery,recovery_required,placeholder_only,recovery_only,blocked,recovery_only,recovery_only,blocked,placeholder,recovery_only,true,FollowUpContinuityBoard,PORTAL_213_RECORD_CONTINUITY_PRESERVED
table_first_safe,record_213_table_first,/v1/me/records/results/result_213_table_first,visible,full,verified,visible,summary_verified,structured_summary,table_only,table,available,false,ChartTableParityBoard,PORTAL_213_VISUALIZATION_TABLE_FALLBACK
